ID,Shot,Start Measure,End Measure
1,Measure 1,1,2
2,Measure 2,2,3
3,Measure 3,3,4
4,Measure 4,4,5
5,Measure 5,5,6
6,Measure 6,6,7
7,Measure 7,7,8
8,Measure 8,8,9
9,Measure 9,9,10
10,Measure 10,10,11
11,Measure 11,11,12
12,Measure 12,12,13
13,Measure 13,13,14
14,Measure 14,14,15
15,Measure 15,15,16
16,Measure 16,16,17
17,Measure 17,17,18
18,Measure 18,18,19
19,Measure 19,19,20
20,Measure 20,20,21
21,Measure 21,21,22
22,Measure 22,22,23
23,Measure 23,23,24
24,Measure 24,24,25
25,Measure 25,25,26
26,Measure 26,26,27
27,Measure 27,27,28
28,Measure 28,28,29
29,Measure 29,29,30
30,Measure 30,30,31
31,Measure 31,31,32
32,Measure 32,32,33
33,Measure 33,33,34
34,Measure 34,34,35
35,Measure 35,35,36
36,Measure 36,36,37
37,Measure 37,37,38
38,Measure 38,38,39
39,Measure 39,39,40
40,Measure 40,40,41
41,Measure 41,41,42
42,Measure 42,42,43
43,Measure 43,43,44
44,Measure 44,44,45
45,Measure 45,45,46
46,Measure 46,46,47
47,Measure 47,47,48
48,Measure 48,48,49
49,Measure 49,49,50
50,Measure 50,50,51
51,Measure 51,51,52
52,Measure 52,52,53
53,Measure 53,53,54
54,Measure 54,54,55
55,Measure 55,55,56
56,Measure 56,56,57
57,Measure 57,57,58
58,Measure 58,58,59
59,Measure 59,59,60
60,Measure 60,60,61
61,Measure 61,61,62
62,Measure 62,62,63
63,Measure 63,63,64
64,Measure 64,64,65
65,Measure 65,65,66
66,Measure 66,66,67
67,Measure 67,67,68
68,Measure 68,68,69
69,Measure 69,69,70
70,Measure 70,70,71
71,Measure 71,71,72
72,Measure 72,72,73
73,Measure 73,73,74
74,Measure 74,74,75
75,Measure 75,75,76
76,Measure 76,76,77
77,Measure 77,77,78
78,Measure 78,78,79
79,Measure 79,79,80
80,Measure 80,80,81
81,Measure 81,81,82
82,Measure 82,82,83
83,Measure 83,83,84
84,Measure 84,84,85
85,Measure 85,85,86
86,Measure 86,86,87
87,Measure 87,87,88
88,Measure 88,88,89
89,Measure 89,89,90
90,Measure 90,90,91
91,Measure 91,91,92
92,Measure 92,92,93
93,Measure 93,93,94
94,Measure 94,94,95
95,Measure 95,95,96
96,Measure 96,96,97
97,Measure 97,97,98
98,Measure 98,98,99
99,Measure 99,99,100
100,Measure 100,100,101
101,Measure 101,101,102
102,Measure 102,102,103
103,Measure 103,103,104
104,Measure 104,104,105
105,Measure 105,105,106
106,Measure 106,106,107
107,Measure 107,107,108
108,Measure 108,108,109
109,Measure 109,109,110
110,Measure 110,110,111
111,Measure 111,111,112
112,Measure 112,112,113
113,Measure 113,113,114
114,Measure 114,114,115
115,Measure 115,115,116
116,Measure 116,116,117
117,Measure 117,117,118
118,Measure 118,118,119
119,Measure 119,119,120
120,Measure 120,120,121
121,Measure 121,121,122
122,Measure 122,122,123
123,Measure 123,123,124
124,Measure 124,124,125
125,Measure 125,125,126
126,Measure 126,126,127
127,Measure 127,127,128
128,Measure 128,128,129
129,Measure 129,129,130
130,Measure 130,130,131
131,Measure 131,131,132
132,Measure 132,132,133
133,Measure 133,133,134
134,Measure 134,134,135
135,Measure 135,135,136
136,Measure 136,136,137
137,Measure 137,137,138
138,Measure 138,138,139
139,Measure 139,139,140
140,Measure 140,140,141
141,Measure 141,141,142
142,Measure 142,142,143
143,Measure 143,143,144
144,Measure 144,144,145
145,Measure 145,145,146
146,Measure 146,146,147
147,Measure 147,147,148
148,Measure 148,148,149
149,Measure 149,149,150
150,Measure 150,150,151
151,Measure 151,151,152
152,Measure 152,152,153
153,Measure 153,153,154
154,Measure 154,154,155
155,Measure 155,155,156
156,Measure 156,156,157
157,Measure 157,157,158
158,Measure 158,158,159
159,Measure 159,159,160
160,Measure 160,160,161
161,Measure 161,161,162
162,Measure 162,162,163
163,Measure 163,163,164
164,Measure 164,164,165
165,Measure 165,165,166
166,Measure 166,166,167
167,Measure 167,167,168
168,Measure 168,168,169
169,Measure 169,169,170
170,Measure 170,170,171
171,Measure 171,171,172
172,Measure 172,172,173
173,Measure 173,173,174
174,Measure 174,174,175
175,Measure 175,175,176
176,Measure 176,176,177
177,Measure 177,177,178
178,Measure 178,178,179
179,Measure 179,179,180
180,Measure 180,180,181
181,Measure 181,181,182
182,Measure 182,182,183
183,Measure 183,183,184
184,Measure 184,184,185
185,Measure 185,185,186
186,Measure 186,186,187
187,Measure 187,187,188
188,Measure 188,188,189
189,Measure 189,189,190
190,Measure 190,190,191
191,Measure 191,191,192
192,Measure 192,192,193
193,Measure 193,193,194
194,Measure 194,194,195
195,Measure 195,195,196
196,Measure 196,196,197
197,Measure 197,197,198
198,Measure 198,198,199
199,Measure 199,199,200
200,Measure 200,200,201
201,Measure 201,201,202
202,Measure 202,202,203
203,Measure 203,203,204
204,Measure 204,204,205
205,Measure 205,205,206
206,Measure 206,206,207
207,Measure 207,207,208
208,Measure 208,208,209
209,Measure 209,209,210
210,Measure 210,210,211
211,Measure 211,211,212
212,Measure 212,212,213
213,Measure 213,213,214
214,Measure 214,214,215
215,Measure 215,215,216
216,Measure 216,216,217
217,Measure 217,217,218
218,Measure 218,218,219
219,Measure 219,219,220
220,Measure 220,220,221
221,Measure 221,221,222
222,Measure 222,222,223
223,Measure 223,223,224
224,Measure 224,224,225
225,Measure 225,225,226
226,Measure 226,226,227
227,Measure 227,227,228
228,Measure 228,228,229
229,Measure 229,229,230
230,Measure 230,230,231
231,Measure 231,231,232
232,Measure 232,232,233
233,Measure 233,233,234
234,Measure 234,234,235
235,Measure 235,235,236
236,Measure 236,236,237
237,Measure 237,237,238
238,Measure 238,238,239
239,Measure 239,239,240
240,Measure 240,240,241
241,Measure 241,241,242
242,Measure 242,242,243
243,Measure 243,243,244
244,Measure 244,244,245
245,Measure 245,245,246
246,Measure 246,246,247
247,Measure 247,247,248
248,Measure 248,248,249
249,Measure 249,249,250
250,Measure 250,250,251
251,Measure 251,251,252
252,Measure 252,252,253
253,Measure 253,253,254
254,Measure 254,254,255
255,Measure 255,255,256
256,Measure 256,256,257
257,Measure 257,257,258
258,Measure 258,258,259
259,Measure 259,259,260
260,Measure 260,260,261
261,Measure 261,261,262
262,Measure 262,262,263
263,Measure 263,263,264
264,Measure 264,264,265
265,Measure 265,265,266
266,Measure 266,266,267
267,Measure 267,267,268
268,Measure 268,268,269
269,Measure 269,269,270
270,Measure 270,270,271
271,Measure 271,271,272
272,Measure 272,272,273
273,Measure 273,273,274
274,Measure 274,274,275
275,Measure 275,275,276
276,Measure 276,276,277
277,Measure 277,277,278
278,Measure 278,278,279
279,Measure 279,279,280
280,Measure 280,280,281
281,Measure 281,281,282
282,Measure 282,282,283
283,Measure 283,283,284
284,Measure 284,284,285
285,Measure 285,285,286
286,Measure 286,286,287
287,Measure 287,287,288
288,Measure 288,288,289
289,Measure 289,289,290
290,Measure 290,290,291
291,Measure 291,291,292
292,Measure 292,292,293
