Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,62476613,version,1
Real Times File,Name,..\..\Data\Movement01Midi\Movement01Timing.csv,Date,9/3/2015 12:00:50 PM,md5,16782441,version,1
Measures Times File,Name,..\..\Data\Movement01Midi\Movement01Measures.csv,Date,9/3/2015 12:00:50 PM,md5,16991442,version,1
MIDI File,Name,..\..\Data\Movement01Midi\Movement01Clar.mid,Date,3/29/2015 9:28:18 PM,md5,65337010
Start Frame,End Frame,Note,Volume
0,502,0,0
503,704,69,50
705,1007,69,50
1008,1009,0,0
1010,1124,69,96
1125,1125,0,0
1126,1128,86,127
1129,1178,81,127
1179,1180,77,127
1181,1204,74,127
1205,1206,69,127
1207,1226,65,127
1227,1229,69,127
1230,1232,65,127
1233,1263,62,127
1264,1264,0,0
1265,1270,77,127
1271,1276,76,127
1277,1277,0,0
1278,1283,74,127
1284,1294,81,127
1295,1296,0,0
1297,1307,79,127
1308,1309,0,0
1310,1320,76,127
1321,1322,0,0
1323,1333,81,127
1334,1335,0,0
1336,1355,74,127
1356,1361,0,0
1362,1381,64,127
1382,1387,0,0
1388,1407,65,127
1408,1438,0,0
1439,1459,67,127
1460,1464,0,0
1465,1484,69,127
1485,1490,0,0
1491,1605,70,127
1606,1606,0,0
1607,1618,70,127
1619,1619,0,0
1620,1631,70,127
1632,1632,0,0
1633,1643,70,127
1644,1645,0,0
1646,1660,70,127
1661,1701,0,0
1702,1729,67,50
1730,1754,64,50
1755,1756,65,127
1757,1771,65,127
1772,1812,0,0
1813,1840,69,50
1841,1865,65,50
1866,1867,67,127
1868,1868,0,0
1869,1882,67,127
1883,1895,0,0
1896,1950,82,127
1951,1951,0,0
1952,2006,77,127
2007,2007,0,0
2008,2021,77,127
2022,2035,0,0
2036,2089,81,127
2090,2090,0,0
2091,2353,69,50
2354,2354,0,0
2355,2607,69,50
2608,2608,0,0
2609,2801,69,50
2802,2803,0,0
2804,2918,74,96
2919,2920,0,0
2921,2923,82,127
2924,2972,77,127
2973,2974,74,127
2975,2997,82,127
2998,2999,77,127
3000,3019,74,127
3020,3022,77,127
3023,3024,74,127
3025,3055,70,127
3056,3056,0,0
3057,3062,74,127
3063,3068,72,127
3069,3069,0,0
3070,3074,70,127
3075,3075,0,0
3076,3085,77,127
3086,3087,0,0
3088,3098,75,127
3099,3100,0,0
3101,3111,72,127
3112,3113,0,0
3114,3123,77,127
3124,3125,0,0
3126,3146,74,127
3147,3209,0,0
3210,3213,77,127
3214,3214,0,0
3215,3218,75,127
3219,3223,74,127
3224,3233,82,127
3234,3241,0,0
3242,3252,76,127
3253,3285,0,0
3286,3290,79,127
3291,3291,0,0
3292,3296,77,127
3297,3297,0,0
3298,3303,76,127
3304,3316,73,127
3317,3328,0,0
3329,3341,77,127
3342,3383,0,0
3384,3389,81,127
3390,3390,0,0
3391,3395,79,127
3396,3396,0,0
3397,3401,77,127
3402,3402,0,0
3403,3415,86,127
3416,3433,0,0
3434,3438,81,127
3439,3439,0,0
3440,3445,79,127
3446,3451,78,127
3452,3457,86,127
3458,3463,82,127
3464,3464,0,0
3465,3469,81,127
3470,3470,0,0
3471,3475,79,127
3476,3476,0,0
3477,3482,86,127
3483,3488,70,127
3489,3494,69,127
3495,3500,67,127
3501,3501,0,0
3502,3506,68,127
3507,3507,0,0
3508,3512,74,127
3513,3513,0,0
3514,3519,74,127
3520,3525,74,127
3526,3622,69,127
3623,3623,0,0
3624,3634,73,127
3635,3637,0,0
3638,3648,74,127
3649,3651,0,0
3652,3663,76,127
3664,3665,0,0
3666,3677,77,127
3678,3679,0,0
3680,3700,79,127
3701,3706,0,0
3707,3726,77,127
3727,3732,0,0
3733,3752,76,127
3753,3784,0,0
3785,3838,69,127
3839,3849,67,127
3850,3851,0,0
3852,3862,65,127
3863,3865,0,0
3866,3875,64,127
3876,3878,0,0
3879,3889,62,127
3890,3891,0,0
3892,3902,61,127
3903,3904,0,0
3905,3915,62,127
3916,3918,0,0
3919,3929,64,127
3930,3931,0,0
3932,3942,65,127
3943,3945,0,0
3946,3966,67,127
3967,3971,0,0
3972,3992,70,127
3993,3998,0,0
3999,4019,72,127
4020,4025,0,0
4026,4046,70,127
4047,4052,0,0
4053,4073,78,127
4074,4079,0,0
4080,4100,77,89
4101,4105,0,0
4106,4142,75,50
4143,4148,77,50
4149,4154,79,50
4155,4166,79,50
4167,4172,77,50
4173,4178,75,50
4179,4190,75,50
4191,4196,74,50
4197,4202,72,50
4203,4214,72,50
4215,4226,70,50
4227,4297,0,0
4298,4334,75,50
4335,4340,77,50
4341,4346,79,50
4347,4360,79,50
4361,4367,77,50
4368,4372,75,50
4373,4387,75,50
4388,4394,74,50
4395,4399,72,50
4400,4427,74,50
4428,4440,0,0
4441,4453,79,50
4454,4481,77,50
4482,4507,0,0
4508,4547,69,50
4548,4548,0,0
4549,4560,75,50
4561,4561,0,0
4562,4589,72,50
4590,4629,0,0
4630,4656,62,55
4657,4663,67,65
4664,4670,65,67
4671,4683,0,0
4684,4710,65,75
4711,4717,72,85
4718,4724,70,87
4725,4737,0,0
4738,4764,69,85
4765,4771,74,75
4772,4778,72,73
4779,4841,0,0
4842,4854,76,50
4855,4867,77,50
4868,4880,70,50
4881,4891,71,50
4892,4892,0,0
4893,4904,77,50
4905,4905,0,0
4906,4917,77,50
4918,4931,77,50
4932,4943,0,0
4944,4957,73,50
4958,4970,74,50
4971,4982,67,50
4983,4993,68,50
4994,4994,0,0
4995,5006,74,50
5007,5007,0,0
5008,5019,74,50
5020,5020,0,0
5021,5032,74,50
5033,5046,74,50
5047,5115,0,0
5116,5123,74,90
5124,5128,75,93
5129,5135,77,96
5136,5141,79,100
5142,5154,82,100
5155,5166,82,100
5167,5179,82,100
5180,5186,82,100
5187,5199,82,100
5200,5211,74,100
5212,5227,0,0
5228,5238,72,100
5239,5241,0,0
5242,5283,82,50
5284,5297,81,50
5298,5303,80,50
5304,5310,79,50
5311,5316,77,50
5317,5324,75,50
5325,5330,74,50
5331,5338,72,50
5339,5344,70,50
5345,5352,68,50
5353,5393,79,50
5394,5407,78,64
5408,5413,77,69
5414,5421,75,71
5422,5427,74,74
5428,5434,72,76
5435,5440,71,78
5441,5448,68,81
5449,5454,67,83
5455,5462,65,86
5463,5468,63,88
5469,5476,53,90
5477,5482,55,93
5483,5490,57,95
5491,5496,58,98
5497,5503,60,100
5504,5509,62,102
5510,5517,63,105
5518,5523,65,107
5524,5531,67,110
5532,5537,69,112
5538,5545,70,115
5546,5551,72,117
5552,5558,74,119
5559,5564,75,122
5565,5571,77,124
5572,5582,77,127
5583,5584,0,0
5585,5593,76,127
5594,5594,0,0
5595,5597,76,127
5598,5610,77,127
5611,5622,0,0
5623,5633,79,127
5634,5635,0,0
5636,5644,78,127
5645,5648,78,127
5649,5661,79,127
5662,5673,0,0
5674,5712,79,50
5713,5718,81,50
5719,5723,82,50
5724,5724,0,0
5725,5750,74,50
5751,5774,72,50
5775,5775,0,0
5776,5785,77,127
5786,5787,0,0
5788,5796,76,127
5797,5797,0,0
5798,5800,76,127
5801,5813,77,127
5814,5825,0,0
5826,5836,78,127
5837,5838,0,0
5839,5847,77,127
5848,5848,0,0
5849,5851,77,127
5852,5864,78,127
5865,6317,0,0
6318,6333,70,50
6334,6347,0,0
6348,6363,69,50
6364,6377,0,0
6378,6392,66,50
6393,6407,65,50
6408,6427,0,0
6428,6439,70,50
6440,6449,69,50
6450,6583,0,0
6584,6616,78,50
6617,6622,77,50
6623,6629,75,50
6630,6635,72,50
6636,6683,0,0
6684,6715,79,50
6716,6721,77,50
6722,6727,74,50
6728,6733,70,50
6734,6784,0,0
6785,6816,78,57
6817,6822,77,62
6823,6829,75,63
6830,6835,72,64
6836,6884,0,0
6885,6916,79,72
6917,6922,77,77
6923,6928,74,78
6929,6934,70,79
6935,6957,0,0
6958,6964,78,84
6965,6970,77,85
6971,6976,75,86
6977,6983,72,87
6984,7005,0,0
7006,7012,79,91
7013,7017,77,92
7018,7023,74,93
7024,7029,70,94
7030,7042,0,0
7043,7050,78,97
7051,7063,77,98
7064,7077,77,100
7078,7085,77,102
7086,7098,0,0
