Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,62476613,version,1
Real Times File,Name,..\..\Data\Movement01Midi\Movement01Timing.csv,Date,9/3/2015 12:00:50 PM,md5,16782441,version,1
Measures Times File,Name,..\..\Data\Movement01Midi\Movement01Measures.csv,Date,9/3/2015 12:00:50 PM,md5,16991442,version,1
MIDI File,Name,..\..\Data\Movement01Midi\Movement01DBas.mid,Date,3/29/2015 9:30:34 PM,md5,57616168
Start Frame,End Frame,Note,Volume
0,499,0,0
500,502,40,50
503,528,33,50
529,701,0,0
702,704,40,50
705,731,33,50
732,913,0,0
914,916,40,70
917,930,33,71
931,1002,0,0
1003,1008,40,94
1009,1009,0,0
1010,1017,40,96
1018,1023,33,98
1024,1125,0,0
1126,1128,50,127
1129,1178,45,127
1179,1180,41,127
1181,1204,38,127
1205,1206,33,127
1207,1226,29,127
1227,1229,33,127
1230,1232,29,127
1233,1265,38,127
1266,1270,41,127
1271,1276,40,127
1277,1277,0,0
1278,1283,38,127
1284,1294,45,127
1295,1296,0,0
1297,1307,43,127
1308,1309,0,0
1310,1320,40,127
1321,1322,0,0
1323,1333,45,127
1334,1335,0,0
1336,1355,50,127
1356,1361,0,0
1362,1381,45,127
1382,1387,0,0
1388,1407,38,127
1408,1438,0,0
1439,1459,43,127
1460,1464,0,0
1465,1484,38,127
1485,1490,0,0
1491,1502,31,127
1503,1503,0,0
1504,1542,39,127
1543,1605,39,127
1606,1606,0,0
1607,1618,39,127
1619,1619,0,0
1620,1631,39,127
1632,1632,0,0
1633,1643,39,127
1644,1645,0,0
1646,1660,40,127
1661,1701,0,0
1702,1715,33,50
1716,1756,0,0
1757,1771,33,127
1772,1812,0,0
1813,1827,33,50
1828,1868,0,0
1869,1882,33,127
1883,1895,0,0
1896,1903,43,127
1904,1950,43,127
1951,1951,0,0
1952,1959,44,127
1960,2006,44,127
2007,2007,0,0
2008,2015,45,127
2016,2062,45,127
2063,2077,33,127
2078,2090,0,0
2091,2119,38,127
2120,2300,0,0
2301,2303,45,50
2304,2329,38,50
2330,2503,0,0
2504,2506,45,50
2507,2532,38,50
2533,2706,0,0
2707,2709,45,70
2710,2737,38,71
2738,2796,0,0
2797,2802,45,94
2803,2803,0,0
2804,2811,45,96
2812,2817,38,98
2818,2920,0,0
2921,2923,46,127
2924,2972,41,127
2973,2974,38,127
2975,2997,34,127
2998,2999,29,127
3000,3019,26,127
3020,3022,29,127
3023,3024,26,127
3025,3057,34,127
3058,3062,38,127
3063,3068,36,127
3069,3069,0,0
3070,3074,34,127
3075,3075,0,0
3076,3085,41,127
3086,3087,0,0
3088,3098,39,127
3099,3100,0,0
3101,3111,36,127
3112,3113,0,0
3114,3123,41,127
3124,3125,0,0
3126,3146,38,127
3147,3175,0,0
3176,3183,41,127
3184,3185,0,0
3186,3193,39,127
3194,3194,0,0
3195,3203,38,127
3204,3204,0,0
3205,3214,46,127
3215,3241,0,0
3242,3252,40,127
3253,3265,0,0
3266,3269,43,127
3270,3274,41,127
3275,3278,40,127
3279,3279,0,0
3280,3292,49,127
3293,3328,0,0
3329,3341,41,127
3342,3359,0,0
3360,3364,45,127
3365,3365,0,0
3366,3370,43,127
3371,3371,0,0
3372,3377,41,127
3378,3390,50,127
3391,3408,0,0
3409,3414,45,127
3415,3420,43,127
3421,3426,42,127
3427,3427,0,0
3428,3440,50,127
3441,3457,0,0
3458,3463,46,127
3464,3464,0,0
3465,3469,45,127
3470,3470,0,0
3471,3475,43,127
3476,3476,0,0
3477,3482,50,127
3483,3488,34,127
3489,3494,33,127
3495,3500,31,127
3501,3501,0,0
3502,3506,32,127
3507,3507,0,0
3508,3512,44,127
3513,3513,0,0
3514,3519,44,127
3520,3525,44,127
3526,3532,33,127
3533,3573,33,127
3574,3574,0,0
3575,3584,37,127
3585,3586,0,0
3587,3596,38,127
3597,3598,0,0
3599,3609,40,127
3610,3611,0,0
3612,3621,41,127
3622,3623,0,0
3624,3634,43,127
3635,3637,0,0
3638,3648,41,127
3649,3651,0,0
3652,3663,40,127
3664,3665,0,0
3666,3677,38,127
3678,3679,0,0
3680,3700,37,127
3701,3706,0,0
3707,3726,38,127
3727,3732,0,0
3733,3739,33,127
3740,3746,45,127
3747,3752,46,127
3753,3759,45,127
3760,3764,46,127
3765,3772,45,127
3773,3777,46,127
3778,3785,45,127
3786,3791,43,127
3792,3798,33,127
3799,3804,41,127
3805,3812,33,127
3813,3818,40,127
3819,3826,33,127
3827,3831,38,127
3832,3839,33,127
3840,3845,37,127
3846,3852,33,127
3853,3858,38,127
3859,3866,33,127
3867,3871,40,127
3872,3879,33,127
3880,3884,41,127
3885,3892,33,127
3893,3912,43,127
3913,3918,0,0
3919,3939,41,127
3940,3945,0,0
3946,3966,40,127
3967,3971,0,0
3972,3992,37,127
3993,3998,0,0
3999,4019,36,127
4020,4025,0,0
4026,4046,30,127
4047,4052,0,0
4053,4073,29,127
4074,4079,0,0
4080,4100,29,89
4101,4105,0,0
4106,4117,29,50
4118,4124,41,50
4125,4130,41,50
4131,4142,41,50
4143,4213,0,0
4214,4220,41,50
4221,4226,41,50
4227,4238,41,50
4239,4309,0,0
4310,4316,41,50
4317,4322,41,50
4323,4334,41,50
4335,4386,0,0
4387,4407,33,50
4408,4412,34,50
4413,4413,0,0
4414,4419,37,50
4420,4420,0,0
4421,4426,38,50
4427,4441,41,50
4442,4453,0,0
4454,4459,37,50
4460,4460,0,0
4461,4466,38,50
4467,4467,0,0
4468,4473,41,50
4474,4474,0,0
4475,4480,45,50
4481,4495,46,50
4496,4507,0,0
4508,4513,36,50
4514,4514,0,0
4515,4520,41,50
4521,4521,0,0
4522,4527,45,50
4528,4533,47,50
4534,4534,0,0
4535,4548,48,50
4549,4561,0,0
4562,4567,39,50
4568,4568,0,0
4569,4574,41,50
4575,4575,0,0
4576,4581,45,50
4582,4587,48,50
4588,4588,0,0
4589,4602,51,50
4603,4642,0,0
4643,4648,38,60
4649,4649,0,0
4650,4655,41,62
4656,4656,0,0
4657,4662,45,65
4663,4668,46,67
4669,4669,0,0
4670,4683,50,70
4684,4696,0,0
4697,4702,38,80
4703,4703,0,0
4704,4709,41,82
4710,4710,0,0
4711,4716,45,85
4717,4722,46,87
4723,4723,0,0
4724,4737,48,90
4738,4750,0,0
4751,4756,36,80
4757,4757,0,0
4758,4763,39,78
4764,4769,41,75
4770,4770,0,0
4771,4776,45,73
4777,4777,0,0
4778,4791,48,70
4792,4803,0,0
4804,4808,39,60
4809,4809,0,0
4810,4815,45,58
4816,4821,48,55
4822,4822,0,0
4823,4827,51,53
4828,4828,0,0
4829,4842,50,50
4843,5032,0,0
5033,5072,31,50
5073,5084,41,68
5085,5090,41,75
5091,5097,39,78
5098,5103,38,81
5104,5110,48,84
5111,5115,46,87
5116,5123,56,90
5124,5128,55,93
5129,5135,53,96
5136,5141,51,100
5142,5148,50,100
5149,5154,48,100
5155,5161,46,100
5162,5166,45,100
5167,5174,43,100
5175,5179,41,100
5180,5186,39,100
5187,5200,41,100
5201,5213,0,0
5214,5224,53,100
5225,5461,0,0
5462,5502,48,88
5503,5517,46,102
5518,5523,45,107
5524,5531,43,110
5532,5537,41,112
