Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,62476613,version,1
Real Times File,Name,..\..\Data\Movement01Midi\Movement01Timing.csv,Date,9/3/2015 12:00:50 PM,md5,16782441,version,1
Measures Times File,Name,..\..\Data\Movement01Midi\Movement01Measures.csv,Date,9/3/2015 12:00:50 PM,md5,16991442,version,1
MIDI File,Name,..\..\Data\Movement01Midi\Movement01Hrn1.mid,Date,3/29/2015 3:07:04 PM,md5,36636535
Start Frame,End Frame,Note,Volume
0,299,0,0
300,501,64,50
502,502,0,0
503,704,64,50
705,1007,64,50
1008,1009,0,0
1010,1124,69,96
1125,1125,0,0
1126,1128,74,127
1129,1178,69,127
1179,1180,65,127
1181,1204,62,127
1205,1206,57,127
1207,1226,65,127
1227,1229,69,127
1230,1232,65,127
1233,1263,62,127
1264,1264,0,0
1265,1270,65,127
1271,1276,64,127
1277,1277,0,0
1278,1283,62,127
1284,1294,69,127
1295,1296,0,0
1297,1307,67,127
1308,1309,0,0
1310,1320,64,127
1321,1322,0,0
1323,1333,69,127
1334,1335,0,0
1336,1355,62,127
1356,1361,0,0
1362,1381,64,127
1382,1387,0,0
1388,1407,62,127
1408,1438,0,0
1439,1459,62,127
1460,1464,0,0
1465,1484,62,127
1485,1490,0,0
1491,1605,67,127
1606,1606,0,0
1607,1618,67,127
1619,1619,0,0
1620,1631,67,127
1632,1632,0,0
1633,1643,67,127
1644,1645,0,0
1646,1660,67,127
1661,1701,0,0
1702,1755,57,50
1756,1756,0,0
1757,1771,57,127
1772,1812,0,0
1813,1867,57,50
1868,1868,0,0
1869,1882,67,127
1883,1895,0,0
1896,1950,64,127
1951,1951,0,0
1952,2006,62,127
2007,2007,0,0
2008,2021,65,127
2022,2035,0,0
2036,2089,69,127
2090,2090,0,0
2091,2353,57,50
2354,2354,0,0
2355,2607,57,50
2608,2608,0,0
2609,2801,57,50
2802,2803,0,0
2804,2919,62,96
2920,2920,0,0
2921,2923,65,127
2924,2972,65,127
2973,2974,62,127
2975,2987,62,127
2988,3113,0,0
