Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,62476613,version,1
Real Times File,Name,..\..\Data\Movement01Midi\Movement01Timing.csv,Date,9/3/2015 12:00:50 PM,md5,16782441,version,1
Measures Times File,Name,..\..\Data\Movement01Midi\Movement01Measures.csv,Date,9/3/2015 12:00:50 PM,md5,16991442,version,1
MIDI File,Name,..\..\Data\Movement01Midi\Movement01Oboe.mid,Date,3/29/2015 9:27:52 PM,md5,41413147
Start Frame,End Frame,Note,Volume
0,704,0,0
705,1007,76,50
1008,1009,0,0
1010,1124,81,96
1125,1125,0,0
1126,1128,86,127
1129,1178,81,127
1179,1180,77,127
1181,1204,74,127
1205,1206,69,127
1207,1226,65,127
1227,1229,69,127
1230,1232,65,127
1233,1263,62,127
1264,1264,0,0
1265,1270,77,127
1271,1276,76,127
1277,1277,0,0
1278,1283,74,127
1284,1294,81,127
1295,1296,0,0
1297,1307,79,127
1308,1309,0,0
1310,1320,76,127
1321,1322,0,0
1323,1333,81,127
1334,1335,0,0
1336,1355,74,127
1356,1361,0,0
1362,1381,76,127
1382,1387,0,0
1388,1407,77,127
1408,1438,0,0
1439,1459,79,127
1460,1464,0,0
1465,1484,81,127
1485,1490,0,0
1491,1605,82,127
1606,1606,0,0
1607,1618,82,127
1619,1619,0,0
1620,1631,82,127
1632,1632,0,0
1633,1643,82,127
1644,1645,0,0
1646,1660,82,127
1661,1701,0,0
1702,1729,79,50
1730,1754,76,50
1755,1756,77,127
1757,1771,77,127
1772,1812,0,0
1813,1840,81,50
1841,1865,77,50
1866,1867,79,127
1868,1868,0,0
1869,1882,79,127
1883,1895,0,0
1896,1950,85,127
1951,1951,0,0
1952,2006,86,127
2007,2007,0,0
2008,2021,86,127
2022,2035,0,0
2036,2105,86,127
2106,2506,0,0
2507,2844,74,50
2845,2866,70,107
2867,2870,0,0
2871,2919,82,114
2920,2920,0,0
2921,2923,82,127
2924,2972,77,127
2973,2974,74,127
2975,2997,70,127
2998,2999,65,127
3000,3019,62,127
3020,3022,77,127
3023,3024,74,127
3025,3055,70,127
3056,3056,0,0
3057,3062,74,127
3063,3068,72,127
3069,3069,0,0
3070,3074,70,127
3075,3075,0,0
3076,3085,77,127
3086,3087,0,0
3088,3098,75,127
3099,3100,0,0
3101,3111,72,127
3112,3113,0,0
3114,3123,77,127
3124,3125,0,0
3126,3146,74,127
3147,3209,0,0
3210,3213,77,127
3214,3214,0,0
3215,3218,75,127
3219,3223,74,127
3224,3233,82,127
3234,3241,0,0
3242,3252,76,127
3253,3285,0,0
3286,3290,79,127
3291,3291,0,0
3292,3296,77,127
3297,3297,0,0
3298,3303,76,127
3304,3316,85,127
3317,3328,0,0
3329,3341,77,127
3342,3383,0,0
3384,3389,81,127
3390,3390,0,0
3391,3395,79,127
3396,3396,0,0
3397,3401,77,127
3402,3402,0,0
3403,3415,86,127
3416,3433,0,0
3434,3438,81,127
3439,3439,0,0
3440,3445,79,127
3446,3451,78,127
3452,3457,86,127
3458,3463,82,127
3464,3464,0,0
3465,3469,81,127
3470,3470,0,0
3471,3475,79,127
3476,3476,0,0
3477,3482,86,127
3483,3488,70,127
3489,3494,69,127
3495,3500,67,127
3501,3501,0,0
3502,3506,77,127
3507,3507,0,0
3508,3512,77,127
3513,3513,0,0
3514,3519,76,127
3520,3525,74,127
3526,3622,81,127
3623,3623,0,0
3624,3634,82,127
3635,3637,0,0
3638,3648,81,127
3649,3651,0,0
3652,3663,81,127
3664,3665,0,0
3666,3677,81,127
3678,3679,0,0
3680,3700,81,127
3701,3706,0,0
