ID,Shot,Start,End,Cam Start X,Cam Start Y,Cam Start Z,Target Start X,Target Start Y,Target Start Z,Cam End X,Cam End Y,Cam End Z,Target End X,Target End Y,Target End Z
1,Whole,0,810,0.06937,36.7443,17.093,0.84885,5.38347,13.5059,0.06937,36.7443,17.093,0.84885,5.38347,13.5059
2,Violin 1,811,916,9.74888,26.914,12.6681,7.58777,17.0053,11.1555,9.74888,26.914,12.6681,7.58777,17.0053,11.1555
3,Bass,917,969,0.82405,25.408,17.2231,-8.84776,17.8301,11.3084,0.82405,25.408,17.2231,-8.84776,17.8301,11.3084
4,Strings,970,1128,7.9262,27.9543,11.751,5.23447,13.9574,11.3084,7.9262,27.9543,11.751,5.23447,13.9574,11.3084
5,Timpani,1129,1335,0.41551,15.5951,15.5723,0.35991,12.6355,12.0115,0.41551,15.5951,15.5723,0.35991,12.6355,12.0115
6,Whole,1336,2217,0.06937,36.7443,17.093,0.84885,5.38347,13.5059,0.06937,36.7443,17.093,0.84885,5.38347,13.5059
7,Violin 2,2218,2512,9.74888,26.914,12.6681,7.58777,17.0053,11.1555,9.74888,26.914,12.6681,7.58777,17.0053,11.1555
8,Winds,2513,2762,5.66357,24.5909,17.9874,0.32849,16.5102,12.0727,5.66357,24.5909,17.9874,0.32849,16.5102,12.0727
9,Strings,2763,2920,0.19554,22.0149,11.751,0.20278,18.2139,10.3913,0.19554,22.0149,11.751,0.20278,18.2139,10.3913
10,Whole,2921,3801,0.06937,36.7443,17.093,0.84885,5.38347,13.5059,0.06937,36.7443,17.093,0.84885,5.38347,13.5059
11,Violin 1,3802,4198,0.38409,26.2336,10.8644,6.67643,17.2253,11.1555,0.38409,26.2336,10.8644,6.67643,17.2253,11.1555
12,Horns,4199,4346,10.126,16.5301,12.1178,4.16239,10.0297,11.7058,10.126,16.5301,12.1178,4.16239,10.0297,11.7058
13,Strings,4347,4777,-6.96198,23.36,12.821,5.10114,17.3795,11.3084,-6.96198,23.36,12.821,5.10114,17.3795,11.3084
14,Whole,4778,6220,0.06937,36.7443,17.093,0.84885,5.38347,13.5059,0.06937,36.7443,17.093,0.84885,5.38347,13.5059
15,Violins,6221,6594,0.38409,26.2336,10.8644,6.67643,17.2253,11.1555,0.38409,26.2336,10.8644,6.67643,17.2253,11.1555
16,Winds,6595,7117,8.59284,17.7325,11.751,-4.89839,16.4018,11.3084,8.59284,17.7325,11.751,-4.89839,16.4018,11.3084
17,Horns,7118,7513,4.3437,17.5706,13.0655,6.42503,12.5438,11.7058,4.3437,17.5706,13.0655,6.42503,12.5438,11.7058
18,Winds,7514,8354,5.66357,24.5909,17.9874,0.32849,16.5102,12.0727,5.66357,24.5909,17.9874,0.32849,16.5102,12.0727
19,Horns,8355,8551,10.126,16.5301,12.1178,4.16239,10.0297,11.7058,10.126,16.5301,12.1178,4.16239,10.0297,11.7058
20,Whole,8552,8971,0.06937,36.7443,17.093,0.84885,5.38347,13.5059,0.06937,36.7443,17.093,0.84885,5.38347,13.5059
21,Horns,8972,9411,-2.72703,19.5504,13.0655,2.37114,14.3979,11.7058,-2.72703,19.5504,13.0655,2.37114,14.3979,11.7058
22,Bassoon,9412,9693,-7.27308,14.8715,12.821,5.36779,14.4463,11.3084,-7.27308,14.8715,12.821,5.36779,14.4463,11.3084
23,Winds,9694,10211,8.59284,17.7325,11.751,-4.89839,16.4018,11.3084,8.59284,17.7325,11.751,-4.89839,16.4018,11.3084
24,Whole,10212,10913,0.06937,36.7443,17.093,0.84885,5.38347,13.5059,0.06937,36.7443,17.093,0.84885,5.38347,13.5059
