Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,37121646,version,1
Real Times File,Name,..\..\Data\Movement01Midi\Movement01Timing.csv,Date,10/23/2015 6:04:47 PM,md5,62910583,version,1
Measures Times File,Name,..\..\Data\Movement01Midi\Movement01Measures.csv,Date,10/23/2015 6:04:20 PM,md5,29197104,version,1
MIDI File,Name,..\..\Data\Movement01Midi\Movement01Timp.mid,Date,3/29/2015 9:29:04 PM,md5,23752792
Start Frame,End Frame,Note,Volume
0,1125,0,0
1126,1129,50,127
1130,1131,45,127
1132,1134,45,127
1135,1135,0,0
1136,1138,45,127
1139,1141,45,127
1142,1144,45,127
1145,1147,45,127
1148,1148,0,0
1149,1151,45,127
1152,1153,45,127
1154,1154,0,0
1155,1178,45,127
1179,1181,50,127
1182,1194,50,127
1195,1203,0,0
1204,1207,45,127
1208,1220,50,127
1221,1225,0,0
1226,1229,50,127
1230,1232,50,127
1233,1245,50,127
1246,1264,0,0
1265,1270,50,127
1271,1276,50,127
1277,1277,0,0
1278,1283,50,127
1284,1294,45,127
1295,1296,0,0
1297,1307,45,127
1308,1309,0,0
1310,1320,45,127
1321,1322,0,0
1323,1333,45,127
1334,1335,0,0
1336,1349,50,127
1350,1361,0,0
1362,1374,45,127
1375,1387,0,0
1388,1400,50,127
1401,1438,0,0
1439,1452,50,127
1453,1464,0,0
1465,1478,50,127
1479,1659,0,0
1660,1670,45,127
1671,1673,45,127
1674,1687,45,127
1688,1701,45,127
1702,1715,45,50
1716,1756,0,0
1757,1771,45,127
1772,1781,45,127
1782,1785,45,127
1786,1799,45,127
1800,1813,45,127
1814,1827,45,50
1828,1868,0,0
1869,1882,45,127
1883,1895,0,0
1896,1910,45,127
1911,1951,0,0
1952,1966,50,127
1967,2007,0,0
2008,2021,45,127
2022,2062,0,0
2063,2077,45,127
2078,2146,0,0
2147,2174,50,50
2175,2920,0,0
2921,2924,50,127
2925,2926,50,127
2927,2929,50,127
2930,2930,0,0
2931,2933,50,127
2934,2935,50,127
2936,2936,0,0
2937,2939,50,127
2940,2942,50,127
2943,2945,50,127
2946,2948,50,127
2949,2949,0,0
2950,2972,50,127
2973,2975,50,127
2976,2987,50,127
2988,2996,0,0
2997,3000,50,127
3001,3012,50,127
3013,3018,0,0
3019,3022,50,127
3023,3025,50,127
3026,3038,50,127
3039,3125,0,0
3126,3146,50,127
3147,3204,0,0
3205,3214,50,127
3215,3328,0,0
3329,3341,50,127
3342,3359,0,0
3360,3364,50,127
3365,3365,0,0
3366,3370,50,127
3371,3371,0,0
3372,3377,50,127
3378,3390,50,127
3391,3408,0,0
3409,3414,50,127
3415,3420,50,127
3421,3426,50,127
3427,3427,0,0
3428,3440,50,127
3441,3457,0,0
3458,3463,50,127
3464,3464,0,0
3465,3469,50,127
3470,3470,0,0
3471,3475,50,127
3476,3476,0,0
3477,3482,50,127
3483,3488,50,127
3489,3494,50,127
3495,3500,50,127
3501,3501,0,0
3502,3506,50,127
3507,3507,0,0
3508,3512,50,127
