Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,62476613,version,1
Real Times File,Name,..\..\Data\Movement01Midi\Movement01Timing.csv,Date,9/3/2015 12:00:50 PM,md5,16782441,version,1
Measures Times File,Name,..\..\Data\Movement01Midi\Movement01Measures.csv,Date,9/3/2015 12:00:50 PM,md5,16991442,version,1
MIDI File,Name,..\..\Data\Movement01Midi\Movement01Viol.mid,Date,3/29/2015 9:30:10 PM,md5,34723915
Start Frame,End Frame,Note,Volume
0,499,0,0
500,502,64,50
503,528,57,50
529,701,0,0
702,704,64,50
705,731,57,50
732,913,0,0
914,916,64,70
917,930,57,71
931,1002,0,0
1003,1008,64,94
1009,1009,0,0
1010,1017,64,96
1018,1023,57,98
1024,1056,0,0
1057,1061,69,109
1062,1062,0,0
1063,1070,69,110
1071,1075,57,112
1076,1083,57,114
1084,1089,69,116
1090,1096,69,118
1097,1102,57,119
1103,1109,57,121
1110,1115,69,123
1116,1121,57,125
1122,1125,0,0
1126,1128,74,127
1129,1178,69,127
1179,1180,65,127
1181,1204,62,127
1205,1206,57,127
1207,1226,53,127
1227,1229,57,127
1230,1232,53,127
1233,1265,50,127
1266,1270,65,127
1271,1276,64,127
1277,1277,0,0
1278,1283,62,127
1284,1294,69,127
1295,1296,0,0
1297,1307,67,127
1308,1309,0,0
1310,1320,64,127
1321,1322,0,0
1323,1333,69,127
1334,1335,0,0
1336,1355,62,127
1356,1361,0,0
1362,1374,57,127
1375,1387,0,0
1388,1407,50,127
1408,1438,0,0
1439,1459,55,127
1460,1464,0,0
1465,1484,62,127
1485,1490,0,0
1491,1502,55,127
1503,1503,0,0
1504,1542,55,127
1543,1605,55,127
1606,1606,0,0
1607,1618,70,127
1619,1619,0,0
1620,1631,70,127
1632,1632,0,0
1633,1643,55,127
1644,1645,0,0
1646,1660,55,127
1661,1701,0,0
1702,1715,52,50
1716,1756,0,0
1757,1771,65,127
1772,1812,0,0
