Version:,3,,Date:,9/16/2015
Measure,Time,,,
1,1,,1,0
2,2,,,
3,3,,,
4,4,,,
5,5,,5,2.175
6,6,,,
7,7,,,
8,8,,,
9,9,,,
10,10,,,
11,11,,,
12,12,,,
13,13,,,
14,14,,,
15,15,,,
16,16,,,
17,17,,,
18,18,,,
19,19,,,
20,20,,,
21,21,,,
22,22,,,
23,23,,,
24,24,,,
25,25,,,
26,26,,,
27,27,,,
28,28,,,
29,29,,,
30,30,,,
31,31,,,
32,32,,,
33,33,,,
34,34,,,
35,35,,,
36,36,,,
37,37,,,
38,38,,,
39,39,,,
40,40,,,
41,41,,,
42,42,,,
43,43,,,
44,44,,,
45,45,,,
46,46,,,
47,47,,,
48,48,,,
49,49,,,
50,50,,,
51,51,,,
52,52,,,
53,53,,,
54,54,,,
55,55,,,
56,56,,,
57,57,,57,30.639
58,58,,,
59,59,,,
60,60,,,
61,61,,,
62,62,,,
63,63,,,
64,64,,,
65,65,,,
66,66,,,
67,67,,,
68,68,,68,36.684
69,69,,,
70,70,,,
71,71,,,
72,72,,72,38.631
73,73,,,
74,74,,,
75,75,,,
76,76,,,
77,77,,,
78,78,,,
79,79,,,
80,80,,,
81,81,,,
82,82,,,
83,83,,,
84,84,,,
85,85,,,
86,86,,,
87,87,,,
88,88,,,
89,89,,,
90,90,,,
91,91,,,
92,92,,,
93,93,,93,49.905
94,94,,,
95,95,,,
96,96,,,
97,97,,,
98,98,,,
99,99,,,
100,100,,,
101,101,,,
102,102,,,
103,103,,,
104,104,,,
105,105,,,
106,106,,,
107,107,,,
108,108,,,
109,109,,,
110,110,,,
111,111,,111,60.289
112,112,,,
113,113,,,
114,114,,,
115,115,,,
116,116,,,
117,117,,,
118,118,,,
119,119,,,
120,120,,,
121,121,,,
122,122,,,
123,123,,,
124,124,,,
125,125,,,
126,126,,,
127,127,,,
128,128,,,
129,129,,,
130,130,,,
131,131,,,
132,132,,,
133,133,,,
134,134,,,
135,135,,,
136,136,,,
137,137,,,
138,138,,,
139,139,,,
140,140,,,
141,141,,,
142,142,,,
143,143,,,
144,144,,,
145,145,,,
146,146,,,
147,147,,,
148,148,,,
149,149,,,
150,150,,,
151,9,,,
152,10,,,
153,11,,,
154,12,,,
155,13,,,
156,14,,,
157,15,,,
158,16,,,
159,17,,,
160,18,,,
161,19,,,
162,20,,,
163,21,,,
164,22,,,
165,23,,,
166,24,,,
167,25,,,
168,26,,,
169,27,,,
170,28,,,
171,29,,,
172,30,,,
173,31,,,
174,32,,,
175,33,,,
176,34,,,
177,35,,,
178,36,,,
179,37,,,
180,38,,,
181,39,,,
182,40,,,
183,41,,,
184,42,,,
185,43,,,
186,44,,,
187,45,,,
188,46,,,
189,47,,,
190,48,,,
191,49,,,
192,50,,,
193,51,,,
194,52,,,
195,53,,,
196,54,,,
197,55,,,
198,56,,,
199,57,,199,108.87
200,58,,,
201,59,,,
202,60,,,
203,61,,,
204,62,,,
205,63,,,
206,64,,,
207,65,,,
208,66,,,
209,67,,,
210,68,,210,115.037
211,69,,,
212,70,,,
213,71,,,
214,72,,214,117.19
215,73,,,
216,74,,,
217,75,,,
218,76,,,
219,77,,,
220,78,,,
221,79,,,
222,80,,,
223,81,,,
224,82,,,
225,83,,,
226,84,,,
227,85,,,
228,86,,,
229,87,,,
230,88,,,
231,89,,,
232,90,,,
233,91,,,
234,92,,,
235,93,,235,128.517
236,94,,,
237,95,,,
238,96,,,
239,97,,,
240,98,,,
241,99,,,
242,100,,,
243,101,,,
244,102,,,
245,103,,,
246,104,,,
247,105,,,
248,106,,,
249,107,,,
250,108,,,
251,109,,,
252,110,,,
253,111,,253,139.043
254,112,,,
255,113,,,
256,114,,,
257,115,,,
258,116,,,
259,117,,,
260,118,,,
261,119,,,
262,120,,,
263,121,,,
264,122,,,
265,123,,,
266,124,,,
267,125,,,
268,126,,,
269,127,,,
270,128,,,
271,129,,,
272,130,,,
273,131,,,
274,132,,,
275,133,,,
276,134,,,
277,135,,,
278,136,,,
279,137,,,
280,138,,,
281,139,,,
282,140,,,
283,141,,,
284,142,,,
285,143,,,
286,144,,,
287,145,,,
288,146,,,
289,147,,,
290,148,,,
291,149,,,
292,150,,,
293,151,,293,161.764
294,152,,,
295,153,,,
296,154,,,
297,155,,,
298,156,,,
299,157,,,
300,158,,,
301,159,,301,166.764
302,160,,,
303,161,,,
304,162,,,
305,163,,,
306,164,,,
307,165,,,
308,166,,,
309,167,,,
310,168,,,
311,169,,,
312,170,,,
313,171,,,
314,172,,,
315,173,,,
316,174,,,
317,175,,,
318,176,,,
319,177,,,
320,178,,,
321,179,,,
322,180,,,
323,181,,,
324,182,,,
325,183,,,
326,184,,,
327,185,,,
328,186,,,
329,187,,,
330,188,,,
331,189,,,
332,190,,,
333,191,,,
334,192,,,
335,193,,,
336,194,,,
337,195,,337,188.194
338,196,,,
339,197,,,
340,198,,340,189.902
341,199,,,
342,200,,,
343,201,,343,191.541
344,202,,,
345,203,,,
346,204,,346,193.144
347,205,,,
348,206,,,
349,207,,,
350,208,,350,195.276
351,209,,,
352,210,,,
353,210,,,
354,211,,,
355,212,,,
356,213,,,
357,214,,,
358,215,,,
359,216,,,
360,217,,,
361,218,,,
362,219,,,
363,220,,,
364,221,,,
365,222,,,
366,223,,,
367,224,,,
368,225,,,
369,226,,,
370,227,,,
371,228,,,
372,229,,,
373,230,,,
374,231,,,
375,232,,,
376,233,,,
377,234,,,
378,235,,,
379,236,,,
380,237,,,
381,238,,,
382,239,,,
383,240,,,
384,241,,,
385,242,,,
386,243,,,
387,244,,,
388,245,,,
389,246,,,
390,247,,,
391,248,,391,217.238
392,249,,,
393,250,,,
394,251,,,
395,252,,,
396,253,,,
