Version:,1,,Date:,9/3/2015
Measure,Time,MSPerQuarter,MSPerMeasure,Frames
1,1.5,480,720,0
2,1.5,480,720,720
3,1.5,480,720,1440
4,1.5,480,720,2160
5,1.5,480,720,2880
6,1.5,480,720,3600
7,1.5,480,720,4320
8,1.5,480,720,5040
9,1.5,480,720,5760
10,1.5,480,720,6480
11,1.5,480,720,7200
12,1.5,480,720,7920
13,1.5,480,720,8640
14,1.5,480,720,9360
15,1.5,480,720,10080
16,1.5,480,720,10800
17,1.5,480,720,11520
18,1.5,480,720,12240
19,1.5,480,720,12960
20,1.5,480,720,13680
21,1.5,480,720,14400
22,1.5,480,720,15120
23,1.5,480,720,15840
24,1.5,480,720,16560
25,1.5,480,720,17280
26,1.5,480,720,18000
27,1.5,480,720,18720
28,1.5,480,720,19440
29,1.5,480,720,20160
30,1.5,480,720,20880
31,1.5,480,720,21600
32,1.5,480,720,22320
33,1.5,480,720,23040
34,1.5,480,720,23760
35,1.5,480,720,24480
36,1.5,480,720,25200
37,1.5,480,720,25920
38,1.5,480,720,26640
39,1.5,480,720,27360
40,1.5,480,720,28080
41,1.5,480,720,28800
42,1.5,480,720,29520
43,1.5,480,720,30240
44,1.5,480,720,30960
45,1.5,480,720,31680
46,1.5,480,720,32400
47,1.5,480,720,33120
48,1.5,480,720,33840
49,1.5,480,720,34560
50,1.5,480,720,35280
51,1.5,480,720,36000
52,1.5,480,720,36720
53,1.5,480,720,37440
54,1.5,480,720,38160
55,1.5,480,720,38880
56,1.5,480,720,39600
57,1.5,480,720,40320
58,1.5,480,720,41040
59,1.5,480,720,41760
60,1.5,480,720,42480
61,1.5,480,720,43200
62,1.5,480,720,43920
63,1.5,480,720,44640
64,1.5,480,720,45360
65,1.5,480,720,46080
66,1.5,480,720,46800
67,1.5,480,720,47520
68,1.5,480,720,48240
69,1.5,480,720,48960
70,1.5,480,720,49680
71,1.5,480,720,50400
72,1.5,480,720,51120
73,1.5,480,720,51840
74,1.5,480,720,52560
75,1.5,480,720,53280
76,1.5,480,720,54000
77,1.5,480,720,54720
78,1.5,480,720,55440
79,1.5,480,720,56160
80,1.5,480,720,56880
81,1.5,480,720,57600
82,1.5,480,720,58320
83,1.5,480,720,59040
84,1.5,480,720,59760
85,1.5,480,720,60480
86,1.5,480,720,61200
87,1.5,480,720,61920
88,1.5,480,720,62640
89,1.5,480,720,63360
90,1.5,480,720,64080
91,1.5,480,720,64800
92,1.5,480,720,65520
93,1.5,480,720,66240
94,1.5,480,720,66960
95,1.5,480,720,67680
96,1.5,480,720,68400
97,1.5,480,720,69120
98,1.5,480,720,69840
99,1.5,480,720,70560
100,1.5,480,720,71280
101,1.5,480,720,72000
102,1.5,480,720,72720
103,1.5,480,720,73440
104,1.5,480,720,74160
105,1.5,480,720,74880
106,1.5,480,720,75600
107,1.5,480,720,76320
108,1.5,480,720,77040
109,1.5,480,720,77760
110,1.5,480,720,78480
111,1.5,480,720,79200
112,1.5,480,720,79920
113,1.5,480,720,80640
114,1.5,480,720,81360
115,1.5,480,720,82080
116,1.5,480,720,82800
117,1.5,480,720,83520
118,1.5,480,720,84240
119,1.5,480,720,84960
120,1.5,480,720,85680
121,1.5,480,720,86400
122,1.5,480,720,87120
123,1.5,480,720,87840
124,1.5,480,720,88560
125,1.5,480,720,89280
126,1.5,480,720,90000
127,1.5,480,720,90720
128,1.5,480,720,91440
129,1.5,480,720,92160
130,1.5,480,720,92880
131,1.5,480,720,93600
132,1.5,480,720,94320
133,1.5,480,720,95040
134,1.5,480,720,95760
135,1.5,480,720,96480
136,1.5,480,720,97200
137,1.5,480,720,97920
138,1.5,480,720,98640
139,1.5,480,720,99360
140,1.5,480,720,100080
141,1.5,480,720,100800
142,1.5,480,720,101520
143,1.5,480,720,102240
144,1.5,480,720,102960
145,1.5,480,720,103680
146,1.5,480,720,104400
147,1.5,480,720,105120
148,1.5,480,720,105840
149,1.5,480,720,106560
150,1.5,480,720,107280
151,1.5,480,720,108000
152,1.5,480,720,108720
153,1.5,480,720,109440
154,1.5,480,720,110160
155,1.5,480,720,110880
156,1.5,480,720,111600
157,1.5,480,720,112320
158,1.5,480,720,113040
159,1.5,480,720,113760
160,1.5,480,720,114480
161,1.5,480,720,115200
162,1.5,480,720,115920
163,1.5,480,720,116640
164,1.5,480,720,117360
165,1.5,480,720,118080
166,1.5,480,720,118800
167,1.5,480,720,119520
168,1.5,480,720,120240
169,1.5,480,720,120960
170,1.5,480,720,121680
171,1.5,480,720,122400
172,1.5,480,720,123120
173,1.5,480,720,123840
174,1.5,480,720,124560
175,1.5,480,720,125280
176,1.5,480,720,126000
177,1.5,480,720,126720
178,1.5,480,720,127440
179,1.5,480,720,128160
180,1.5,480,720,128880
181,1.5,480,720,129600
182,1.5,480,720,130320
183,1.5,480,720,131040
184,1.5,480,720,131760
185,1.5,480,720,132480
186,1.5,480,720,133200
187,1.5,480,720,133920
188,1.5,480,720,134640
189,1.5,480,720,135360
190,1.5,480,720,136080
191,1.5,480,720,136800
192,1.5,480,720,137520
193,1.5,480,720,138240
194,1.5,480,720,138960
195,1.5,480,720,139680
196,1.5,480,720,140400
197,1.5,480,720,141120
198,1.5,480,720,141840
199,1.5,480,720,142560
200,1.5,480,720,143280
201,1.5,480,720,144000
202,1.5,480,720,144720
203,1.5,480,720,145440
204,1.5,480,720,146160
205,1.5,480,720,146880
206,1.5,480,720,147600
207,1.5,480,720,148320
208,1.5,480,720,149040
209,1.5,480,720,149760
210,1.5,480,720,150480
211,1.5,480,720,151200
212,1.5,480,720,151920
213,1.5,480,720,152640
214,1.5,480,720,153360
215,1.5,480,720,154080
216,1.5,480,720,154800
217,1.5,480,720,155520
218,1.5,480,720,156240
219,1.5,480,720,156960
220,1.5,480,720,157680
221,1.5,480,720,158400
222,1.5,480,720,159120
223,1.5,480,720,159840
224,1.5,480,720,160560
225,1.5,480,720,161280
226,1.5,480,720,162000
227,1.5,480,720,162720
228,1.5,480,720,163440
229,1.5,480,720,164160
230,1.5,480,720,164880
231,1.5,480,720,165600
232,1.5,480,720,166320
233,1.5,480,720,167040
234,1.5,480,720,167760
235,1.5,480,720,168480
236,1.5,480,720,169200
237,1.5,480,720,169920
238,1.5,480,720,170640
239,1.5,480,720,171360
240,1.5,480,720,172080
241,1.5,480,720,172800
242,1.5,480,720,173520
243,1.5,480,720,174240
244,1.5,480,720,174960
245,1.5,480,720,175680
246,1.5,480,720,176400
247,1.5,480,720,177120
248,1.5,480,720,177840
249,1.5,480,720,178560
250,1.5,480,720,179280
251,1.5,480,720,180000
252,1.5,480,720,180720
253,1.5,480,720,181440
254,1.5,480,720,182160
255,1.5,480,720,182880
256,1.5,480,720,183600
257,1.5,480,720,184320
258,1.5,480,720,185040
259,1.5,480,720,185760
260,1.5,480,720,186480
261,1.5,480,720,187200
262,1.5,480,720,187920
263,1.5,480,720,188640
264,1.5,480,720,189360
265,1.5,480,720,190080
266,1.5,480,720,190800
267,1.5,480,720,191520
268,1.5,480,720,192240
269,1.5,480,720,192960
270,1.5,480,720,193680
271,1.5,480,720,194400
272,1.5,480,720,195120
273,1.5,480,720,195840
274,1.5,480,720,196560
