Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement02Midi\Movement02Timing.csv,Date,9/17/2015 11:46:44 AM,md5,27973187,version,2
Measures Times File,Name,..\..\Data\Movement02Midi\Movement02Measures.csv,Date,9/3/2015 10:14:48 AM,md5,50833863,version,1
MIDI File,Name,..\..\Data\Movement02Midi\Movement02BTmb.mid,Date,5/23/2015 8:14:48 PM,md5,31981697
Start Frame,End Frame,Note,Volume
0,9615,0,0
9616,9642,62,50
9643,11642,0,0
11643,11647,50,77
11648,11656,0,0
11657,11661,62,78
11662,11671,0,0
11672,11675,62,80
11676,11685,0,0
11686,11690,57,81
11691,11700,0,0
11701,11704,54,83
11705,11714,0,0
11715,11719,50,84
11720,11721,0,0
11722,11726,48,85
11727,11729,0,0
11730,11733,47,86
11734,11743,0,0
11744,11748,50,87
11749,11758,0,0
11759,11762,57,89
11763,11772,0,0
11773,11777,62,90
11778,11786,0,0
11787,11791,62,92
11792,11801,0,0
11802,11805,57,93
11806,11815,0,0
11816,11820,54,95
11821,11830,0,0
11831,11834,50,96
11835,11837,0,0
11838,11842,48,97
11843,11844,0,0
11845,11849,47,98
11850,11859,0,0
11860,11863,50,99
11864,11873,0,0
11874,11878,57,101
11879,11888,0,0
11889,11892,62,102
11893,11895,0,0
11896,11899,61,103
11900,11902,0,0
11903,11907,62,104
11908,11916,0,0
11917,11921,57,105
11922,11931,0,0
11932,11936,54,107
11937,11945,0,0
11946,11950,50,108
11951,11953,0,0
11954,11957,48,109
11958,11960,0,0
11961,11964,47,110
11965,11974,0,0
11975,11979,49,111
11980,11982,0,0
11983,11986,50,112
11987,11989,0,0
11990,11993,57,113
11994,12003,0,0
12004,12008,62,114
12009,12010,0,0
12011,12015,61,115
12016,12018,0,0
12019,12022,62,116
12023,12032,0,0
12033,12037,57,117
12038,12047,0,0
12048,12051,54,119
12052,12061,0,0
12062,12066,50,120
12067,12075,0,0
12076,12080,47,122
