Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement02Midi\Movement02Timing.csv,Date,9/17/2015 11:46:44 AM,md5,27973187,version,2
Measures Times File,Name,..\..\Data\Movement02Midi\Movement02Measures.csv,Date,9/3/2015 10:14:48 AM,md5,50833863,version,1
MIDI File,Name,..\..\Data\Movement02Midi\Movement02Clar.mid,Date,5/23/2015 8:12:34 PM,md5,27199126
Start Frame,End Frame,Note,Volume
0,380,0,0
381,385,74,127
386,388,0,0
389,391,62,127
392,395,62,127
396,495,0,0
496,499,74,50
500,512,0,0
513,515,69,50
516,528,0,0
529,532,71,50
533,544,0,0
545,548,72,50
549,561,0,0
562,565,70,50
566,577,0,0
578,581,65,50
582,594,0,0
595,597,61,50
598,610,0,0
611,614,62,50
615,626,0,0
627,630,69,50
631,643,0,0
644,647,69,50
648,659,0,0
660,663,64,50
664,676,0,0
677,679,76,50
680,692,0,0
693,696,73,50
697,709,0,0
710,712,74,50
713,725,0,0
726,729,79,50
730,741,0,0
742,745,74,50
746,758,0,0
759,762,74,50
763,774,0,0
775,778,76,50
779,791,0,0
792,794,76,50
795,807,0,0
808,811,76,50
812,824,0,0
825,827,76,50
828,840,0,0
841,844,74,50
845,856,0,0
857,860,69,50
861,873,0,0
874,877,69,50
878,889,0,0
890,893,74,50
894,906,0,0
907,909,69,50
910,922,0,0
923,926,71,50
927,939,0,0
940,942,69,50
943,955,0,0
956,959,64,50
960,971,0,0
972,975,69,50
976,988,0,0
989,991,69,50
992,1004,0,0
1005,1008,69,50
1009,1021,0,0
1022,1219,69,50
1220,1223,81,127
1224,1226,0,0
1227,1228,69,127
1229,1229,0,0
1230,1232,69,127
1233,1234,0,0
1235,1238,74,127
1239,1240,0,0
1241,1243,76,127
1244,1245,0,0
1246,1249,77,127
1250,1251,0,0
1252,1254,76,127
1255,1256,0,0
1257,1260,77,127
1261,1262,0,0
1263,1265,79,127
1266,1267,0,0
1268,1271,77,127
1272,1273,0,0
1274,1276,76,127
1277,1278,0,0
1279,1282,74,127
1283,1284,0,0
1285,1287,74,127
1288,1289,0,0
1290,1293,74,127
1294,1295,0,0
1296,1298,74,127
1299,1300,0,0
1301,1304,77,127
1305,1306,0,0
1307,1309,76,127
1310,1311,0,0
1312,1315,74,127
1316,1317,0,0
1318,1320,73,127
1321,1322,0,0
1323,1326,74,127
1327,1328,0,0
1329,1331,76,127
1332,1333,0,0
1334,1337,74,127
1338,1339,0,0
1340,1342,73,127
1343,1344,0,0
1345,1348,74,127
1349,1350,0,0
1351,1353,74,127
1354,1355,0,0
1356,1359,74,127
1360,1361,0,0
1362,1364,74,127
1365,1366,0,0
1367,1370,77,127
1371,1372,0,0
1373,1375,76,127
1376,1377,0,0
1378,1381,74,127
1382,1383,0,0
1384,1386,73,127
1387,1388,0,0
1389,1392,74,127
1393,1394,0,0
1395,1397,76,127
1398,1399,0,0
1400,1402,69,127
1403,1404,0,0
1405,1407,69,127
1408,1409,0,0
1410,1412,71,127
1413,1414,0,0
1415,1417,71,127
1418,1418,0,0
1419,1422,71,127
1423,1423,0,0
1424,1427,74,127
1428,1428,0,0
1429,1432,76,127
1433,1433,0,0
1434,1437,74,127
1438,1438,0,0
1439,1441,72,127
1442,1443,0,0
1444,1446,71,127
1447,1448,0,0
1449,1451,72,127
1452,1453,0,0
1454,1456,74,127
1457,1457,0,0
1458,1461,72,127
1462,1463,0,0
1464,1466,81,127
1467,1468,0,0
1469,1472,81,127
1473,1474,0,0
1475,1477,81,127
1478,1479,0,0
1480,1483,79,127
1484,1484,0,0
1485,1488,77,127
1489,1490,0,0
1491,1493,76,127
1494,1495,0,0
1496,1499,74,127
1500,1500,0,0
1501,1504,72,127
1505,1506,0,0
1507,1509,79,127
1510,1511,0,0
1512,1515,77,127
1516,1516,0,0
1517,1520,76,127
1521,1522,0,0
1523,1526,79,127
1527,1527,0,0
1528,1531,77,127
1532,1533,0,0
1534,1536,76,127
1537,1538,0,0
1539,1542,74,127
1543,1667,0,0
1668,1700,67,50
1701,1716,69,69
1717,1717,65,78
1718,1731,0,0
1732,1733,68,88
1734,1747,0,0
1748,1749,67,98
1750,1763,0,0
1764,1765,63,107
1766,1780,0,0
1781,1781,62,117
1782,1796,0,0
1797,1802,72,127
1803,1808,64,127
1809,1811,74,127
1812,1814,76,127
1815,1817,77,127
1818,1824,0,0
1825,1828,76,127
1829,1830,0,0
1831,1834,74,127
1835,1842,0,0
1843,1846,72,127
1847,1848,0,0
1849,1851,74,127
1852,1859,0,0
1860,1863,71,127
1864,1865,0,0
1866,1877,64,127
1878,1880,65,127
1881,1883,67,127
1884,1886,69,127
1887,1894,0,0
1895,1898,67,127
1899,1899,0,0
1900,1903,65,127
1904,1911,0,0
1912,1915,64,127
1916,1917,0,0
1918,1921,65,127
1922,1928,0,0
1929,1932,62,127
1933,1934,0,0
1935,1938,64,127
1939,1940,0,0
1941,1947,72,127
1948,1950,74,127
1951,1952,76,127
1953,1955,77,127
1956,1957,0,0
1958,1961,77,127
1962,1963,0,0
1964,1967,76,127
1968,1969,0,0
1970,1973,74,127
1974,1974,0,0
1975,1978,74,127
1979,1980,0,0
1981,1984,72,127
1985,1986,0,0
1987,1990,74,127
1991,1992,0,0
1993,1996,74,127
1997,1998,0,0
1999,2001,71,127
2002,2003,0,0
2004,2007,72,127
2008,2009,0,0
2010,2016,64,127
2017,2019,65,127
2020,2022,67,127
2023,2024,69,127
2025,2026,0,0
2027,2030,69,127
2031,2032,0,0
2033,2036,67,127
2037,2038,0,0
2039,2042,65,127
2043,2044,0,0
2045,2048,65,127
2049,2049,0,0
2050,2053,64,127
2054,2055,0,0
2056,2059,65,127
2060,2061,0,0
2062,2065,65,127
2066,2067,0,0
2068,2071,71,127
2072,2073,0,0
2074,2078,64,127
2079,2081,0,0
2082,2084,64,127
2085,2088,64,127
2089,2090,0,0
2091,2094,64,127
2095,2096,0,0
2097,2099,65,127
2100,2101,0,0
2102,2105,67,127
2106,2107,0,0
2108,2111,69,127
2112,2124,0,0
2125,2127,69,127
2128,2129,0,0
2130,2133,71,127
2134,2135,0,0
2136,2139,72,127
2140,2140,0,0
2141,2145,74,127
2146,2149,0,0
2150,2151,74,127
2152,2155,74,127
2156,2157,0,0
2158,2161,74,127
2162,2162,0,0
2163,2166,76,127
2167,2168,0,0
2169,2172,77,127
2173,2173,0,0
2174,2177,79,127
