Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement02Midi\Movement02Timing.csv,Date,9/17/2015 11:46:44 AM,md5,27973187,version,2
Measures Times File,Name,..\..\Data\Movement02Midi\Movement02Measures.csv,Date,9/3/2015 10:14:48 AM,md5,50833863,version,1
MIDI File,Name,..\..\Data\Movement02Midi\Movement02DBas.mid,Date,5/23/2015 8:16:32 PM,md5,38600745
Start Frame,End Frame,Note,Volume
0,299,0,0
300,304,50,127
305,307,0,0
308,309,38,127
310,313,38,127
314,331,0,0
332,336,45,127
337,339,0,0
340,342,33,127
343,346,33,127
347,380,0,0
381,385,38,127
386,388,0,0
389,391,26,127
392,395,26,127
396,692,0,0
693,697,45,50
698,700,0,0
701,703,33,50
704,707,33,50
708,709,0,0
710,712,38,50
713,714,0,0
715,718,40,50
719,720,0,0
721,723,41,50
724,725,0,0
726,729,40,50
730,730,0,0
731,734,41,50
735,736,0,0
737,740,43,50
741,741,0,0
742,745,41,50
746,747,0,0
748,751,40,50
752,752,0,0
753,756,38,50
757,758,0,0
759,762,41,50
763,763,0,0
764,767,40,50
768,769,0,0
770,773,38,50
774,774,0,0
775,778,36,50
779,780,0,0
781,783,35,50
784,785,0,0
786,789,33,50
790,791,0,0
792,794,32,50
795,796,0,0
797,800,33,50
801,802,0,0
803,805,35,50
806,807,0,0
808,811,33,50
812,813,0,0
814,816,32,50
817,818,0,0
819,822,33,50
823,824,0,0
825,827,33,50
828,829,0,0
830,833,33,50
834,835,0,0
836,838,33,50
839,840,0,0
841,844,33,50
845,845,0,0
846,849,33,50
850,851,0,0
852,855,33,50
856,856,0,0
857,860,33,50
861,862,0,0
863,866,33,50
867,867,0,0
868,871,33,50
872,873,0,0
874,877,33,50
878,878,0,0
879,882,33,50
883,884,0,0
885,887,33,50
888,889,0,0
890,893,33,50
894,895,0,0
896,898,33,50
899,900,0,0
901,904,33,50
905,906,0,0
907,909,33,50
910,911,0,0
912,915,33,50
916,917,0,0
918,920,33,50
921,922,0,0
923,926,33,50
927,928,0,0
929,931,33,50
932,933,0,0
934,937,33,50
938,939,0,0
940,942,33,50
943,944,0,0
945,948,33,50
949,949,0,0
950,953,33,50
954,955,0,0
956,959,33,50
960,960,0,0
961,964,33,50
965,966,0,0
967,970,33,50
971,971,0,0
972,975,33,50
976,977,0,0
978,981,33,50
982,982,0,0
983,986,33,50
987,988,0,0
989,991,33,50
992,993,0,0
994,997,33,50
998,999,0,0
1000,1002,33,50
1003,1004,0,0
1005,1008,33,50
1009,1010,0,0
1011,1013,33,50
1014,1015,0,0
1016,1019,33,50
1020,1021,0,0
1022,1024,33,50
1025,1026,0,0
1027,1030,33,52
1031,1032,0,0
1033,1035,33,54
1036,1037,0,0
1038,1041,33,56
1042,1043,0,0
1044,1046,33,58
1047,1048,0,0
1049,1052,33,60
1053,1053,0,0
1054,1057,33,62
1058,1059,0,0
1060,1063,33,64
1064,1064,0,0
1065,1068,33,67
1069,1070,0,0
1071,1074,33,69
1075,1075,0,0
1076,1079,33,71
1080,1081,0,0
1082,1085,33,73
1086,1086,0,0
1087,1090,33,75
1091,1092,0,0
1093,1095,33,77
1096,1097,0,0
1098,1101,33,79
1102,1103,0,0
1104,1106,33,82
1107,1108,0,0
1109,1112,33,84
1113,1114,0,0
1115,1117,33,86
1118,1119,0,0
1120,1123,33,88
1124,1125,0,0
1126,1128,33,90
1129,1130,0,0
1131,1134,33,92
1135,1136,0,0
1137,1139,33,94
1140,1141,0,0
1142,1145,33,97
1146,1147,0,0
1148,1150,33,99
1151,1152,0,0
1153,1156,33,101
1157,1157,0,0
1158,1161,33,103
1162,1163,0,0
1164,1167,33,105
1168,1168,0,0
1169,1172,33,107
1173,1174,0,0
1175,1178,33,109
1179,1179,0,0
1180,1183,33,112
1184,1185,0,0
1186,1189,33,114
1190,1190,0,0
1191,1194,33,116
1195,1196,0,0
1197,1199,33,118
1200,1201,0,0
1202,1205,43,120
1206,1207,0,0
1208,1210,41,122
1211,1212,0,0
1213,1216,40,124
1217,1218,0,0
1219,1221,38,127
1222,1234,0,0
1235,1238,50,127
1239,1251,0,0
1252,1254,45,127
1255,1267,0,0
1268,1271,38,127
1272,1284,0,0
1285,1287,43,127
1288,1300,0,0
1301,1304,45,127
1305,1317,0,0
1318,1320,33,127
1321,1333,0,0
1334,1337,38,127
1338,1350,0,0
1351,1353,43,127
1354,1366,0,0
1367,1370,45,127
1371,1383,0,0
1384,1386,33,127
1387,1399,0,0
1400,1402,38,127
1403,1409,0,0
1410,1412,31,127
1413,1414,0,0
1415,1417,31,127
1418,1428,0,0
1429,1432,36,127
1433,1443,0,0
1444,1446,43,127
1447,1457,0,0
1458,1461,48,127
1462,1463,0,0
1464,1466,43,127
1467,1468,0,0
1469,1472,43,127
1473,1474,0,0
1475,1477,31,127
1478,1490,0,0
1491,1493,36,127
1494,1506,0,0
1507,1509,48,127
1510,1522,0,0
1523,1526,48,127
1527,1538,0,0
1539,1542,43,127
1543,1683,0,0
1684,1689,48,59
1690,1699,0,0
1700,1705,41,69
1706,1715,0,0
1716,1721,38,78
1722,1731,0,0
1732,1737,43,88
1738,1747,0,0
1748,1753,48,98
1754,1763,0,0
