Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement02Midi\Movement02Timing.csv,Date,9/17/2015 11:46:44 AM,md5,27973187,version,2
Measures Times File,Name,..\..\Data\Movement02Midi\Movement02Measures.csv,Date,9/3/2015 10:14:48 AM,md5,50833863,version,1
MIDI File,Name,..\..\Data\Movement02Midi\Movement02Oboe.mid,Date,5/23/2015 8:12:20 PM,md5,29167576
Start Frame,End Frame,Note,Volume
0,380,0,0
381,385,74,127
386,388,0,0
389,391,62,127
392,395,62,127
396,429,0,0
430,433,81,50
434,446,0,0
447,450,74,50
451,462,0,0
463,466,76,50
467,479,0,0
480,482,77,50
483,495,0,0
496,499,77,50
500,512,0,0
513,515,72,50
516,528,0,0
529,532,68,50
533,544,0,0
545,548,69,50
549,561,0,0
562,565,67,50
566,577,0,0
578,581,62,50
582,594,0,0
595,597,69,50
598,610,0,0
611,614,69,50
615,626,0,0
627,630,74,50
631,643,0,0
644,647,76,50
648,659,0,0
660,663,76,50
664,676,0,0
677,679,76,50
680,692,0,0
693,696,79,50
697,709,0,0
710,712,77,50
713,725,0,0
726,729,81,50
730,741,0,0
742,745,81,50
746,758,0,0
759,762,81,50
763,774,0,0
775,778,81,50
779,791,0,0
792,794,83,50
795,807,0,0
808,811,76,50
812,824,0,0
825,827,81,50
828,829,0,0
830,833,81,50
834,835,0,0
836,838,81,50
839,840,0,0
841,844,81,50
845,845,0,0
846,849,81,50
850,851,0,0
852,855,81,50
856,856,0,0
857,860,82,50
861,862,0,0
863,866,81,50
867,867,0,0
868,871,79,50
872,873,0,0
874,877,77,50
878,878,0,0
879,882,76,50
883,884,0,0
885,887,74,50
888,889,0,0
890,893,74,50
894,906,0,0
907,909,69,50
910,922,0,0
923,926,71,50
927,939,0,0
940,942,72,50
943,955,0,0
956,959,73,50
960,960,0,0
961,964,74,50
965,966,0,0
967,970,76,50
971,971,0,0
972,975,77,50
976,977,0,0
978,981,79,50
982,982,0,0
983,986,81,50
987,988,0,0
989,991,82,50
992,993,0,0
994,997,81,50
998,999,0,0
1000,1002,79,50
1003,1004,0,0
1005,1008,77,50
1009,1010,0,0
1011,1013,76,50
1014,1015,0,0
1016,1019,74,50
1020,1021,0,0
1022,1024,73,50
1025,1026,0,0
1027,1030,74,52
1031,1032,0,0
1033,1035,76,54
1036,1037,0,0
1038,1041,74,56
1042,1043,0,0
1044,1046,73,58
1047,1048,0,0
1049,1052,74,60
1053,1053,0,0
1054,1057,73,62
1058,1059,0,0
1060,1063,74,64
1064,1064,0,0
1065,1068,76,67
1069,1070,0,0
1071,1074,74,69
1075,1075,0,0
1076,1079,73,71
1080,1081,0,0
1082,1085,74,73
1086,1086,0,0
1087,1090,73,75
1091,1092,0,0
1093,1095,74,77
1096,1097,0,0
1098,1101,76,79
1102,1103,0,0
1104,1106,74,82
1107,1108,0,0
1109,1112,73,84
1113,1114,0,0
1115,1117,74,86
1118,1119,0,0
1120,1123,73,88
1124,1125,0,0
1126,1128,74,90
1129,1130,0,0
1131,1134,76,92
1135,1136,0,0
1137,1139,74,94
1140,1141,0,0
1142,1145,73,97
1146,1147,0,0
1148,1150,74,99
1151,1152,0,0
1153,1156,73,101
1157,1157,0,0
1158,1161,74,103
1162,1163,0,0
1164,1167,76,105
1168,1168,0,0
1169,1172,74,107
1173,1174,0,0
1175,1178,73,109
1179,1179,0,0
1180,1183,74,112
1184,1185,0,0
1186,1189,73,114
1190,1190,0,0
1191,1194,74,116
1195,1196,0,0
1197,1199,76,118
1200,1201,0,0
1202,1205,73,120
1206,1207,0,0
1208,1210,74,122
1211,1212,0,0
1213,1216,76,124
1217,1218,0,0
1219,1223,77,127
1224,1226,0,0
1227,1228,69,127
1229,1229,0,0
1230,1232,69,127
1233,1234,0,0
1235,1238,74,127
1239,1240,0,0
1241,1243,76,127
1244,1245,0,0
1246,1249,77,127
1250,1251,0,0
1252,1254,76,127
1255,1256,0,0
1257,1260,77,127
1261,1262,0,0
1263,1265,79,127
1266,1267,0,0
1268,1271,77,127
1272,1273,0,0
1274,1276,76,127
1277,1278,0,0
1279,1282,74,127
1283,1284,0,0
1285,1287,74,127
1288,1289,0,0
1290,1293,74,127
1294,1295,0,0
1296,1298,74,127
1299,1300,0,0
1301,1304,69,127
1305,1306,0,0
1307,1309,76,127
1310,1311,0,0
1312,1315,74,127
1316,1317,0,0
1318,1320,73,127
1321,1322,0,0
1323,1326,74,127
1327,1328,0,0
1329,1331,76,127
1332,1333,0,0
1334,1337,74,127
1338,1339,0,0
1340,1342,73,127
1343,1344,0,0
1345,1348,74,127
1349,1350,0,0
1351,1353,74,127
1354,1355,0,0
1356,1359,74,127
1360,1361,0,0
1362,1364,74,127
1365,1366,0,0
1367,1370,69,127
1371,1372,0,0
1373,1375,69,127
1376,1377,0,0
1378,1381,69,127
1382,1383,0,0
1384,1386,73,127
1387,1388,0,0
1389,1392,74,127
1393,1394,0,0
1395,1397,76,127
1398,1399,0,0
1400,1402,69,127
1403,1404,0,0
1405,1407,77,127
1408,1409,0,0
1410,1412,77,127
1413,1414,0,0
1415,1417,77,127
1418,1418,0,0
1419,1422,71,127
1423,1423,0,0
1424,1427,74,127
1428,1428,0,0
1429,1432,67,127
1433,1433,0,0
1434,1437,74,127
1438,1438,0,0
1439,1441,72,127
1442,1443,0,0
1444,1446,71,127
1447,1448,0,0
1449,1451,72,127
1452,1453,0,0
1454,1456,74,127
1457,1457,0,0
1458,1461,72,127
1462,1463,0,0
1464,1466,71,127
1467,1468,0,0
1469,1472,71,127
1473,1474,0,0
1475,1477,71,127
1478,1479,0,0
1480,1483,71,127
1484,1484,0,0
1485,1488,74,127
1489,1490,0,0
1491,1493,72,127
1494,1495,0,0
1496,1499,71,127
1500,1500,0,0
1501,1504,72,127
1505,1506,0,0
1507,1509,76,127
1510,1511,0,0
1512,1515,74,127
1516,1516,0,0
1517,1520,72,127
1521,1522,0,0
1523,1526,76,127
1527,1527,0,0
1528,1531,74,127
1532,1533,0,0
1534,1536,72,127
1537,1538,0,0
1539,1571,79,50
1572,1587,81,57
1588,1588,77,65
1589,1602,0,0
1603,1604,80,72
1605,1618,0,0
1619,1620,76,80
1621,1635,0,0
1636,1636,75,70
1637,1651,0,0
1652,1652,74,60
1653,1667,0,0
1668,1700,79,50
1701,1716,81,69
1717,1717,77,78
1718,1731,0,0
1732,1733,71,88
1734,1747,0,0
