Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement02Midi\Movement02Timing.csv,Date,9/17/2015 11:46:44 AM,md5,27973187,version,2
Measures Times File,Name,..\..\Data\Movement02Midi\Movement02Measures.csv,Date,9/3/2015 10:14:48 AM,md5,50833863,version,1
MIDI File,Name,..\..\Data\Movement02Midi\Movement02Viol.mid,Date,5/23/2015 8:16:02 PM,md5,47962264
Start Frame,End Frame,Note,Volume
0,299,0,0
300,304,74,127
305,307,0,0
308,309,62,127
310,313,62,127
314,331,0,0
332,336,69,127
337,339,0,0
340,342,57,127
343,346,57,127
347,380,0,0
381,385,62,127
386,388,0,0
389,391,50,127
392,395,50,127
396,495,0,0
496,500,74,50
501,503,0,0
504,506,62,50
507,510,62,50
511,512,0,0
513,515,69,50
516,517,0,0
518,521,71,50
522,522,0,0
523,526,72,50
527,528,0,0
529,532,71,50
533,533,0,0
534,537,72,50
538,539,0,0
540,543,74,50
544,544,0,0
545,548,72,50
549,550,0,0
551,554,71,50
555,555,0,0
556,559,69,50
560,561,0,0
562,565,70,50
566,566,0,0
567,570,69,50
571,572,0,0
573,575,67,50
576,577,0,0
578,581,65,50
582,583,0,0
584,586,64,50
587,588,0,0
589,592,62,50
593,594,0,0
595,597,61,50
598,599,0,0
600,603,62,50
604,605,0,0
606,608,64,50
609,610,0,0
611,614,62,50
615,616,0,0
617,619,61,50
620,621,0,0
622,625,62,50
626,626,0,0
627,630,69,50
631,632,0,0
633,636,67,50
637,637,0,0
638,641,65,50
642,643,0,0
644,647,64,50
648,648,0,0
649,652,76,50
653,654,0,0
655,658,76,50
659,659,0,0
660,663,76,50
664,665,0,0
666,669,76,50
670,670,0,0
671,674,76,50
675,676,0,0
677,679,76,50
680,681,0,0
682,685,76,50
686,687,0,0
688,690,76,50
691,692,0,0
693,696,64,50
697,698,0,0
699,701,65,50
702,703,0,0
704,707,67,50
708,709,0,0
710,712,65,50
713,714,0,0
715,718,67,50
719,720,0,0
721,723,69,50
724,725,0,0
726,729,67,50
730,730,0,0
731,734,65,50
735,736,0,0
737,740,64,50
741,741,0,0
742,745,62,50
746,747,0,0
748,751,67,50
752,752,0,0
753,756,65,50
757,758,0,0
759,762,64,50
763,763,0,0
764,767,65,50
768,769,0,0
770,773,67,50
774,774,0,0
775,778,57,50
779,780,0,0
781,783,68,50
784,785,0,0
786,789,69,50
790,791,0,0
792,794,64,50
795,796,0,0
797,800,64,50
801,802,0,0
803,805,64,50
806,807,0,0
808,811,64,50
812,813,0,0
814,816,64,50
817,818,0,0
819,822,64,50
823,824,0,0
825,827,55,50
828,829,0,0
830,833,53,50
834,835,0,0
836,838,52,50
839,840,0,0
841,844,57,50
845,845,0,0
846,849,55,50
850,851,0,0
852,855,53,50
856,856,0,0
857,860,52,50
861,862,0,0
863,866,53,50
867,867,0,0
868,871,55,50
872,873,0,0
874,877,57,50
878,878,0,0
879,882,57,50
883,884,0,0
885,887,57,50
888,889,0,0
890,893,56,50
894,895,0,0
896,898,57,50
899,900,0,0
901,904,59,50
905,906,0,0
907,909,60,50
910,911,0,0
912,915,62,50
916,917,0,0
