Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement03Midi\Movement03Timing.csv,Date,9/3/2015 10:16:12 AM,md5,27973187,version,1
Measures Times File,Name,..\..\Data\Movement03Midi\Movement03Measures.csv,Date,9/3/2015 10:14:20 AM,md5,50833863,version,1
MIDI File,Name,..\..\Data\Movement03Midi\Movement03Bson.mid,Date,5/23/2015 8:03:32 PM,md5,5009246
Start Frame,End Frame,Note,Volume
0,319,0,0
320,340,58,48
341,361,57,51
362,382,67,54
383,505,65,57
506,608,60,70
609,629,58,54
630,670,58,50
671,1267,0,0
1268,1288,41,60
1289,1329,41,61
1330,1350,53,64
1351,1370,60,65
1371,1391,53,67
1392,1411,57,68
1412,1432,67,70
1433,1453,65,60
1454,1496,65,50
1497,2103,0,0
2104,2147,53,50
2148,2212,53,60
2213,2233,58,50
2234,2277,53,50
2278,2623,0,0
2624,2667,46,50
2668,2711,48,50
2712,2754,57,55
2755,2776,53,50
2777,2797,55,50
2798,3272,0,0
3273,3292,60,50
3293,3310,57,50
3311,3366,57,50
3367,3384,53,50
3385,3421,50,50
3422,3440,58,50
3441,3458,60,50
3459,3520,60,50
3521,3540,62,50
3541,3560,60,50
3561,3580,55,52
3581,3601,51,54
3602,3621,51,56
3622,3640,51,58
3641,3658,51,60
3659,3676,51,62
3677,3695,51,64
3696,3713,52,66
3714,3731,52,68
3732,3750,52,70
3751,3768,52,72
3769,3786,52,75
3787,3804,53,69
3805,3823,53,63
3824,3841,53,57
3842,3859,41,50
3860,3896,41,50
3897,3914,53,50
3915,4030,53,50
4031,4298,54,50
4299,4323,52,51
4324,4374,49,52
4375,4477,45,55
4478,4527,50,60
4528,4553,45,62
4554,4630,62,63
4631,4655,52,67
4656,4680,0,0
4681,4754,45,70
4755,4790,54,75
4791,4809,45,56
4810,4845,66,57
4846,4863,64,50
4864,4882,49,50
4883,4899,0,0
4900,4918,45,50
4919,4954,67,50
4955,4973,66,50
4974,4991,50,50
4992,5009,54,50
5010,5018,45,50
5019,5027,55,50
5028,5036,57,50
5037,5045,54,50
5046,5063,57,50
5064,5082,55,50
5083,5100,52,50
5101,5109,55,50
5110,5118,59,50
5119,5127,57,50
5128,5136,55,50
5137,5145,54,50
5146,5155,52,50
5156,5209,55,50
5210,5227,52,50
5228,5246,50,50
5247,5300,62,50
5301,5337,49,50
5338,5410,45,50
5411,5446,50,50
5447,5516,45,50
5517,5551,52,50
5552,5622,45,50
5623,5657,54,50
5658,5727,45,50
5728,5762,49,50
5763,5833,45,51
5834,5868,50,54
