Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement03Midi\Movement03Timing.csv,Date,9/3/2015 10:16:12 AM,md5,27973187,version,1
Measures Times File,Name,..\..\Data\Movement03Midi\Movement03Measures.csv,Date,9/3/2015 10:14:20 AM,md5,50833863,version,1
MIDI File,Name,..\..\Data\Movement03Midi\Movement03Cell.mid,Date,5/23/2015 8:05:32 PM,md5,28574894
Start Frame,End Frame,Note,Volume
0,422,0,0
423,547,41,63
548,588,42,64
589,629,41,57
630,711,46,50
712,793,51,50
794,876,50,50
877,958,45,50
959,999,46,50
1000,1041,45,50
1042,1123,43,50
1124,1164,41,50
1165,1205,53,52
1206,1247,53,55
1248,1411,0,0
1412,1540,51,70
1541,1626,50,50
1627,1713,45,50
1714,1756,46,50
1757,1778,55,50
1779,1800,53,50
1801,1843,51,50
1844,1886,55,50
1887,1930,53,50
1931,2060,41,50
2061,2103,46,50
2104,2276,0,0
2277,2320,46,50
2321,2407,51,50
2408,2494,50,50
2495,2624,48,50
2625,2667,46,50
2668,2775,0,0
2776,2797,55,50
2798,2819,51,50
2820,2841,51,52
2842,2862,51,54
2863,2884,51,56
2885,2906,51,58
2907,2927,51,60
2928,2949,52,62
2950,2971,52,64
2972,2992,52,66
2993,3014,52,68
3015,3033,52,70
3034,3051,53,65
3052,3070,53,60
3071,3088,53,55
3089,3107,53,50
3108,3125,41,50
3126,3144,53,50
3145,3162,53,50
3163,3218,53,50
3219,3236,46,50
3237,3273,46,50
3274,3383,0,0
3384,3403,46,50
3404,3539,0,0
3540,3560,46,50
3561,3580,55,52
3581,3601,51,54
3602,3621,0,0
3622,3640,51,58
3641,3657,0,0
3658,3676,51,62
3677,3694,0,0
3695,3713,52,66
3714,3731,0,0
3732,3750,52,70
3751,3767,0,0
3768,3786,52,75
3787,3804,53,69
3805,3823,53,63
3824,3840,0,0
3841,3859,53,50
3860,3877,0,0
3878,3896,53,50
3897,3914,0,0
3915,3933,53,50
3934,3952,0,0
3953,3972,53,50
3973,3990,0,0
3991,4010,53,50
4011,4029,0,0
4030,4048,54,50
4049,4067,0,0
4068,4093,54,50
4094,4220,0,0
4221,4827,45,50
4828,5228,57,50
5229,5246,50,50
5247,5282,45,50
5283,5318,45,50
5319,5355,45,50
5356,5392,45,50
5393,5428,45,50
5429,5464,45,50
5465,5499,45,50
5500,5534,45,50
5535,5569,45,50
5570,5604,45,50
5605,5639,45,50
5640,5674,45,50
5675,5710,45,50
5711,5745,45,50
5746,5780,45,50
5781,5815,45,52
5816,5850,45,53
5851,5885,45,55
5886,5921,45,56
5922,5956,45,57
5957,5991,45,59
5992,6026,45,55
6027,6061,45,50
6062,6106,45,50
6107,6161,45,50
6162,6216,45,50
6217,6244,45,50
6245,6299,46,50
6300,6354,0,0
6355,6409,41,50
6410,6430,53,50
6431,6450,0,0
6451,6492,46,50
6493,6512,0,0
6513,6533,46,50
6534,6575,51,50
6576,6595,0,0
6596,6616,51,50
6617,6657,50,50
6658,6677,0,0
6678,6699,50,50
6700,6740,45,50
6741,6760,0,0
6761,6781,45,50
6782,6823,46,50
6824,6843,0,0
6844,6864,45,50
6865,6905,43,50
6906,6923,0,0
6924,6943,43,50
6944,6980,41,50
6981,6998,0,0
6999,7018,53,65
7019,7055,53,50
7056,7223,0,0
7224,7242,51,50
7243,7280,51,50
7281,7298,0,0
7299,7317,51,50
7318,7354,50,50
7355,7373,0,0
7374,7392,50,50
7393,7429,45,50
7430,7447,0,0
7448,7467,45,50
7468,7504,46,50
7505,7522,0,0
7523,7542,55,50
7543,7579,51,50
7580,7597,0,0
7598,7616,55,50
7617,7654,53,50
7655,7671,0,0
7672,7689,41,50
7690,7725,41,50
7726,7742,0,0
7743,7761,41,65
7762,7778,46,70
7779,7796,50,60
7797,7814,53,50
7815,7955,0,0
7956,7974,46,50
7975,8009,51,50
8010,8026,0,0
8027,8045,51,50
8046,8080,50,50
8081,8097,0,0
8098,8116,50,50
8117,8151,48,50
8152,8168,0,0
8169,8187,48,65
8188,8205,48,70
8206,8222,0,0
8223,8241,46,50
8242,8351,0,0
8352,8370,55,56
8371,8389,51,57
8390,8407,51,58
8408,8444,51,60
8445,8462,0,0
8463,8481,63,63
8482,8518,64,65
8519,8536,0,0
8537,8556,52,68
8557,8574,52,50
8575,8593,53,50
8594,8610,0,0
8611,8630,53,52
8631,8667,53,53
8668,8684,0,0
8685,8704,41,55
8705,8741,41,56
8742,8759,53,57
8760,8778,46,58
8779,8815,46,59
8816,8925,0,0
8926,8944,46,65
8945,9093,0,0
9094,9116,46,71
9117,9137,55,71
9138,9159,51,72
