Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement03Midi\Movement03Timing.csv,Date,9/3/2015 10:16:12 AM,md5,27973187,version,1
Measures Times File,Name,..\..\Data\Movement03Midi\Movement03Measures.csv,Date,9/3/2015 10:14:20 AM,md5,50833863,version,1
MIDI File,Name,..\..\Data\Movement03Midi\Movement03Flut.mid,Date,5/23/2015 8:02:42 PM,md5,50119998
Start Frame,End Frame,Note,Volume
0,4917,0,0
4918,4973,88,50
4974,4991,86,50
4992,5516,0,0
5517,5525,79,50
5526,5533,0,0
5534,5543,81,50
5544,5551,0,0
5552,5560,83,50
5561,5568,0,0
5569,5578,85,50
5579,5586,0,0
5587,5604,88,50
5605,5639,86,50
5640,5648,86,50
5649,5657,85,50
5658,5666,83,50
5667,5674,81,50
5675,5683,79,50
5684,5692,78,50
5693,5710,78,50
5711,5727,76,50
5728,5955,0,0
5956,5964,83,59
5965,5973,91,59
5974,5982,90,60
5983,5991,88,58
5992,6000,86,55
6001,6008,85,53
6009,6061,88,50
6062,6079,79,50
6080,6134,78,50
6135,6188,0,0
6189,6216,88,50
6217,6244,79,50
6245,6410,77,50
6411,6451,75,50
6452,6492,74,50
6493,9803,0,0
9804,9845,83,50
9846,9885,81,51
9886,9916,81,53
9917,9925,83,54
9926,9936,84,55
9937,9946,81,55
9947,9966,84,56
9967,10007,83,57
10008,10037,83,59
10038,10047,84,60
10048,10057,86,61
10058,10067,83,61
10068,10088,86,62
10089,10128,84,63
10129,10138,84,65
10139,10148,0,0
10149,10158,84,66
10159,10168,0,0
10169,10179,84,67
10180,10188,0,0
10189,10209,84,68
10210,10219,83,69
10220,10229,81,69
10230,10239,79,70
10240,10250,86,68
10251,10260,91,65
10261,10270,90,63
10271,10279,88,60
10280,10287,86,58
10288,10296,84,55
10297,10305,83,53
10306,10322,83,50
10323,10357,81,51
10358,10384,81,54
10385,10392,83,56
10393,10401,84,57
10402,10410,81,57
10411,10427,84,58
10428,10462,83,60
10463,10488,83,62
10489,10497,84,65
10498,10506,86,65
10507,10514,83,66
10515,10532,86,67
10533,10567,84,68
10568,10671,0,0
10672,10689,81,50
10690,10707,79,50
10708,10724,62,50
10725,10742,74,50
10743,10776,81,50
10777,10803,81,50
10804,10811,83,50
10812,10820,84,50
10821,10829,81,50
10830,10846,84,50
10847,10881,83,50
10882,10908,83,50
10909,10916,84,50
10917,10925,86,50
10926,10934,83,50
10935,10951,86,50
10952,10986,84,50
10987,10995,84,50
10996,11003,0,0
11004,11012,84,50
11013,11021,0,0
11022,11030,84,50
11031,11038,0,0
11039,11057,84,50
11058,11092,83,50
11093,11101,83,50
11102,11110,86,50
11111,11119,84,50
11120,11128,83,50
11129,11137,81,50
11138,11145,79,50
11146,11163,83,50
11164,11199,81,51
11200,11226,81,53
11227,11234,83,55
11235,11243,84,56
11244,11252,81,56
11253,11270,84,57
11271,11305,83,58
11306,11332,83,61
11333,11341,84,63
11342,11350,86,63
11351,11358,83,64
11359,11376,86,65
11377,11412,84,66
11413,11420,88,68
11421,11429,84,69
11430,11438,83,70
11439,11447,81,70
11448,11456,79,69
11457,11465,78,68
11466,11500,0,0
11501,11518,72,64
11519,11536,81,63
11537,11571,79,61
11572,13078,0,0
13079,13156,83,50
13157,13214,78,50
13215,13233,76,50
13234,13253,76,50
13254,13272,75,50
13273,13330,75,50
13331,13340,76,50
13341,13349,0,0
13350,13359,78,50
13360,13368,0,0
13369,13378,80,50
13379,13388,0,0
13389,13408,80,50
