Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement03Midi\Movement03Timing.csv,Date,9/3/2015 10:16:12 AM,md5,27973187,version,1
Measures Times File,Name,..\..\Data\Movement03Midi\Movement03Measures.csv,Date,9/3/2015 10:14:20 AM,md5,50833863,version,1
MIDI File,Name,..\..\Data\Movement03Midi\Movement03Hrn2.mid,Date,5/23/2015 8:04:20 PM,md5,25690090
Start Frame,End Frame,Note,Volume
0,1267,0,0
1268,1288,65,60
1289,1329,65,61
1330,1350,65,64
1351,1370,65,65
1371,1411,65,67
1412,2103,0,0
2104,2147,65,50
2148,2233,65,60
2234,2277,65,50
2278,2775,0,0
2776,2797,58,50
2798,2819,63,50
2820,2830,58,52
2831,2841,55,53
2842,2862,53,54
2863,2884,58,56
2885,2906,58,58
2907,2927,58,60
2928,2949,58,62
2950,2971,58,64
2972,2992,58,66
2993,3014,58,68
3015,3033,58,70
3034,3272,0,0
3273,3310,65,50
3311,3366,65,50
3367,3384,65,50
3385,3421,65,50
3422,3440,65,50
3441,3458,65,50
3459,3520,65,50
3521,3540,65,50
3541,3560,58,50
3561,3580,58,52
3581,3601,51,54
3602,3785,0,0
3786,3804,65,69
3805,3823,65,63
3824,3841,65,57
3842,3859,65,50
3860,3878,65,50
3879,3896,65,50
3897,3914,63,50
3915,6512,0,0
6513,6523,65,50
6524,6533,0,0
6534,6554,65,50
6555,6595,0,0
6596,6606,65,50
6607,6615,0,0
6616,6657,65,50
6658,6677,0,0
6678,6688,65,50
6689,6698,0,0
6699,6719,65,50
6720,6760,0,0
6761,6771,65,50
6772,6781,0,0
6782,6802,65,50
6803,6843,0,0
6844,6854,65,50
6855,6863,0,0
6864,6885,65,50
6886,6923,0,0
6924,6933,58,50
6934,6942,0,0
6943,6962,65,50
6963,6998,0,0
6999,7008,65,65
7009,7017,0,0
7018,7027,65,50
7028,7073,0,0
7074,7083,65,60
7084,7092,0,0
7093,7130,65,50
7131,7148,0,0
7149,7167,65,50
7168,7205,65,50
7206,7223,0,0
7224,7233,65,50
7234,7242,0,0
7243,7261,65,50
7262,7298,0,0
7299,7308,65,50
7309,7316,0,0
7317,7336,65,50
7337,7373,0,0
7374,7383,65,50
7384,7391,0,0
7392,7411,65,50
7412,7447,0,0
7448,7457,65,50
7458,7466,0,0
7467,7485,65,50
7486,7522,0,0
7523,7532,67,50
7533,7541,0,0
7542,7560,67,50
7561,7597,0,0
7598,7607,63,50
7608,7616,0,0
7617,7635,65,50
7636,7742,0,0
7743,7761,65,65
7762,7778,65,70
7779,7796,65,60
7797,7814,65,50
7815,7832,65,50
7833,7903,65,50
7904,7938,65,50
7939,7955,0,0
7956,7965,65,50
7966,7973,0,0
7974,7991,65,50
7992,8026,0,0
8027,8036,65,50
8037,8044,0,0
8045,8063,65,50
8064,8097,0,0
8098,8107,65,50
8108,8115,0,0
8116,8134,65,50
8135,8168,0,0
8169,8178,65,65
8179,8186,0,0
8187,8196,65,70
8197,8222,0,0
8223,8232,65,50
8233,8240,0,0
8241,8250,65,50
8251,8259,0,0
8260,8278,65,50
8279,8296,58,51
8297,8314,0,0
8315,8333,63,53
8334,8351,0,0
8352,8370,62,56
8371,8380,67,57
8381,8389,63,58
8390,8398,58,58
8399,8407,55,59
8408,8417,51,60
8418,8425,0,0
8426,8435,67,61
8436,8462,0,0
8463,8472,67,63
8473,8481,0,0
8482,8500,67,65
8501,8536,0,0
8537,8546,67,68
8547,8555,0,0
8556,8565,67,50
8566,8573,0,0
8574,8583,65,50
8584,8610,0,0
8611,8620,58,52
8621,8629,0,0
8630,8648,65,53
8649,8684,0,0
8685,8694,65,55
8695,8703,0,0
8704,8722,65,56
8723,8758,0,0
8759,8768,65,58
8769,8777,0,0
8778,8796,65,59
8797,8814,0,0
8815,8833,65,60
8834,8851,0,0
8852,8907,65,62
8908,8926,65,64
8927,8963,65,65
8964,8984,65,66
8985,9006,65,67
9007,9072,65,68
9073,9094,65,70
9095,9116,58,71
9117,9137,58,71
9138,9159,51,72
9160,9377,0,0
9378,9400,65,73
9401,9422,65,65
9423,9443,65,58
9444,9465,65,50
9466,9487,65,50
9488,9509,65,50
9510,9531,63,50
9532,11797,0,0
11798,11837,46,43
11838,11875,51,50
11876,11953,58,50
11954,12031,58,50
12032,12090,44,50
12091,12109,58,50
12110,12128,0,0
12129,12148,58,50
12149,12225,67,50
12226,12303,62,50
12304,12381,63,50
12382,12459,58,50
12460,12498,55,50
12499,12536,51,50
12537,12614,50,50
12615,12692,51,50
12693,12769,44,50
12770,12847,39,50
12848,12924,34,50
12925,12943,34,50
12944,12963,58,50
12964,13021,66,50
13022,13040,66,50
13041,13098,64,50
13099,13117,64,50
13118,13176,63,50
13177,13195,61,50
13196,13214,63,50
13215,13233,64,50
13234,13253,64,50
13254,13272,63,50
13273,13330,63,50
13331,13340,64,50
13341,13349,0,0
13350,13359,66,50
13360,13368,0,0
13369,13378,68,50
13379,13387,0,0
13388,13407,68,50
13408,13427,66,50
13428,13446,71,50
13447,13465,63,50
13466,13504,66,50
13505,13547,64,50
13548,13569,64,50
13570,13590,63,50
13591,13611,0,0
13612,13633,59,50
13634,13654,0,0
13655,13676,59,50
13677,13720,58,50
13721,13892,58,50
13893,13914,59,50
13915,13924,61,50
13925,13935,63,50
13936,13946,64,50
13947,13957,66,50
13958,13968,68,50
13969,13978,70,50
13979,13989,71,50
13990,14000,66,50
14001,14011,71,50
14012,14022,70,50
14023,14032,68,50
14033,14043,66,50
14044,14054,64,50
14055,14065,63,50
14066,14108,64,50
14109,14194,64,52
14195,14285,64,57
14286,14376,64,62
14377,14468,65,67
14469,14483,65,50
14484,14498,65,50
14499,14528,65,50
14529,14558,0,0
14559,14574,65,50
14575,14589,65,50
14590,14619,65,50
14620,14649,0,0
14650,14665,65,50
14666,14680,65,50
14681,14710,65,50
14711,14740,0,0
14741,14757,65,50
14758,14774,65,50
14775,14808,65,50
14809,14842,0,0
14843,14859,65,58
14860,14876,65,61
14877,14910,58,64
14911,14943,0,0
14944,14961,65,60
14962,14978,65,55
14979,15029,65,50
15030,15045,0,0
15046,15063,65,64
15064,15080,65,57
15081,15114,65,50
15115,15232,0,0
15233,15318,58,56
15319,15334,57,67
15335,15351,67,70
15352,15368,65,64
15369,15385,65,57
15386,15742,65,50
15743,15895,67,50
15896,15977,65,50
15978,16035,65,50
16036,16042,0,0
16043,16057,65,55
16058,16064,65,50
16065,16108,65,50
16109,16130,65,50
16131,16167,65,50
16168,16211,67,50
16212,16256,69,50
16257,16300,65,50
16301,16344,70,50
16345,16389,67,50
16390,16477,69,62
16478,16506,70,50
16507,16520,65,50
16521,16533,65,50
16534,16547,67,53
16548,16561,67,56
16562,16575,67,60
16576,16589,69,63
16590,16610,69,66
16611,16616,65,67
16617,16623,67,64
16624,16630,69,60
16631,16651,70,57
16652,16658,67,50
16659,16665,63,51
16666,16672,58,51
16673,16679,51,52
16680,16686,46,53
16687,16699,39,53
16700,16854,67,55
16855,16928,58,70
16929,16943,62,54
16944,17152,65,50
17153,17263,0,0
17264,17296,65,50
17297,17312,58,50
17313,17361,58,50
17362,17458,0,0
17459,17491,65,50
17492,17507,58,50
17508,17556,58,50
17557,17613,67,50
17614,17621,63,59
17622,17629,58,60
17630,17637,55,62
17638,17643,63,63
17644,17647,0,0
17648,17649,55,65
17650,17653,0,0
17654,17654,51,66
17655,17669,0,0
17670,17686,67,68
17687,17702,67,71
17703,17767,67,74
17768,17784,69,84
17785,17801,70,87
17802,17884,70,90
17885,17901,65,57
17902,17967,65,50
17968,17984,67,50
17985,18001,65,50
18002,18017,65,50
18018,18034,67,50
18035,18051,65,50
18052,18067,65,50
18068,18084,67,50
18085,18101,65,50
18102,18117,65,50
18118,18134,67,50
18135,18151,65,50
18152,18168,65,50
18169,18184,67,50
18185,18201,65,50
18202,18218,65,50
18219,18234,67,50
18235,18251,65,50
18252,18268,65,50
18269,18284,67,50
18285,18301,65,50
18302,18318,65,50
18319,18334,67,50
18335,18351,65,69
18352,18359,65,88
18360,18368,67,98
18369,18384,68,107
18385,18392,58,127
18393,18401,58,127
18402,18417,63,127
18418,18482,0,0
18483,18491,63,127
18492,18499,63,127
18500,18516,70,127
18517,18580,0,0
18581,18589,70,127
18590,18598,70,127
18599,18606,67,127
18607,18630,0,0
18631,18639,67,127
18640,18647,67,127
18648,18655,65,127
18656,18679,0,0
18680,18688,65,127
18689,18696,65,127
18697,18713,65,127
18714,18728,0,0
18729,18737,65,127
18738,18745,65,127
18746,18762,65,127
18763,18778,0,0
18779,18787,65,127
18788,18795,65,127
18796,18828,65,50
18829,18893,0,0
18894,18992,69,50
18993,19091,67,50
19092,19189,66,50
19190,19238,70,50
19239,19288,65,50
19289,19383,63,50
19384,19470,62,50
19471,19529,63,50
19530,19543,65,50
19544,19550,65,50
19551,19557,0,0
19558,19587,58,50
19588,20336,0,0
20337,20345,58,127
20346,20353,58,127
20354,20369,63,127
20370,20434,0,0
20435,20443,63,127
20444,20451,63,127
20452,20467,70,127
20468,20534,0,0
20535,20544,70,127
20545,20553,70,127
20554,20563,67,127
20564,20590,0,0
20591,20600,67,127
20601,20609,67,127
20610,20618,65,127
20619,20646,0,0
20647,20656,65,127
20657,20665,65,127
20666,20684,65,127
20685,20701,0,0
20702,20711,65,127
20712,20721,65,127
20722,20739,65,127
20740,20757,0,0
20758,20766,65,127
20767,20775,65,127
20776,20812,65,50
20813,20937,0,0
20938,20991,65,50
20992,21200,68,50
21201,21357,63,50
21358,21410,66,50
21411,21619,70,50
21620,21689,65,50
21690,21706,63,50
21707,21715,62,50
21716,21723,0,0
21724,21793,60,50
21794,21811,65,50
21812,21819,65,50
21820,21827,0,0
21828,21898,65,50
21899,21915,58,58
21916,21933,58,61
21934,21968,60,63
21969,21985,58,67
21986,22002,0,0
22003,22020,67,64
22021,22037,65,57
22038,22055,58,50
22056,22107,0,0
22108,22125,65,50
22126,22142,58,50
22143,22177,65,50
22178,22211,0,0
22212,22228,65,50
22229,22243,65,50
22244,22275,65,50
22276,22305,0,0
22306,22322,65,50
22323,22337,58,50
22338,22369,65,50
22370,22400,0,0
22401,22416,65,50
22417,22432,65,50
22433,22463,65,50
22464,24017,0,0
24018,24039,58,55
24040,24079,0,0
24080,24101,58,63
24102,24141,0,0
24142,24163,58,70
24164,24203,0,0
24204,24225,65,78
24226,24266,0,0
24267,24287,58,86
24288,24328,0,0
24329,24349,58,94
24350,24390,0,0
24391,24411,58,102
24412,24452,0,0
24453,24473,65,110
24474,24597,0,0
24598,24639,58,50
24640,25204,0,0
25205,25244,65,110
25245,25321,0,0
25322,25361,65,70
25362,25556,0,0
25557,25596,58,50
25597,25732,0,0
25733,25772,65,90
25773,25850,0,0
23775,24075,0,0
