Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement03Midi\Movement03Timing.csv,Date,9/3/2015 10:16:12 AM,md5,27973187,version,1
Measures Times File,Name,..\..\Data\Movement03Midi\Movement03Measures.csv,Date,9/3/2015 10:14:20 AM,md5,50833863,version,1
MIDI File,Name,..\..\Data\Movement03Midi\Movement03Timp.mid,Date,5/23/2015 8:04:44 PM,md5,12641169
Start Frame,End Frame,Note,Volume
0,3346,0,0
3347,3366,53,50
3367,3384,46,50
3385,3421,46,50
3422,3498,0,0
3499,3519,53,50
3520,3540,46,50
3541,3580,46,50
3581,8888,0,0
8889,8907,53,63
8908,8926,46,64
8927,8963,46,65
8964,9049,0,0
9050,9072,53,69
9073,9094,46,70
9095,9137,46,71
9138,14451,0,0
14452,14483,53,50
14484,14542,0,0
14543,14574,53,50
14575,14634,0,0
14635,14665,53,50
14666,14725,0,0
14726,14757,53,50
14758,14774,0,0
14775,14808,46,50
14809,14825,0,0
14826,14859,53,55
14860,14875,0,0
14876,14910,46,64
14911,14926,0,0
14927,14961,46,65
14962,15028,0,0
15029,15063,53,70
15064,15130,0,0
15131,15165,53,50
15166,15232,0,0
15233,15266,53,56
15267,15334,0,0
15335,15368,53,70
15369,15435,0,0
15436,15470,53,50
15471,15537,0,0
15538,15572,53,50
15573,15639,0,0
15640,15674,53,50
15675,15690,0,0
15691,15725,46,50
15726,15741,0,0
15742,15776,46,50
15777,15792,0,0
15793,15826,46,50
15827,15843,0,0
15844,15877,46,50
15878,15894,0,0
15895,15928,53,50
15929,15945,0,0
15946,15970,53,50
15971,15998,0,0
15999,16013,53,60
16014,16020,0,0
16021,16035,46,70
16036,16043,53,60
16044,16057,53,55
16058,16085,0,0
16086,16101,53,50
16102,16107,0,0
16108,16123,46,50
16124,16130,46,50
16131,16152,46,50
16153,16210,0,0
16211,16241,53,50
16242,16299,0,0
16300,16329,53,50
16330,16388,0,0
16389,16418,53,62
16419,16476,0,0
16477,16506,46,50
16507,16560,0,0
16561,16589,53,60
16590,16602,0,0
16603,16630,53,70
16631,16644,46,57
16645,16658,46,50
16659,16672,46,51
16673,16686,46,52
16687,16713,46,53
16714,16726,0,0
16727,16755,46,57
16756,16809,0,0
16810,16839,46,65
16840,16898,0,0
16899,16928,53,60
16929,16987,0,0
16988,17018,53,50
17019,17077,0,0
17078,17093,53,68
17094,17107,0,0
17108,17122,46,56
17123,17152,46,50
17153,17263,0,0
17264,17296,53,50
17297,17312,46,50
17313,17345,46,50
17346,17458,0,0
17459,17491,53,50
17492,17507,46,50
17508,17540,46,50
17541,17555,0,0
17556,17588,46,50
17589,17605,46,55
17606,17637,46,58
17638,17653,0,0
17654,17686,46,66
17687,17702,46,71
17703,17735,46,74
17736,17750,0,0
17751,17784,46,82
17785,17801,46,87
17802,17834,46,90
17835,17850,0,0
17851,17884,53,70
17885,17901,53,57
17902,17934,53,50
17935,17950,0,0
17951,17984,53,50
17985,18001,53,50
18002,18034,53,50
18035,18050,0,0
18051,18084,53,50
18085,18101,53,50
18102,18134,53,50
18135,18150,0,0
18151,18184,53,50
18185,18201,46,50
18202,18234,53,50
18235,18250,0,0
18251,18284,53,50
18285,18301,53,50
18302,18334,53,50
18335,18350,0,0
18351,18368,53,88
18369,18646,0,0
18647,18663,46,127
18664,18679,0,0
18680,18688,46,127
18689,18696,46,127
18697,18729,53,127
18730,20608,0,0
20609,20628,46,127
20629,20646,0,0
20647,20656,46,127
20657,20665,46,127
20666,20702,53,127
20703,22054,0,0
22055,22072,53,50
22073,22090,46,50
22091,22107,53,50
22108,22159,0,0
22160,22177,53,50
22178,22194,46,50
22195,22228,53,50
22229,22258,0,0
22259,22275,53,50
22276,22290,46,50
22291,22322,53,50
22323,22352,0,0
22353,22369,53,50
22370,22385,53,50
22386,22400,53,50
22401,22416,53,50
22417,22432,53,50
22433,22463,53,50
22464,23612,0,0
23613,23647,53,100
23648,24038,0,0
24039,24080,46,57
24081,24100,0,0
24101,24142,53,65
24143,24162,0,0
24163,24204,53,73
24205,24286,0,0
24287,24328,46,89
24329,24348,0,0
24349,24390,46,96
24391,24410,0,0
24411,24452,53,104
24453,24473,53,110
24474,24617,0,0
24618,24639,53,50
24640,24659,46,50
24660,24694,53,50
24695,24720,0,0
24721,24734,53,50
24735,24748,46,50
24749,24774,53,50
24775,24801,0,0
24802,24815,53,50
24816,24828,46,50
24829,24855,53,50
24856,24882,0,0
24883,24896,53,50
24897,24909,46,50
24910,24923,53,50
24924,24929,53,50
24930,24935,0,0
24936,24943,53,50
24944,24949,0,0
24950,24977,53,50
24978,25003,0,0
25004,25010,53,50
25011,25016,0,0
25017,25024,53,50
25025,25030,0,0
25031,25058,53,54
25059,25084,0,0
25085,25091,53,73
25092,25097,0,0
25098,25105,53,77
25106,25111,0,0
25112,25138,53,82
25139,25165,0,0
25166,25175,53,100
25176,25184,0,0
25185,25195,53,105
25196,25204,0,0
25205,25244,53,110
25245,25321,0,0
25322,25361,53,70
25362,25497,0,0
25498,25537,53,50
25538,25556,0,0
25557,25596,46,50
25597,25732,0,0
25733,25772,53,90
25773,25791,0,0
25792,25802,53,50
25803,25811,0,0
25812,25821,53,50
25822,25830,0,0
25831,25841,53,50
25842,25850,0,0
23775,24075,0,0
