Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement03Midi\Movement03Timing.csv,Date,9/3/2015 10:16:12 AM,md5,27973187,version,1
Measures Times File,Name,..\..\Data\Movement03Midi\Movement03Measures.csv,Date,9/3/2015 10:14:20 AM,md5,50833863,version,1
MIDI File,Name,..\..\Data\Movement03Midi\Movement03Vio1.mid,Date,5/23/2015 8:04:56 PM,md5,8963119
Start Frame,End Frame,Note,Volume
0,628,0,0
629,711,74,50
712,793,69,50
794,876,70,50
877,938,65,50
939,958,63,50
959,999,62,50
1000,1041,65,50
1042,1103,70,50
1104,1123,72,50
1124,1164,74,50
1165,1185,77,52
1186,1205,75,54
1206,1247,72,55
1248,1411,0,0
1412,1453,72,70
1454,1539,72,50
1540,1605,70,50
1606,1626,77,50
1627,1669,77,50
1670,1756,75,50
1757,1800,74,50
1801,1865,72,50
1866,1875,74,50
1876,1886,75,50
1887,1930,74,50
1931,1951,72,50
1952,1973,73,50
1974,2038,73,50
2039,2060,74,50
2061,2103,74,50
2104,2276,0,0
2277,2320,74,50
2321,2407,72,50
2408,2472,70,50
2473,2494,77,50
2495,2537,77,50
2538,2624,75,60
2625,2667,74,50
2668,2775,0,0
2776,2797,74,50
2798,2841,79,50
2842,2949,79,54
2950,2971,79,64
2972,2992,81,66
2993,3014,82,68
3015,3070,82,70
3071,3088,74,55
3089,3125,77,50
3126,3144,75,50
3145,3162,72,50
3163,3218,72,50
3219,3236,74,50
3237,3273,70,50
3274,3383,0,0
3384,3403,58,50
3404,3539,0,0
3540,3560,58,50
3561,3580,58,52
3581,3601,58,54
3602,3610,0,0
3611,3616,58,57
3617,3621,63,57
3622,3640,67,58
3641,3648,0,0
3649,3653,58,61
3654,3658,63,61
3659,3676,67,62
3677,3685,0,0
3686,3690,58,65
3691,3695,60,66
3696,3713,67,66
3714,3721,0,0
3722,3727,58,69
3728,3731,60,70
3732,3750,67,70
3751,3758,0,0
3759,3763,58,73
3764,3768,60,74
3769,3786,67,75
3787,3795,0,0
3796,3800,58,66
3801,3804,62,65
3805,3814,65,63
3815,3818,58,60
3819,3823,62,58
3824,3832,65,57
3833,3837,58,54
3838,3841,62,52
3842,3859,65,50
3860,3868,0,0
3869,3873,57,50
3874,3878,60,50
3879,3896,63,50
3897,3909,0,0
3910,3914,63,50
3915,3933,69,50
3934,3947,0,0
3948,3953,63,50
3954,3972,69,50
3973,3986,0,0
3987,3991,63,50
3992,4010,69,50
4011,4024,0,0
4025,4029,62,50
4030,4048,69,50
4049,4062,0,0
4063,4068,62,50
4069,4093,69,50
4094,4112,0,0
4113,4119,62,50
4120,4144,69,50
4145,4163,0,0
4164,4170,62,50
4171,4195,69,50
4196,5300,0,0
5301,5355,79,50
5356,5373,73,50
5374,5391,76,50
5392,5410,74,50
5411,5446,74,50
5447,5463,0,0
5464,5516,81,50
5517,5534,69,50
5535,5568,0,0
5569,5622,81,50
5623,5639,69,50
5640,5657,74,50
5658,5674,76,50
