Name	Start	Duration	Time Format	Type	Description
Measure 0	0:00.000	0:00.000	decimal	Cue	
Measure 1	0:00.087	0:00.000	decimal	Cue	
Measure 7	0:07.256	0:00.000	decimal	Cue	
Measure 8	0:09.541	0:00.000	decimal	Cue	Measure 8
Measure 16	0:27.958	0:00.000	decimal	Cue	Measure 16
Measure 26	0:39.091	0:00.000	decimal	Cue	Measure 26
Measure 29	0:51.340	0:00.000	decimal	Cue	Measure 29
Measure 34	0:57.580	0:00.000	decimal	Cue	Measure 34
Measure 38	1:04.018	0:00.000	decimal	Cue	Measure 38
Measure 48	1:31.954	0:00.000	decimal	Cue	Measure 48
Measure 56	1:36.827	0:00.000	decimal	Cue	Measure 56
Measure 63	1:57.630	0:00.000	decimal	Cue	Measure 63
Measure 65	2:08.416	0:00.000	decimal	Cue	Measure 65
Measure 69	2:14.656	0:00.000	decimal	Cue	Measure 69
Measure 77	2:31.436	0:00.000	decimal	Cue	Measure 77
Measure 81	2:41.108	0:00.000	decimal	Cue	Measure 81
Measure 84	2:47.745	0:00.000	decimal	Cue	Measure 84
Measure 89	3:00.233	0:00.000	decimal	Cue	Measure 89
Measure 92	3:10.375	0:00.000	decimal	Cue	Measure 92
Measure 116	3:56.888	0:00.000	decimal	Cue	Measure 116
Measure 140	4:42.943	0:00.000	decimal	Cue	Measure 140
Measure 144	4:51.205	0:00.000	decimal	Cue	Measure 144
Measure 152	5:05.925	0:00.000	decimal	Cue	Measure 152
Measure 164	5:28.139	0:00.000	decimal	Cue	Measure 164
Measure 187	6:12.382	0:00.000	decimal	Cue	Measure 187
Measure 201	6:39.165	0:00.000	decimal	Cue	Measure 201
Measure 208	6:55.380	0:00.000	decimal	Cue	Measure 208
Measure 216	7:04.600	0:00.000	decimal	Cue	Measure 216
Measure 221	7:16.095	0:00.000	decimal	Cue	Measure 221
Measure 224	7:21.581	0:00.000	decimal	Cue	Measure 224
Measure 230	7:34.509	0:00.000	decimal	Cue	Measure 230
Measure 234	7:43.737	0:00.000	decimal	Cue	Measure 234
Measure 237	7:51.308	0:00.000	decimal	Cue	Measure 237
Measure 239	7:54.854	0:00.000	decimal	Cue	Measure 239
Measure 241	7:58.179	0:00.000	decimal	Cue	Measure 241
Measure 249	8:21.432	0:00.000	decimal	Cue	Measure 249
Measure 265	8:34.922	0:00.000	decimal	Cue	Measure 265
Measure 269	8:40.801	0:00.000	decimal	Cue	Measure 269
Measure 285	9:05.935	0:00.000	decimal	Cue	Measure 285
Measure 293	9:19.421	0:00.000	decimal	Cue	Measure 293
