Version:,2,,Date:,11/24/2015,,,,
Measure,SoloBass,SoloTenner,SoloAlto,SoloSopr,Bass,Tenor,Alto,Sopr
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,,,,,,,,
111,,,,,,,,
112,,,,,,,,
113,,,,,,,,
114,,,,,,,,
115,,,,,,,,
116,,,,,,,,
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,,,,,,,,
133,,,,,,,,
134,,,,,,,,
135,,,,,,,,
136,,,,,,,,
137,,,,,,,,
138,,,,,,,,
139,,,,,,,,
140,,,,,,,,
141,,,,,,,,
142,,,,,,,,
143,,,,,,,,
144,,,,,,,,
145,,,,,,,,
146,,,,,,,,
147,,,,,,,,
148,,,,,,,,
149,,,,,,,,
150,,,,,,,,
151,,,,,,,,
152,,,,,,,,
153,,,,,,,,
154,,,,,,,,
155,,,,,,,,
156,,,,,,,,
157,,,,,,,,
158,,,,,,,,
159,,,,,,,,
160,,,,,,,,
161,,,,,,,,
162,,,,,,,,
163,,,,,,,,
164,,,,,,,,
165,,,,,,,,
166,,,,,,,,
167,,,,,,,,
168,,,,,,,,
169,,,,,,,,
170,,,,,,,,
171,,,,,,,,
172,,,,,,,,
173,,,,,,,,
174,,,,,,,,
175,,,,,,,,
176,,,,,,,,
177,,,,,,,,
178,,,,,,,,
179,,,,,,,,
180,,,,,,,,
181,,,,,,,,
182,,,,,,,,
183,,,,,,,,
184,,,,,,,,
185,,,,,,,,
186,,,,,,,,
187,,,,,,,,
188,,,,,,,,
189,,,,,,,,
190,,,,,,,,
191,,,,,,,,
192,,,,,,,,
193,,,,,,,,
194,,,,,,,,
195,,,,,,,,
196,,,,,,,,
197,,,,,,,,
198,,,,,,,,
199,,,,,,,,
200,,,,,,,,
201,,,,,,,,
202,,,,,,,,
203,,,,,,,,
204,,,,,,,,
205,,,,,,,,
206,,,,,,,,
207,,,,,,,,
208,,,,,,,,
209,,,,,,,,
210,,,,,,,,
211,,,,,,,,
212,,,,,,,,
213,,,,,,,,
214,,,,,,,,
215,,,,,,,,
216,,,,,,,,
217,????O,,,,,,,
218,Fr,,,,,,,
219,eu,,,,,,,
220,ndenicht,,,,,,,
221,diese,,,,,,,
222,tone??.,,,,,,,
223,,,,,,,,
224,,,,,,,,
225,sondern,,,,,,,
226,??lasstuns,,,,,,,
227,an,,,,,,,
228,ge,,,,,,,
229,nehmerean,,,,,,,
230,stimmen,,,,,,,
231,????und,,,,,,,
232,f,,,,,,,
233,r,,,,,,,
234,e,,,,,,,
235,u,,,,,,,
236,uden,,,,,,,
237,volere.,,,,,,,
238,,,,,,,,
239,Freude????.,,,,????Freude.,,,
240,,,,,,,,
241,Freude,,,,????Freude.,,,
242,Freudeshoner,,,,,,,
243,Gotterfunken,,,,,,,
244,TochterausE,,,,,,,
245,lysium,,,,,,,
246,wirbetreten,,,,,,,
247,feuertrunkenH,,,,,,,
248,immlischedein,,,,,,,
249,Heiligthum!,,,,,,,
250,DeineZauber,,,,,,,
251,bindenwieder,,,,,,,
252,wasdieMode,,,,,,,
253,strenggetheiltal,,,,,,,
254,leMenschen,,,,,,,
255,werdenBruder,,,,,,,
256,wodeinsanfter,,,,,,,
257,Flugelweilt.,,,,,,,
258,,,,,DeineZauber,DeineZauber,DeineZauber,
259,,,,,bindenwieder,bindenwieder,bindenwieder,
260,,,,,wasdieMode,wasdieMode,wasdieMode,
261,,,,,strenggetheiltal,strenggetheiltal,strenggetheiltal,
262,,,,,leMenschen,leMenschen,leMenschen,
263,,,,,werden,werden,werden,
264,,,,,wodeinsanfter,wodeinsanfter,wodeinsanfter,
265,,,,,Flugelweilt.,Flugelweilt.,Flugelweilt.,
266,,,,,,,,
267,,,,,,,,
268,,,,,,,,
269,,,,,,,,
270,Wemdergrosse,Wemdergrosse,Wemdergrosse,,,,,
271,Wufgelungen,Wufgelungen,Wufgelungen,,,,,
272,einesFreundes,einesFreundes,einesFreundes,,,,,
