Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Alto.mid,Date,5/23/2015 8:51:12 PM,md5,65117297
Start Frame,End Frame,Note,Volume
0,15386,0,0
15387,15399,64,127
15400,15410,64,127
15411,15421,66,127
15422,15432,62,127
15433,15444,64,127
15445,15449,66,127
15450,15455,67,127
15456,15466,66,127
15467,15476,62,127
15477,15489,64,127
15490,15494,66,127
15495,15500,67,127
15501,15511,66,127
15512,15522,64,127
15523,15534,62,127
15535,15545,64,127
15546,15555,57,127
15556,15578,66,127
15579,15590,66,127
15591,15601,67,127
15602,15612,69,127
15613,15623,69,127
15624,15635,67,127
15636,15646,66,127
15647,15652,67,127
15653,15656,64,127
15657,15668,62,127
15669,15680,62,127
15681,15691,64,127
15692,15702,66,127
15703,15719,64,127
15720,15725,62,127
15726,15747,62,127
15748,16722,0,0
16723,16732,69,127
16733,16733,0,0
16734,16745,69,127
16746,16756,69,127
16757,16767,69,127
16768,16779,69,127
16780,16790,69,127
16791,16801,69,127
16802,16807,67,127
16808,16812,66,127
16813,16824,69,127
16825,16835,64,127
16836,16846,66,127
16847,16857,66,127
16858,16869,66,127
16870,16880,68,127
16881,16890,69,127
16891,16914,69,127
16915,16925,69,127
16926,16936,69,127
16937,16947,69,127
16948,16957,69,127
16958,16958,0,0
16959,16970,69,127
16971,16981,69,127
16982,16992,69,127
16993,17003,69,127
17004,17015,66,127
17016,17026,67,127
17027,17037,69,127
17038,17054,67,127
17055,17060,66,127
17061,17082,66,127
17083,18027,0,0
18028,18040,69,127
18041,18052,69,127
18053,18063,69,127
18064,18075,69,127
18076,18087,69,127
18088,18099,69,127
18100,18111,69,127
18112,18121,69,127
18122,18128,74,127
18129,18134,73,127
18135,18140,71,127
18141,18146,73,127
18147,18152,76,127
18153,18158,74,127
18159,18164,74,127
18165,18169,73,127
18170,18175,73,127
18176,18181,71,127
18182,18187,71,127
18188,18193,64,127
18194,18199,69,127
18200,18203,67,127
18204,18204,0,0
18205,18211,66,127
18212,18217,64,127
18218,18228,66,127
18229,18240,69,127
18241,18252,69,127
18253,18264,69,127
18265,18276,62,127
18277,18287,74,127
18288,18299,76,127
18300,18310,67,127
18311,18317,67,127
18318,18323,66,127
18324,18329,64,127
18330,18335,66,127
18336,18341,74,127
18342,18346,73,127
18347,18352,76,127
18353,18358,74,127
18359,18364,74,127
18365,18376,73,127
18377,18382,74,127
18383,18405,74,127
18406,18423,66,127
18424,18428,0,0
18429,18447,66,127
18448,18452,0,0
18453,18470,67,127
18471,18475,0,0
18476,18494,67,127
18495,18499,0,0
18500,18518,64,127
18519,18522,0,0
18523,18541,69,127
18542,18546,0,0
18547,18565,69,127
18566,18570,0,0
18571,18618,74,127
18619,18636,71,127
18637,18641,0,0
18642,18690,73,127
18691,18713,0,0
18714,18732,71,127
18733,18737,0,0
18738,18841,73,127
18842,18892,0,0
18893,18932,69,127
18933,18944,0,0
18945,19048,69,127
19049,25336,0,0
25337,25349,69,127
25350,25361,69,127
25362,25375,69,127
25376,25387,69,127
25388,25400,69,127
25401,25413,69,127
25414,25425,69,127
25426,25434,69,127
25435,25437,67,127
25438,25451,66,127
25452,25464,69,127
25465,25476,69,127
25477,25489,69,127
25490,25510,69,127
25511,25514,69,127
25515,25523,69,127
25524,25539,0,0
25540,25552,69,127
25553,25565,69,127
25566,25578,71,127
25579,25591,72,127
25592,25603,72,127
25604,25616,71,127
25617,25629,69,127
25630,25640,67,127
25641,25654,66,127
25655,25667,66,127
25668,25678,67,127
25679,25692,66,127
25693,25713,67,127
25714,25718,66,127
25719,25726,66,127
25727,25742,0,0
25743,25756,64,127
25757,25768,69,127
25769,25781,69,127
25782,25794,69,127
25795,25806,69,127
25807,25819,69,127
25820,25832,69,127
25833,25843,69,127
25844,25844,0,0
25845,25857,69,127
25858,25866,66,127
25867,25870,64,127
25871,25883,73,127
25884,25895,73,127
25896,25908,66,127
25909,25921,68,127
25922,25932,69,127
25933,25959,69,127
25960,25972,69,127
25973,25980,71,127
25981,25989,72,127
25990,25998,72,127
25999,26007,71,127
26008,26016,69,127
26017,26022,67,127
26023,26024,71,127
26025,26033,66,127
26034,26042,66,127
26043,26051,67,127
26052,26060,69,127
26061,26074,67,127
26075,26077,66,127
26078,26086,66,127
26087,26094,0,0
26095,26104,64,127
26105,26113,69,127
26114,26121,69,127
26122,26130,69,127
26131,26139,69,127
26140,26148,69,127
26149,26157,69,127
26158,26165,69,127
26166,26174,69,127
26175,26180,66,127
26181,26183,64,127
26184,26192,73,127
26193,26201,73,127
26202,26210,66,127
26211,26218,68,127
26219,26226,69,127
26227,26245,69,127
26246,26254,69,127
26255,26262,71,127
26263,26271,72,127
26272,26280,72,127
26281,26289,71,127
26290,26298,69,127
26299,26304,67,127
26305,26306,71,127
26307,26315,66,127
26316,26324,66,127
26325,26333,67,127
26334,26342,69,127
26343,26356,67,127
26357,26359,66,127
26360,26368,66,127
26369,27219,0,0
27220,27281,71,127
27282,27305,71,127
27306,27310,0,0
27311,27333,69,127
27334,27340,0,0
27341,27363,66,127
27364,27370,0,0
27371,27460,67,127
27461,27490,67,127
27491,27520,67,127
27521,27546,67,127
27547,27548,0,0
27549,27608,71,127
27609,27638,69,127
27639,27668,69,127
27669,27697,66,127
27698,27757,64,127
27758,27816,72,127
27817,27845,72,127
27846,27934,69,127
27935,28654,0,0
28655,28733,65,127
28734,28748,65,127
28749,28763,0,0
28764,28779,72,127
28780,28826,74,127
28827,28842,74,127
28843,28904,74,127
28905,28935,74,127
28936,28997,74,127
28998,29091,70,127
29092,29122,67,127
29123,29153,67,127
29154,29184,65,127
29185,29215,64,127
29216,29262,69,127
29263,29278,71,127
29279,29309,72,127
29310,29340,72,127
29341,29371,71,127
29372,29880,0,0
29881,29990,62,127
29991,30011,59,127
30012,30044,55,127
30045,30054,0,0
30055,30087,55,127
30088,30140,0,0
30141,30250,60,127
30251,30272,58,127
30273,30304,58,127
30305,30314,0,0
30315,30347,66,127
30348,30401,0,0
30402,30429,62,127
30430,30443,62,127
30444,30470,69,127
30471,30484,69,127
30485,30498,70,127
30499,30511,70,127
30512,30524,0,0
30525,30552,67,127
30553,30565,0,0
30566,30593,64,127
30594,30607,64,127
30608,30634,67,127
30635,30648,67,127
30649,30675,69,127
30676,30689,69,127
30690,30730,69,127
30731,30743,0,0
30744,30757,67,127
30758,30764,75,127
30765,30771,75,127
30772,30884,75,127
30885,30941,75,127
30942,30997,75,127
30998,31110,75,127
31111,31223,75,127
31224,31280,75,127
31281,31844,0,0
31845,31929,76,127
31930,31958,76,127
31959,32071,76,127
32072,32127,76,127
32128,32184,76,127
32185,32297,76,127
32298,32579,76,127
