Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Bass.mid,Date,5/23/2015 8:51:52 PM,md5,8948761
Start Frame,End Frame,Note,Volume
0,14518,0,0
14519,14532,57,127
14533,14545,57,127
14546,14619,0,0
14620,14632,57,127
14633,14645,57,127
14646,15386,0,0
15387,15399,52,127
15400,15410,52,127
15411,15421,54,127
15422,15432,50,127
15433,15444,52,127
15445,15449,54,127
15450,15455,55,127
15456,15466,54,127
15467,15476,50,127
15477,15489,52,127
15490,15494,54,127
15495,15500,55,127
15501,15511,54,127
15512,15522,52,127
15523,15534,50,127
15535,15545,52,127
15546,15555,45,127
15556,15578,54,127
15579,15590,54,127
15591,15601,55,127
15602,15612,57,127
15613,15623,57,127
15624,15635,55,127
15636,15646,54,127
15647,15652,55,127
15653,15656,52,127
15657,15668,50,127
15669,15680,50,127
15681,15691,52,127
15692,15702,54,127
15703,15719,52,127
15720,15725,50,127
15726,15747,50,127
15748,16710,0,0
16711,16732,57,127
16733,16733,0,0
16734,16745,45,127
16746,16756,57,127
16757,16767,57,127
16768,16779,57,127
16780,16790,45,127
16791,16801,57,127
16802,16812,57,127
16813,16824,57,127
16825,16835,57,127
16836,16846,58,127
16847,16857,54,127
16858,16869,59,127
16870,16880,52,127
16881,16890,57,127
16891,16902,45,127
16903,16914,50,127
16915,16925,50,127
16926,16936,50,127
16937,16942,49,127
16943,16947,47,127
16948,16953,45,127
16954,16957,47,127
16958,16958,0,0
16959,16964,49,127
16965,16970,50,127
16971,16975,52,127
16976,16981,54,127
16982,16987,55,127
16988,16992,52,127
16993,17003,54,127
17004,17015,54,127
17016,17026,50,127
17027,17037,50,127
17038,17048,57,127
17049,17060,45,127
17061,17082,50,127
17083,18027,0,0
18028,18040,57,127
18041,18052,57,127
18053,18063,57,127
18064,18075,57,127
18076,18087,57,127
18088,18099,57,127
18100,18111,57,127
18112,18121,57,127
18122,18134,57,127
18135,18146,45,127
18147,18158,45,127
18159,18169,45,127
18170,18181,45,127
18182,18193,45,127
18194,18203,45,127
18204,18204,0,0
18205,18217,45,127
18218,18228,50,127
18229,18240,50,127
18241,18252,50,127
18253,18264,50,127
18265,18276,50,127
18277,18287,50,127
18288,18299,50,127
18300,18310,50,127
18311,18323,50,127
18324,18335,50,127
18336,18352,62,127
18353,18358,62,127
18359,18364,62,127
18365,18376,57,127
18377,18382,62,127
18383,18404,62,127
18405,18423,62,127
18424,18428,0,0
18429,18447,62,127
18448,18452,0,0
18453,18470,55,127
18471,18475,0,0
18476,18494,55,127
18495,18499,0,0
18500,18518,57,127
18519,18522,0,0
18523,18541,57,127
18542,18546,0,0
18547,18593,62,127
18594,18612,52,127
18613,18617,0,0
18618,18636,52,127
18637,18641,0,0
18642,18690,57,127
18691,18713,0,0
18714,18732,52,127
18733,18737,0,0
18738,18841,57,127
18842,18892,0,0
18893,18932,57,127
18933,18944,0,0
18945,19048,53,127
19049,21398,0,0
21399,21409,53,127
21410,21413,0,0
21414,21423,53,127
21424,21427,0,0
21428,21443,53,127
21444,21456,53,127
21457,21457,0,0
21458,21472,48,127
21473,21487,48,127
21488,21502,51,127
21503,21512,50,127
21513,21515,48,127
21516,21531,58,127
21532,21541,46,127
21542,21545,0,0
21546,21561,56,127
21562,21570,44,127
21571,21574,0,0
21575,21585,55,127
21586,21589,0,0
21590,21600,55,127
21601,21605,53,127
21606,21619,51,127
21620,21629,52,127
21630,21633,0,0
21634,21644,53,127
21645,21648,0,0
21649,21659,53,127
21660,21662,0,0
21663,21708,53,127
21709,21722,53,127
21723,21730,58,127
21731,21735,53,127
21736,21743,53,127
21744,21770,0,0
21771,21784,58,127
21785,21792,58,127
21793,21820,0,0
