Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Bson.mid,Date,5/23/2015 8:43:32 PM,md5,40807399
Start Frame,End Frame,Note,Volume
0,299,0,0
300,382,41,127
383,388,65,127
389,394,65,127
395,400,57,127
401,407,57,127
408,413,62,127
414,419,62,127
420,425,53,127
426,431,53,127
432,437,57,127
438,444,57,127
445,450,50,127
451,456,50,127
457,462,50,127
463,468,50,127
469,474,48,127
475,480,48,127
481,487,47,127
488,493,47,127
494,499,46,127
500,505,46,127
506,511,46,127
512,517,46,127
518,523,58,127
524,534,58,127
535,543,0,0
544,555,57,127
556,1193,0,0
1194,1222,42,127
1223,1224,57,127
1225,1226,0,0
1227,1230,57,127
1231,1232,0,0
1233,1236,60,127
1237,1237,0,0
1238,1244,60,127
1245,1250,54,127
1251,1255,54,127
1256,1261,57,127
1262,1266,57,127
1267,1272,48,127
1273,1277,48,127
1278,1283,63,127
1284,1288,63,127
1289,1294,57,127
1295,1300,57,127
1301,1305,60,127
1306,1311,60,127
1312,1316,54,127
1317,1322,54,127
1323,1327,57,127
1328,1333,57,127
1334,1339,42,127
1340,1344,42,127
1345,1350,60,127
1351,1355,60,127
1356,1361,58,127
1362,1366,58,127
1367,1372,57,127
1373,1378,57,127
1379,1383,55,127
1384,1389,55,127
1390,1394,54,127
1395,1400,54,127
1401,1405,54,127
1406,1417,54,127
1418,1432,0,0
1433,1439,53,127
1440,1450,53,127
1451,1769,0,0
1770,1782,58,127
1783,1794,0,0
1795,1807,58,127
1808,1818,0,0
1819,2023,49,50
2024,2026,52,50
2027,2039,45,50
2040,2216,0,0
2217,2217,57,50
2218,2219,0,0
2220,2248,54,100
2249,3057,0,0
3058,3064,59,50
3065,3067,60,50
3068,3069,0,0
3070,3073,62,50
3074,3075,0,0
3076,3079,64,50
3080,3081,0,0
3082,3086,62,50
3087,3088,0,0
3089,3092,60,50
3093,3094,0,0
3095,3098,62,50
3099,3100,0,0
3101,3104,60,50
3105,3106,0,0
3107,3110,59,50
3111,3112,0,0
3113,3119,60,50
3120,3130,0,0
3131,3140,60,50
3141,3143,48,50
3144,3149,48,50
3150,3153,53,50
3154,3155,0,0
3156,3159,55,50
3160,3161,0,0
3162,3165,57,50
3166,3167,0,0
3168,3174,55,50
3175,3180,57,50
3181,3186,58,50
3187,3191,57,50
3192,3195,55,50
3196,3200,53,50
3201,3805,0,0
3806,3869,62,50
3870,3950,60,50
3951,4044,58,50
4045,4125,53,50
4126,4152,51,50
4153,4168,50,50
4169,4758,0,0
4759,4780,56,50
4781,4842,59,50
4843,4861,61,50
4862,4879,61,50
4880,4897,62,50
4898,4915,64,50
