Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Cell.mid,Date,5/23/2015 8:55:16 PM,md5,17059405
Start Frame,End Frame,Note,Volume
0,613,0,0
614,627,57,127
628,683,64,127
684,690,62,127
691,697,61,127
698,704,62,127
705,711,64,127
712,732,64,127
733,736,55,127
737,738,0,0
739,742,57,127
743,745,0,0
746,749,58,127
750,752,0,0
753,760,58,127
761,767,52,127
768,774,53,127
775,781,55,127
782,784,49,127
785,787,0,0
788,791,50,127
792,794,0,0
795,814,52,127
815,833,43,127
834,890,43,127
891,909,45,127
910,947,46,127
948,1062,58,127
1063,1119,57,127
1120,1138,52,127
1139,1149,55,127
1150,1160,53,127
1161,1410,0,0
1411,1417,54,127
1418,1428,57,127
1429,1455,0,0
1456,1461,53,127
1462,1467,60,127
1468,1472,60,127
1473,1518,63,127
1519,1533,63,127
1534,1548,60,127
1549,1563,58,127
1564,1579,58,127
1580,1594,57,127
1595,1609,57,127
1610,1624,57,127
1625,1639,58,127
1640,1655,60,127
1656,1670,60,127
1671,1685,53,127
1686,1699,0,0
1700,1715,51,127
1716,1731,51,127
1732,1746,50,127
1747,1758,48,127
1759,1770,46,127
1771,1818,0,0
1819,1829,52,50
1830,1831,0,0
1832,1842,52,50
1843,1844,0,0
1845,1855,52,50
1856,1857,0,0
1858,1868,52,50
1869,1870,0,0
1871,1881,52,50
1882,1883,0,0
1884,1894,52,50
1895,1896,0,0
1897,1907,52,50
1908,1909,0,0
1910,1920,52,50
1921,1922,0,0
1923,1933,52,50
1934,1935,0,0
1936,1946,52,50
1947,1948,0,0
1949,1959,52,50
1960,1961,0,0
1962,1972,52,50
1973,1974,0,0
1975,1985,52,50
1986,1987,0,0
1988,1998,52,50
1999,2000,0,0
2001,2011,52,50
2012,2013,0,0
2014,2024,52,50
2025,2026,0,0
2027,2036,52,50
2037,2038,0,0
2039,2048,52,50
2049,2050,0,0
2051,2060,52,50
2061,2062,0,0
2063,2072,52,50
2073,2074,0,0
2075,2084,52,50
2085,2086,0,0
2087,2096,52,50
2097,2098,0,0
2099,2108,52,50
2109,2110,0,0
2111,2120,52,50
2121,2122,0,0
2123,2133,52,50
2134,2135,0,0
2136,2145,52,50
2146,2147,0,0
2148,2157,52,50
2158,2159,0,0
2160,2169,52,50
2170,2171,0,0
2172,2181,52,50
2182,2183,0,0
2184,2193,52,50
2194,2195,0,0
2196,2205,52,50
2206,2207,0,0
2208,2217,52,50
2218,2219,0,0
2220,2222,54,100
2223,2233,0,0
2234,2248,54,100
2249,2346,63,100
2347,2360,63,100
2361,2374,63,100
2375,2388,60,100
2389,2402,58,100
2403,2415,57,100
2416,2429,60,100
2430,2443,54,100
2444,2457,55,100
2458,2471,57,100
2472,2485,57,100
2486,2499,48,100
2500,2513,50,100
2514,2541,51,100
2542,2555,50,100
2556,2597,50,100
2598,2611,48,100
2612,2625,48,100
2626,2639,47,100
2640,2653,47,100
2654,2667,53,100
2668,2681,53,100
2682,2709,52,100
2710,2723,50,100
2724,2737,50,100
2738,2751,59,100
2752,2765,59,100
2766,2779,59,100
2780,2793,59,100
2794,2807,60,100
2808,2890,62,100
2891,2946,60,84
2947,2974,59,73
2975,3002,62,67
3003,3030,60,62
3031,3057,0,0
3058,3064,64,50
3065,3075,0,0
3076,3082,57,50
3083,3094,0,0
3095,3101,52,50
3102,3112,0,0
3113,3119,45,50
3120,3130,0,0
3131,3137,60,50
3138,3148,0,0
3149,3156,53,50
3157,3167,0,0
3168,3174,48,50
3175,3185,0,0
3186,3191,41,50
3192,3203,0,0
3204,3234,65,100
3235,3264,60,98
3265,3322,0,0
3323,3353,60,91
3354,3368,58,89
3369,3382,60,87
3383,3397,58,86
3398,3412,57,85
3413,3442,57,84
3443,3516,53,81
3517,3531,53,75
3532,3546,53,74
3547,3561,55,73
3562,3576,58,72
3577,3591,57,71
3592,3605,0,0
3606,3620,57,68
3621,3635,57,67
3636,3650,58,66
3651,3665,62,65
3666,3680,60,64
3681,3695,60,62
3696,3709,60,61
3710,3724,60,60
3725,3739,62,59
3740,3761,63,58
3762,4151,0,0
4152,4230,58,50
4231,4246,59,50
4247,4277,59,50
4278,4292,56,50
4293,4324,54,50
4325,4339,53,50
4340,4380,0,0
4381,4402,53,56
4403,4444,56,60
4445,4465,61,66
4466,4486,61,70
4487,4517,54,73
4518,4528,57,78
4529,4549,57,80
4550,4554,48,83
4555,4558,0,0
4559,4565,63,85
4566,4569,0,0
4570,4575,63,86
4576,4579,0,0
4580,4586,61,88
4587,4590,0,0
4591,4601,61,90
4602,4612,60,91
4613,4622,60,93
4623,4633,63,95
4634,4643,63,96
4644,4654,64,98
4655,4685,66,100
4686,4696,63,105
4697,4706,60,106
4707,4717,61,108
4718,4738,61,50
4739,4759,56,50
4760,5095,0,0
5096,5115,57,50
5116,5132,0,0
5133,5155,64,100
5156,5176,0,0
5177,5188,62,100
5189,5199,64,100
5200,5210,62,100
5211,5221,61,100
5222,5253,0,0
5254,5265,64,100
5266,5288,64,100
5289,5321,55,100
5322,5332,57,100
5333,5357,55,100
5358,5382,54,100
5383,5400,57,100
5401,5407,62,100
5408,5444,62,100
5445,5457,64,100
5458,5469,66,100
5470,5482,64,100
5483,5494,64,100
5495,5507,62,100
5508,5519,62,100
5520,5532,61,100
5533,5544,62,100
5545,5557,57,100
5558,5569,55,100
5570,5582,54,100
5583,5594,54,100
5595,5606,52,100
5607,5619,50,100
5620,5631,48,100
5632,5644,48,100
5645,5656,47,100
5657,5757,55,100
5758,5774,52,100
5775,5791,49,100
5792,5808,50,100
5809,5842,50,100
5843,5875,45,100
5876,6010,0,0
6011,6060,54,50
6061,6085,55,50
6086,6110,57,50
6111,6135,57,50
6136,6160,55,50
6161,6185,54,50
6186,6210,52,50
6211,6260,50,50
6261,6285,52,50
6286,6310,54,50
6311,6347,54,50
6348,6359,52,50
6360,6409,52,50
6410,6459,54,50
6460,6484,55,50
6485,6509,57,50
6510,6534,57,50
6535,6559,55,50
6560,6584,54,50
6585,6609,52,50
6610,6659,50,50
6660,6683,52,50
6684,6708,54,50
6709,6746,52,50
6747,6758,50,50
6759,6808,50,50
6809,6858,52,50
6859,6883,54,50
6884,6908,50,50
6909,6933,52,50
6934,6945,54,50
6946,6958,55,50
6959,6982,54,50
6983,7007,50,50
7008,7032,52,50
7033,7045,54,50
7046,7057,55,50
7058,7082,54,50
7083,7107,52,50
7108,7132,50,50
7133,7157,52,55
7158,7182,45,60
7183,7232,54,65
7233,7257,54,50
7258,7281,55,50
7282,7306,57,50
7307,7331,57,50
7332,7356,55,50
7357,7381,54,50
7382,7406,52,50
7407,7426,50,50
7427,7437,52,50
7438,7447,54,50
7448,7462,52,50
7463,7467,50,50
7468,7487,50,50
7488,7508,52,50
7509,7518,54,50
7519,7528,50,50
7529,7538,52,50
7539,7543,54,50
7544,7548,55,50
7549,7558,54,50
7559,7569,50,50
7570,7579,52,50
7580,7584,54,50
7585,7589,55,50
7590,7599,54,50
7600,7609,52,50
7610,7619,50,50
7620,7630,52,55
7631,7640,45,60
7641,7660,54,65
7661,7670,54,50
7671,7680,55,50
7681,7691,57,50
7692,7701,57,50
7702,7711,55,50
7712,7721,54,50
7722,7731,52,50
7732,7752,50,50
7753,7762,52,50
7763,7772,54,50
7773,7787,52,50
7788,7792,50,50
7793,7802,50,50
7803,7812,57,50
7813,7833,66,50
7834,7843,67,50
7844,7853,69,50
7854,7863,69,50
7864,7873,67,50
7874,7884,66,50
7885,7894,64,50
7895,7914,62,50
7915,7924,64,50
7925,7934,66,50
7935,7945,66,50
7946,7955,64,50
7956,7975,64,50
7976,7995,66,50
7996,8005,67,50
8006,8016,69,50
8017,8026,69,50
8027,8036,67,50
8037,8046,66,50
8047,8056,64,50
8057,8077,62,50
8078,8087,64,50
8088,8097,66,50
8098,8112,64,50
8113,8117,62,50
8118,8138,62,50
8139,8158,64,50
8159,8168,66,50
8169,8178,62,50
8179,8188,64,50
8189,8193,66,50
8194,8199,67,50
8200,8209,66,50
8210,8219,62,50
8220,8229,64,50
8230,8234,66,50
8235,8239,67,50
8240,8249,66,50
8250,8259,64,50
8260,8270,62,50
8271,8280,64,55
8281,8290,57,60
8291,8310,66,65
8311,8320,66,50
8321,8331,67,50
8332,8341,69,50
8342,8351,69,50
8352,8361,67,50
8362,8371,66,50
8372,8381,64,50
8382,8402,62,50
8403,8412,64,50
8413,8422,66,50
8423,8437,64,50
8438,8442,62,50
8443,8463,62,50
8464,8483,64,50
8484,8493,66,50
8494,8503,62,50
8504,8513,64,50
8514,8519,66,50
8520,8524,67,50
8525,8534,66,50
8535,8544,62,50
8545,8554,64,50
8555,8559,66,50
8560,8564,67,50
8565,8574,66,50
8575,8585,64,50
8586,8595,62,50
8596,8605,64,55
8606,8615,57,60
8616,8635,66,65
8636,8646,66,50
8647,8656,67,50
8657,8666,69,50
8667,8676,69,50
8677,8686,67,50
8687,8696,66,50
8697,8706,64,50
8707,8727,62,50
8728,8737,64,50
8738,8747,66,50
8748,8762,64,50
8763,8767,62,50
8768,8788,62,50
8789,8819,69,50
8820,8850,62,50
8851,8873,59,50
8874,8881,61,50
8882,8896,62,50
8897,8927,67,50
8928,8943,66,50
8944,8958,64,50
8959,8989,62,50
8990,9005,61,50
9006,9020,59,50
9021,9036,57,50
9037,9063,69,50
9064,9091,62,50
9092,9111,59,50
9112,9118,61,50
9119,9132,62,50
9133,9160,67,50
9161,9167,66,50
9168,9174,64,50
9175,9180,62,50
9181,9187,61,50
9188,9194,59,50
9195,9201,57,50
9202,9215,55,50
9216,9229,57,50
9230,9243,54,50
9244,9256,66,50
9257,9284,67,50
9285,9298,69,50
9299,9312,59,50
9313,9339,61,50
9340,9353,62,50
9354,9360,64,50
9361,9367,66,50
9368,9394,67,50
9395,9401,69,50
9402,9408,57,50
9409,9422,58,50
9423,9436,59,50
9437,9463,61,50
9464,9477,62,50
9478,9505,69,50
9506,9533,60,50
9534,9554,59,50
9555,9560,61,50
9561,9574,62,50
9575,9602,67,50
9603,9609,66,50
9610,9616,64,50
9617,9623,62,50
9624,9630,61,50
9631,9637,59,50
9638,9644,57,50
9645,9658,55,50
9659,9672,57,50
9673,9685,54,50
9686,9699,66,50
9700,9727,67,50
9728,9741,69,54
9742,9755,59,57
9756,9783,61,59
9784,9797,62,64
9798,9803,64,66
9804,9810,66,68
9811,9838,67,69
9839,9845,69,74
9846,9852,57,75
9853,9866,58,76
9867,9880,59,78
9881,9908,61,81
9909,9921,62,86
9922,9949,69,88
