Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Cont.mid,Date,5/23/2015 8:43:48 PM,md5,5009246
Start Frame,End Frame,Note,Volume
0,299,0,0
300,382,29,127
383,388,41,127
389,394,41,127
395,400,33,127
401,407,33,127
408,413,38,127
414,419,38,127
420,425,29,127
426,431,29,127
432,437,33,127
438,444,33,127
445,450,26,127
451,456,26,127
457,462,38,127
463,468,38,127
469,474,36,127
475,480,36,127
481,487,35,127
488,493,35,127
494,499,34,127
500,505,34,127
506,511,34,127
512,517,34,127
518,523,46,127
524,534,46,127
535,543,0,0
544,555,45,127
556,1193,0,0
1194,1222,30,127
1223,1224,45,127
1225,1226,0,0
1227,1230,45,127
1231,1232,0,0
1233,1236,48,127
1237,1237,0,0
1238,1244,48,127
1245,1250,42,127
1251,1255,42,127
1256,1261,45,127
1262,1266,45,127
1267,1272,36,127
1273,1277,36,127
1278,1283,39,127
1284,1288,39,127
1289,1294,33,127
1295,1300,33,127
1301,1305,36,127
1306,1311,36,127
1312,1316,30,127
1317,1322,30,127
1323,1327,33,127
1328,1333,33,127
1334,1339,30,127
1340,1344,30,127
1345,1350,36,127
1351,1355,36,127
1356,1361,34,127
1362,1366,34,127
1367,1372,33,127
1373,1378,33,127
1379,1383,31,127
1384,1389,31,127
1390,1394,30,127
1395,1400,30,127
1401,1405,30,127
1406,1417,30,127
1418,1432,0,0
1433,1439,29,127
1440,1450,29,127
1451,1769,0,0
1770,1782,34,127
1783,1794,0,0
1795,1807,34,127
1808,1818,0,0
1819,2217,37,50
2218,2219,0,0
2220,2248,30,100
2249,5154,0,0
5155,5166,40,100
5167,5220,0,0
5221,5232,37,100
5233,5287,0,0
5288,5299,31,100
5300,5356,0,0
5357,5369,30,100
5370,5656,0,0
5657,5681,31,100
5682,5694,43,100
5695,5908,0,0
5909,5943,33,100
5944,5976,0,0
5977,6011,26,100
6012,10143,0,0
10144,10158,50,127
10159,10164,0,0
10165,10172,38,127
10173,10187,50,127
10188,10193,0,0
10194,10201,38,127
10202,10216,45,127
10217,10222,0,0
10223,10230,33,127
10231,10245,45,127
10246,10251,0,0
10252,10259,33,127
10260,10273,38,127
10274,10301,0,0
10302,10317,38,127
10318,10331,45,127
10332,10345,0,0
10346,10360,33,127
10361,10374,0,0
10375,10389,50,127
10390,10395,0,0
10396,10403,38,127
10404,10418,50,127
10419,10424,0,0
10425,10432,38,127
10433,10447,45,127
10448,10453,0,0
10454,10461,33,127
10462,10475,45,127
10476,10482,0,0
10483,10490,33,127
10491,10504,38,127
10505,10532,0,0
10533,10548,38,127
10549,10562,33,127
10563,10590,0,0
10591,10605,38,127
10606,10620,33,127
10621,10626,0,0
10627,10634,33,127
10635,10649,45,127
10650,10663,38,127
10664,10677,33,127
10678,10684,0,0
10685,10692,33,127
10693,10706,45,127
10707,10721,38,127
10722,10735,33,127
10736,10741,0,0
10742,10750,45,127
10751,10757,46,127
10758,10763,0,0
10764,10771,42,127
10772,10777,0,0
10778,10786,47,127
10787,10792,0,0
10793,10800,40,127
10801,10806,0,0
10807,10814,45,127
10815,10821,0,0
10822,10829,33,127
10830,10835,0,0
10836,10851,50,127
10852,10857,0,0
10858,10865,38,127
10866,10879,50,127
10880,10886,0,0
10887,10894,38,127
10895,10908,45,127
10909,10915,0,0
10916,10923,33,127
10924,10937,45,127
10938,10943,0,0
10944,10948,33,127
10949,10951,0,0
10952,10966,38,127
10967,10994,0,0
10995,11009,38,127
11010,11024,33,127
11025,11037,0,0
11038,11053,37,127
11054,11066,0,0
11067,11081,33,127
11082,11088,0,0
11089,11096,33,127
11097,11110,45,127
11111,11125,38,127
11126,11139,33,127
11140,11145,0,0
11146,11154,33,127
11155,11168,45,127
11169,11182,38,127
11183,11197,33,127
11198,11203,0,0
11204,11211,45,127
11212,11218,46,127
11219,11225,0,0
11226,11233,42,127
11234,11239,0,0
11240,11247,47,127
11248,11254,0,0
11255,11262,40,127
11263,11268,0,0
11269,11276,45,127
11277,11282,0,0
11283,11291,33,127
11292,11297,0,0
11298,11312,50,127
11313,11318,0,0
11319,11327,38,127
11328,11341,50,127
11342,11347,0,0
11348,11355,38,127
11356,11370,45,127
11371,11376,0,0
11377,11384,33,127
11385,11399,45,127
11400,11405,0,0
11406,11413,33,127
11414,11428,38,127
11429,11456,0,0
11457,11471,38,127
11472,11485,33,127
11486,11499,0,0
11500,11514,38,127
11515,11520,0,0
11521,11528,38,127
11529,11543,50,127
11544,11549,0,0
