Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Cymb.mid,Date,5/23/2015 8:57:36 PM,md5,62068736
Start Frame,End Frame,Note,Volume
0,19062,0,0
19063,19074,35,50
19075,19124,0,0
19125,19135,35,50
19136,19185,0,0
19186,19197,35,50
19198,19214,0,0
19215,19224,35,50
19225,19240,0,0
19241,19250,35,50
19251,19267,0,0
19268,19277,35,50
19278,19293,0,0
19294,19303,35,50
19304,19320,0,0
19321,19329,35,50
19330,19346,0,0
19347,19356,35,50
19357,19372,0,0
19373,19382,35,50
19383,19386,0,0
19387,19397,81,50
19398,19401,0,0
19402,19412,81,50
19413,19417,0,0
19418,19428,35,50
19429,19432,0,0
19433,19443,81,50
19444,19448,0,0
19449,19459,35,50
19460,19463,0,0
19464,19474,81,50
19475,19478,0,0
19479,19490,81,50
19491,19494,0,0
19495,19505,81,50
19506,19509,0,0
19510,19521,35,50
19522,19525,0,0
19526,19536,81,50
19537,19540,0,0
19541,19552,35,50
19553,19556,0,0
19557,19567,81,50
19568,19571,0,0
19572,19583,35,50
19584,19587,0,0
19588,19598,81,50
19599,19602,0,0
19603,19614,35,50
19615,19618,0,0
19619,19629,81,50
19630,19633,0,0
19634,19645,35,50
19646,19649,0,0
19650,19660,81,50
19661,19664,0,0
19665,19676,35,50
19677,19680,0,0
19681,19691,81,50
19692,19695,0,0
19696,19707,35,50
19708,19711,0,0
19712,19722,81,50
19723,19726,0,0
19727,19738,81,50
19739,19742,0,0
19743,19753,81,50
19754,19757,0,0
19758,19769,35,50
19770,19773,0,0
19774,19784,81,50
19785,19788,0,0
19789,19800,81,50
19801,19804,0,0
19805,19815,81,50
19816,19819,0,0
19820,19831,35,50
19832,19835,0,0
19836,19846,81,50
19847,19850,0,0
19851,19862,81,50
19863,19881,0,0
19882,19892,81,50
19893,19895,0,0
19896,19906,81,50
19907,19910,0,0
19911,19920,81,50
19921,19924,0,0
19925,19935,81,50
19936,19938,0,0
