Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04DBas.mid,Date,5/23/2015 8:55:28 PM,md5,62258301
Start Frame,End Frame,Note,Volume
0,613,0,0
614,627,45,127
628,683,52,127
684,690,50,127
691,697,49,127
698,704,50,127
705,711,52,127
712,732,52,127
733,736,43,127
737,738,0,0
739,742,45,127
743,745,0,0
746,749,46,127
750,752,0,0
753,760,46,127
761,767,40,127
768,774,41,127
775,781,43,127
782,784,37,127
785,787,0,0
788,791,38,127
792,794,0,0
795,814,40,127
815,833,31,127
834,890,31,127
891,909,33,127
910,947,34,127
948,1062,46,127
1063,1119,45,127
1120,1138,40,127
1139,1149,43,127
1150,1160,41,127
1161,1410,0,0
1411,1417,42,127
1418,1428,45,127
1429,1455,0,0
1456,1461,41,127
1462,1467,48,127
1468,1472,48,127
1473,1518,51,127
1519,1533,51,127
1534,1548,48,127
1549,1563,46,127
1564,1579,46,127
1580,1594,45,127
1595,1609,45,127
1610,1624,45,127
1625,1639,46,127
1640,1655,48,127
1656,1670,48,127
1671,1685,41,127
1686,1699,0,0
1700,1715,39,127
1716,1731,39,127
1732,1746,38,127
1747,1758,36,127
1759,1770,34,127
1771,1818,0,0
1819,2220,37,50
2221,2234,42,100
2235,2248,42,100
2249,2346,51,100
2347,2360,51,100
2361,2374,51,100
2375,2388,48,100
2389,2402,46,100
2403,2415,45,100
2416,2429,48,100
2430,2443,42,100
2444,2457,43,100
2458,2471,45,100
2472,2485,45,100
2486,2499,36,100
2500,2513,38,100
2514,2541,39,100
2542,2555,38,100
2556,2597,38,100
2598,2611,36,100
2612,2625,36,100
2626,2639,35,100
2640,2653,35,100
2654,2667,41,100
2668,2681,41,100
2682,2709,40,100
2710,2723,38,100
2724,2737,38,100
2738,2751,47,100
2752,2765,47,100
2766,2779,47,100
2780,2793,47,100
2794,2807,48,100
2808,2890,50,100
2891,2946,48,84
2947,2974,47,73
2975,3002,50,67
3003,3030,48,62
3031,3203,0,0
3204,3234,53,100
3235,3264,48,98
3265,3322,0,0
3323,3353,48,91
3354,3368,46,89
3369,3382,48,87
3383,3397,46,86
3398,3412,45,85
3413,3442,45,84
3443,3516,41,81
3517,3531,41,75
3532,3546,41,74
3547,3561,43,73
3562,3576,46,72
3577,3591,45,71
3592,3605,0,0
3606,3620,45,68
3621,3635,45,67
3636,3650,46,66
3651,3665,50,65
3666,3680,48,64
3681,3695,48,62
3696,3709,48,61
3710,3724,48,60
3725,3739,50,59
3740,3761,51,58
3762,4151,0,0
4152,4230,46,50
4231,4246,47,50
4247,4277,47,50
4278,4292,44,50
4293,4324,42,50
4325,4339,41,50
4340,4380,0,0
4381,4402,41,56
4403,4444,44,60
4445,4465,49,66
4466,4486,49,70
4487,4517,42,73
4518,4528,45,78
4529,4549,45,80
