Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Flut.mid,Date,5/23/2015 8:42:44 PM,md5,8541776
Start Frame,End Frame,Note,Volume
0,299,0,0
300,321,70,127
322,324,69,127
325,326,0,0
327,330,69,127
331,332,0,0
333,336,74,127
337,338,0,0
339,345,74,127
346,351,77,127
352,357,77,127
358,364,81,127
365,370,81,127
371,376,74,127
377,382,74,127
383,388,77,127
389,394,77,127
395,400,81,127
401,407,81,127
408,413,86,127
414,419,86,127
420,425,77,127
426,431,77,127
432,437,81,127
438,444,81,127
445,450,74,127
451,456,74,127
457,462,77,127
463,468,77,127
469,474,78,127
475,480,78,127
481,487,79,127
488,493,79,127
494,499,80,127
500,505,80,127
506,511,86,127
512,517,86,127
518,523,86,127
524,534,86,127
535,543,0,0
544,555,81,127
556,1193,0,0
1194,1222,87,127
1223,1224,81,127
1225,1226,0,0
1227,1230,81,127
1231,1232,0,0
1233,1236,84,127
1237,1237,0,0
1238,1244,84,127
1245,1250,78,127
1251,1255,78,127
1256,1261,81,127
1262,1266,81,127
1267,1272,72,127
1273,1277,72,127
1278,1283,87,127
1284,1288,87,127
1289,1294,81,127
1295,1300,81,127
1301,1305,84,127
1306,1311,84,127
1312,1316,78,127
1317,1322,78,127
1323,1327,81,127
1328,1333,81,127
1334,1339,66,127
1340,1344,66,127
1345,1350,81,127
1351,1355,81,127
1356,1361,82,127
1362,1366,82,127
1367,1372,84,127
1373,1378,84,127
1379,1383,86,127
1384,1389,86,127
1390,1394,87,127
1395,1400,84,127
1401,1405,84,127
1406,1417,84,127
1418,1432,0,0
1433,1439,84,127
1440,1450,84,127
1451,1769,0,0
1770,1782,86,127
1783,1794,0,0
1795,1807,86,127
1808,1818,0,0
1819,2248,81,50
2249,3057,0,0
3058,3067,88,50
3068,3070,76,50
3071,3076,76,50
3077,3079,81,50
3080,3081,0,0
3082,3086,83,50
3087,3088,0,0
3089,3092,84,50
3093,3094,0,0
3095,3098,83,50
3099,3100,0,0
3101,3104,84,50
3105,3106,0,0
3107,3110,86,50
3111,3112,0,0
3113,3116,84,50
3117,3118,0,0
3119,3122,83,50
3123,3124,0,0
3125,3128,81,50
3129,3130,0,0
3131,3134,82,50
3135,3136,0,0
3137,3140,81,50
3141,3142,0,0
3143,3146,79,50
3147,3148,0,0
3149,3153,81,50
3154,3155,0,0
3156,3159,82,50
3160,3161,0,0
3162,3165,84,50
3166,3167,0,0
3168,3174,88,50
3175,3180,89,50
3181,3186,91,50
3187,3191,89,50
3192,3195,91,50
3196,3200,93,50
3201,3805,0,0
3806,3869,86,50
3870,3950,81,50
3951,3990,82,50
3991,4338,0,0
4339,4507,73,50
4508,4570,78,76
4571,5154,0,0
5155,5166,85,100
5167,5220,0,0
5221,5232,79,100
5233,5287,0,0
5288,5299,85,100
5300,5356,0,0
5357,5369,81,100
5370,5656,0,0
5657,5681,83,100
5682,5694,83,100
5695,5908,0,0
5909,5943,85,100
5944,5976,0,0
5977,6011,86,100
6012,10143,0,0
10144,10172,86,127
10173,10187,88,127
10188,10201,90,127
10202,10216,90,127
10217,10230,88,127
10231,10237,86,127
10238,10244,0,0
10245,10252,81,127
10253,10258,0,0
10259,10273,78,127
10274,10288,78,127
10289,10302,81,127
10303,10317,86,127
10318,10338,86,127
10339,10346,85,127
10347,10374,85,127
10375,10403,86,127
10404,10418,88,127
10419,10432,90,127
10433,10447,90,127
10448,10461,88,127
10462,10468,86,127
10469,10474,0,0
10475,10483,81,127
10484,10489,0,0
10490,10497,78,127
10498,10503,0,0
10504,10512,78,127
10513,10518,0,0
10519,10526,81,127
10527,10532,0,0
10533,10540,86,127
10541,10547,0,0
10548,10569,81,127
10570,10576,78,127
10577,10605,78,127
10606,10634,85,127
10635,10649,86,127
10650,10663,86,127
10664,10677,85,127
10678,10685,86,127
10686,10692,88,127
10693,10706,86,127
10707,10713,86,127
10714,10720,0,0
10721,10735,85,127
10736,10742,86,127
10743,10750,88,127
10751,10764,85,127
10765,10778,85,127
10779,10786,83,127
10787,10792,0,0
10793,10800,80,127
10801,10806,0,0
10807,10814,81,127
10815,10821,0,0
10822,10851,86,127
10852,10858,86,127
10859,10864,0,0
10865,10872,88,127
10873,10878,0,0
10879,10887,90,127
10888,10893,0,0
10894,10908,90,127
10909,10923,88,127
10924,10930,86,127
10931,10936,0,0
10937,10944,81,127
10945,10951,0,0
10952,10959,78,127
10960,10965,0,0
10966,10973,78,127
10974,10979,0,0
10980,10988,81,127
10989,10994,0,0
10995,11002,86,127
11003,11008,0,0
11009,11031,81,127
11032,11038,78,127
11039,11042,78,127
11043,11044,0,0
11045,11053,90,127
11054,11060,88,127
11061,11067,86,127
11068,11096,85,127
11097,11110,86,127
11111,11125,78,127
11126,11139,85,127
11140,11146,86,127
11147,11154,88,127
11155,11168,86,127
11169,11175,86,127
11176,11181,0,0
11182,11197,85,127
11198,11204,86,127
11205,11211,88,127
11212,11226,85,127
11227,11240,85,127
11241,11247,83,127
11248,11254,0,0
11255,11262,80,127
11263,11268,0,0
11269,11276,81,127
11277,11282,0,0
11283,11312,86,127
11313,11319,86,127
11320,11326,0,0
11327,11334,88,127
11335,11340,0,0
11341,11348,90,127
11349,11355,0,0
11356,11370,90,127
11371,11384,88,127
11385,11392,86,127
11393,11398,0,0
11399,11406,81,127
11407,11412,0,0
11413,11428,78,127
11429,11435,78,127
11436,11441,0,0
11442,11449,81,127
11450,11456,0,0
11457,11464,86,127
11465,11470,0,0
11471,11492,81,127
11493,11500,78,127
11501,11514,78,127
11515,11528,90,127
11529,11550,88,127
11551,11557,86,127
11558,11571,86,127
11572,11586,86,127
11587,11607,86,127
11608,11614,86,127
11615,11629,86,127
11630,11643,83,127
11644,11665,83,127
11666,11672,88,127
11673,11686,85,127
11687,11693,79,127
11694,11700,81,127
11701,11722,79,127
11723,11729,78,127
11730,11736,81,127
11737,11744,81,127
11745,11751,86,127
11752,11758,90,127
11759,11779,86,127
11780,11787,88,127
11788,11801,85,127
11802,11815,88,127
11816,11837,91,127
11838,11844,90,127
11845,11858,86,127
11859,11873,90,127
11874,11887,87,127
11888,11894,90,127
11895,11901,92,127
11902,11916,89,127
11917,11930,89,127
11931,11944,88,127
11945,11952,76,127
11953,11959,82,127
11960,11973,85,127
11974,11980,78,127
11981,11987,83,127
11988,12002,83,127
12003,12009,80,127
12010,12016,85,127
12017,12030,85,127
12031,12038,81,127
12039,12045,86,127
12046,12059,86,127
12060,12066,83,127
12067,12074,88,127
12075,12088,88,127
12089,12095,83,127
12096,12102,86,127
12103,12117,90,127
12118,12124,83,127
12125,12138,88,127
12139,12145,86,127
12146,12152,83,127
12153,12174,88,127
12175,12188,85,127
12189,12203,81,127
12204,12217,90,127
12218,12231,88,127
12232,12260,81,127
12261,12274,80,127
12275,12279,81,127
12280,12282,0,0
12283,12287,69,127
12288,12292,71,127
12293,12296,73,127
12297,12300,0,0
12301,12305,73,127
12306,12309,74,127
12310,12313,76,127
12314,12317,0,0
12318,12322,76,127
12323,12326,78,127
12327,12331,80,127
12332,12334,0,0
12335,12338,76,127
12339,12340,78,127
12341,12342,80,127
12343,12343,0,0
12344,12345,81,127
12346,12378,0,0
12379,12387,76,127
12388,12395,0,0
12396,12405,76,127
12406,12412,0,0
12413,12422,88,50
