Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Hrn1.mid,Date,5/23/2015 8:46:50 PM,md5,10286142
Start Frame,End Frame,Note,Volume
0,299,0,0
300,388,65,127
389,400,65,127
401,413,65,127
414,425,65,127
426,437,65,127
438,450,65,127
451,456,65,127
457,462,62,127
463,468,62,127
469,474,62,127
475,480,62,127
481,487,62,127
488,493,62,127
494,499,62,127
500,505,62,127
506,511,62,127
512,517,62,127
518,523,62,127
524,534,62,127
535,543,0,0
544,555,69,127
556,1193,0,0
1194,1283,69,127
1284,1294,69,127
1295,1305,69,127
1306,1311,69,127
1312,1316,66,127
1317,1322,66,127
1323,1327,69,127
1328,1333,69,127
1334,1339,54,127
1340,1344,54,127
1345,1350,60,127
1351,1355,60,127
1356,1393,0,0
1394,1400,69,127
1401,1405,69,127
1406,1417,69,127
1418,1432,0,0
1433,1439,69,127
1440,1450,69,127
1451,1769,0,0
1770,1782,62,127
1783,1794,0,0
1795,1807,62,127
1808,1818,0,0
1819,2220,64,50
2221,2248,54,100
2249,4800,0,0
4801,4842,64,50
4843,5155,57,50
5156,5166,64,100
5167,5220,0,0
5221,5232,64,100
5233,5287,0,0
5288,5299,64,100
5300,5356,0,0
5357,5369,66,100
5370,5656,0,0
5657,5681,67,100
5682,5694,67,100
5695,5908,0,0
5909,5943,64,100
5944,5976,0,0
5977,6011,66,100
6012,10143,0,0
10144,10172,66,127
10173,10187,67,127
10188,10201,69,127
10202,10216,69,127
10217,10230,67,127
10231,10237,66,127
10238,10244,0,0
10245,10252,64,127
10253,10258,0,0
10259,10273,62,127
10274,10288,62,127
10289,10302,64,127
10303,10317,66,127
10318,10338,66,127
10339,10346,64,127
10347,10374,64,127
10375,10403,66,127
10404,10418,67,127
10419,10432,69,127
10433,10447,69,127
10448,10461,67,127
10462,10468,66,127
10469,10474,0,0
10475,10483,64,127
10484,10489,0,0
10490,10497,62,127
10498,10503,0,0
10504,10512,62,127
10513,10518,0,0
10519,10526,64,127
10527,10532,0,0
10533,10540,66,127
10541,10547,0,0
10548,10569,64,127
10570,10576,62,127
10577,10605,62,127
10606,10634,64,127
10635,10649,66,127
10650,10663,62,127
10664,10677,64,127
10678,10685,66,127
10686,10692,67,127
10693,10706,66,127
10707,10713,62,127
10714,10720,0,0
10721,10735,64,127
10736,10742,66,127
10743,10750,67,127
10751,10764,66,127
10765,10778,66,127
10779,10786,66,127
10787,10792,0,0
10793,10800,64,127
10801,10806,0,0
10807,10814,57,127
10815,10821,0,0
10822,10851,66,127
10852,10858,66,127
10859,10864,0,0
10865,10872,67,127
10873,10878,0,0
10879,10887,69,127
10888,10893,0,0
10894,10908,69,127
10909,10923,67,127
10924,10930,66,127
10931,10936,0,0
10937,10944,64,127
10945,10951,0,0
10952,10959,62,127
10960,10965,0,0
10966,10973,62,127
10974,10979,0,0
10980,10988,64,127
10989,10994,0,0
10995,11002,66,127
11003,11008,0,0
11009,11031,64,127
11032,11038,62,127
11039,11042,62,127
11043,11044,0,0
11045,11053,69,127
11054,11060,67,127
11061,11067,66,127
11068,11096,64,127
11097,11110,66,127
11111,11125,62,127
11126,11139,64,127
11140,11146,66,127
11147,11154,67,127
11155,11168,66,127
11169,11175,62,127
11176,11181,0,0
11182,11197,64,127
11198,11204,66,127
11205,11211,67,127
11212,11226,66,127
11227,11240,66,127
11241,11247,66,127
11248,11254,0,0
11255,11262,64,127
11263,11268,0,0
11269,11276,57,127
11277,11282,0,0
11283,11312,66,127
11313,11319,66,127
11320,11326,0,0
11327,11334,67,127
11335,11340,0,0
11341,11348,69,127
11349,11355,0,0
11356,11370,69,127
11371,11384,67,127
11385,11392,66,127
11393,11398,0,0
11399,11406,64,127
11407,11412,0,0
11413,11428,62,127
11429,11435,62,127
11436,11441,0,0
11442,11449,64,127
11450,11456,0,0
11457,11464,66,127
11465,11470,0,0
11471,11492,64,127
11493,11500,62,127
11501,11514,62,127
11515,11528,69,127
11529,11550,67,127
11551,11557,66,127
11558,11571,66,127
11572,11586,62,127
11587,11607,66,127
11608,11614,67,127
11615,11629,67,127
11630,11643,62,127
11644,11665,62,127
11666,11672,64,127
11673,11686,64,127
11687,11693,64,127
11694,11700,66,127
11701,11722,64,127
11723,11729,62,127
11730,11736,62,127
11737,11744,57,127
11745,11751,69,127
11752,11758,66,127
11759,11779,66,127
11780,11787,64,127
11788,11801,64,127
11802,11837,64,127
11838,11844,66,127
11845,11858,66,127
11859,11887,66,127
11888,11929,0,0
11930,11944,67,127
11945,11958,0,0
11959,11973,66,127
11974,12015,0,0
12016,12030,66,127
12031,12045,66,127
12046,12066,64,127
12067,12074,64,127
12075,12095,64,127
12096,12102,64,127
12103,12124,64,127
12125,12131,64,127
12132,12138,64,127
12139,12145,64,127
12146,12152,64,127
12153,12160,64,127
12161,12174,64,127
12175,12181,69,127
12182,12188,69,127
12189,12203,69,127
12204,12210,69,127
12211,12217,69,127
12218,12224,69,127
12225,12231,69,127
12232,12239,69,127
12240,12246,69,127
12247,12253,69,127
12254,12260,69,127
12261,12267,64,127
12268,12274,64,127
12275,12309,69,127
12310,12318,64,127
12319,12326,0,0
12327,12335,64,127
12336,12343,0,0
12344,12379,69,127
12380,12387,64,127
12388,12395,0,0
12396,12405,64,127
12406,12612,0,0
12613,12631,64,127
12632,12639,69,127
12640,12644,69,127
12645,12647,0,0
12648,12652,69,127
12653,12656,0,0
12657,12674,69,127
12675,12691,64,127
12692,12708,0,0
12709,12717,64,127
12718,12743,0,0
12744,12752,69,127
12753,12783,0,0
12784,12876,65,127
12877,12888,65,127
12889,12899,65,127
12900,12911,65,127
12912,12922,65,127
12923,12934,65,127
12935,12939,65,127
12940,12945,62,127
12946,12951,62,127
12952,12957,62,127
12958,12963,62,127
12964,12968,62,127
12969,12974,62,127
12975,12980,62,127
12981,12986,62,127
12987,12991,62,127
12992,12997,62,127
12998,13003,62,127
13004,13009,62,127
13010,13013,0,0
13014,13020,69,127
13021,13912,0,0
13913,13924,64,127
13925,13934,0,0
13935,13946,69,127
13947,13958,69,127
13959,13981,69,127
13982,14236,0,0
14237,14249,67,127
14250,14261,0,0
14262,14275,67,127
14276,14413,0,0
14414,14426,64,127
14427,14438,0,0
14439,14645,57,50
14646,14656,57,50
14657,15386,0,0
15387,15534,69,127
15535,15545,67,127
15546,15550,64,127
15551,15556,64,127
15557,15562,62,127
15563,15578,57,127
15579,15601,69,127
15602,15623,69,127
15624,15635,69,127
15636,15646,62,127
15647,15652,67,127
15653,15668,69,127
15669,15691,69,127
15692,15719,69,127
15720,15725,62,127
15726,15736,62,127
15737,15747,69,127
15748,15764,67,127
15765,15769,66,127
15770,15780,66,127
15781,15791,66,127
15792,15808,66,127
15809,15813,67,127
15814,15824,67,127
15825,15835,67,127
15836,15879,67,127
15880,15885,66,127
15886,15895,0,0
15896,15901,69,127
15902,15907,62,127
15908,15912,69,127
15913,15918,67,127
15919,15923,64,127
15924,15936,62,50
15937,15949,66,50
15950,15960,0,0
15961,15974,69,50
15975,15985,0,0
15986,15999,67,50
16000,16010,0,0
16011,16024,64,50
16025,16036,0,0
16037,16049,62,50
16050,16061,0,0
16062,16074,66,50
16075,16086,0,0
16087,16099,64,50
16100,16111,0,0
16112,16125,64,50
16126,16137,62,50
16138,16150,66,50
16151,16161,0,0
16162,16175,69,50
16176,16186,0,0
16187,16200,67,50
16201,16212,0,0
16213,16225,64,50
16226,16237,0,0
16238,16250,62,50
16251,16262,0,0
16263,16275,66,50
16276,16287,0,0
16288,16300,64,50
16301,16307,62,50
16308,16325,0,0
16326,16338,64,50
16339,16350,0,0
16351,16363,66,50
16364,16388,0,0
16389,16401,64,50
16402,16413,0,0
16414,16426,66,50
16427,16438,0,0
16439,16451,64,50
16452,16463,0,0
16464,16476,66,50
16477,16488,0,0
16489,16502,64,50
16503,16513,0,0
16514,16527,62,50
16528,16538,0,0
16539,16552,66,50
16553,16563,0,0
16564,16577,69,50
16578,16589,0,0
16590,16602,67,50
16603,16614,0,0
16615,16627,64,50
16628,16639,0,0
16640,16652,62,50
16653,16664,0,0
16665,16677,66,50
16678,16688,0,0
16689,16700,64,50
16701,16710,0,0
16711,16722,62,50
16723,16734,64,100
16735,16745,64,100
16746,16756,66,100
16757,16767,62,100
16768,16779,64,100
16780,16784,66,100
16785,16790,67,100
16791,16801,66,100
16802,16812,62,100
16813,16824,64,100
16825,16829,66,100
16830,16835,67,100
16836,16846,66,100
16847,16857,66,100
16858,16869,66,100
16870,16880,64,100
16881,16891,57,100
16892,16914,66,100
16915,16925,66,106
16926,16936,67,113
16937,16947,69,120
16948,16958,69,127
16959,16970,67,108
16971,16981,66,89
16982,16992,64,70
16993,17003,62,50
17004,17015,62,50
17016,17026,64,50
17027,17037,66,50
17038,17054,64,50
17055,17060,62,50
17061,17071,62,50
17072,17082,69,50
17083,17100,67,50
17101,17105,66,50
17106,17117,66,50
17118,17129,62,50
17130,17146,62,50
17147,17152,62,50
17153,17164,62,50
17165,17169,67,50
17170,17175,64,50
17176,17193,64,50
17194,17199,64,50
17200,17216,64,50
17217,17222,64,50
17223,17228,62,50
17229,17233,0,0
17234,17239,64,50
17240,17244,0,0
17245,17251,62,50
17252,17256,0,0
17257,17263,38,50
17264,17268,0,0
17269,17274,38,50
17275,17279,0,0
17280,17286,38,50
17287,17291,0,0
17292,17298,38,50
17299,17303,0,0
17304,17310,38,50
17311,17315,0,0
17316,17321,38,50
17322,17326,0,0
17327,17333,38,50
17334,17338,0,0
17339,17345,38,50
17346,17350,0,0
17351,17356,38,50
17357,17361,0,0
17362,17368,38,50
17369,17373,0,0
17374,17380,38,50
17381,17385,0,0
17386,17392,38,50
17393,17396,0,0
17397,17403,38,50
17404,17408,0,0
17409,17415,38,50
17416,17420,0,0
17421,17427,38,50
17428,17432,0,0
17433,17438,38,50
17439,17443,0,0
17444,17450,38,50
17451,17455,0,0
17456,17462,38,50
17463,17468,0,0
17469,17475,38,50
17476,17480,0,0
17481,17487,38,50
17488,17493,0,0
17494,17500,38,50
17501,17505,0,0
17506,17513,38,50
17514,17518,0,0
17519,17525,38,50
17526,17531,0,0
17532,17538,38,50
17539,17543,0,0
17544,17550,38,50
17551,17556,0,0
17557,17563,38,50
17564,17568,0,0
17569,17576,38,50
17577,17581,0,0
17582,17588,38,50
17589,17594,0,0
17595,17601,38,50
17602,17606,0,0
17607,17614,38,50
17615,17619,0,0
17620,17626,38,50
17627,17631,0,0
17632,17639,38,50
17640,17644,0,0
17645,17651,38,50
17652,17657,0,0
17658,17669,45,50
17670,17830,0,0
17831,17837,38,50
17838,17842,0,0
17843,17849,38,50
17850,17853,0,0
17854,17860,38,54
17861,17865,0,0
17866,17872,38,59
17873,17877,0,0
17878,17883,38,64
17884,17888,0,0
17889,17895,38,69
17896,17900,0,0
17901,17906,38,74
17907,17911,0,0
17912,17918,38,78
17919,17923,0,0
17924,17930,38,83
17931,17934,0,0
17935,17941,38,88
17942,17946,0,0
17947,17953,38,93
17954,17958,0,0
17959,17964,38,98
17965,17969,0,0
17970,17976,38,102
17977,17981,0,0
17982,17993,38,107
17994,18015,0,0
18016,18028,57,122
18029,18034,57,127
18035,18039,0,0
18040,18046,57,127
18047,18051,0,0
18052,18057,57,127
18058,18062,0,0
18063,18069,57,127
18070,18074,0,0
18075,18081,57,127
18082,18086,0,0
18087,18093,57,127
18094,18098,0,0
18099,18105,57,127
18106,18110,0,0
18111,18116,57,127
18117,18121,0,0
18122,18128,66,127
18129,18134,64,127
18135,18140,62,127
18141,18146,64,127
18147,18152,67,127
18153,18158,66,127
18159,18164,66,127
18165,18169,64,127
18170,18175,64,127
18176,18181,62,127
18182,18187,62,127
18188,18193,64,127
18194,18199,57,127
18200,18205,67,127
18206,18211,66,127
18212,18217,64,127
18218,18223,66,127
18224,18228,67,127
18229,18234,64,127
