Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Oboe.mid,Date,5/23/2015 8:43:04 PM,md5,29167576
Start Frame,End Frame,Note,Volume
0,299,0,0
300,321,70,127
322,324,69,127
325,326,0,0
327,330,69,127
331,332,0,0
333,336,74,127
337,338,0,0
339,345,74,127
346,351,65,127
352,357,65,127
358,364,69,127
365,370,69,127
371,376,62,127
377,382,62,127
383,388,77,127
389,394,77,127
395,400,69,127
401,407,69,127
408,413,74,127
414,419,74,127
420,425,65,127
426,431,65,127
432,437,69,127
438,444,69,127
445,450,62,127
451,456,74,127
457,462,77,127
463,468,77,127
469,474,78,127
475,480,78,127
481,487,79,127
488,493,79,127
494,499,80,127
500,505,80,127
506,511,80,127
512,517,74,127
518,523,74,127
524,534,74,127
535,543,0,0
544,555,69,127
556,1193,0,0
1194,1222,75,127
1223,1224,69,127
1225,1226,0,0
1227,1230,69,127
1231,1232,0,0
1233,1236,72,127
1237,1237,0,0
1238,1244,72,127
1245,1250,78,127
1251,1255,78,127
1256,1261,81,127
1262,1266,81,127
1267,1272,84,127
1273,1277,84,127
1278,1283,75,127
1284,1288,75,127
1289,1294,69,127
1295,1300,69,127
1301,1305,72,127
1306,1311,72,127
1312,1316,78,127
1317,1322,78,127
1323,1327,81,127
1328,1333,81,127
1334,1339,66,127
1340,1344,66,127
1345,1350,69,127
1351,1355,69,127
1356,1361,70,127
1362,1366,70,127
1367,1372,72,127
1373,1378,72,127
1379,1383,74,127
1384,1389,74,127
1390,1394,75,127
1395,1400,75,127
1401,1405,75,127
1406,1417,75,127
1418,1432,0,0
1433,1439,75,127
1440,1450,75,127
1451,1769,0,0
1770,1782,74,127
1783,1794,0,0
1795,1807,74,127
1808,1818,0,0
1819,2220,69,50
2221,2248,75,100
2249,3057,0,0
3058,3067,76,50
3068,3070,64,50
3071,3076,64,50
3077,3079,69,50
3080,3081,0,0
3082,3086,71,50
3087,3088,0,0
3089,3092,72,50
3093,3094,0,0
3095,3098,80,50
3099,3100,0,0
3101,3104,81,50
3105,3106,0,0
3107,3110,83,50
3111,3112,0,0
3113,3116,81,50
3117,3118,0,0
3119,3122,80,50
3123,3124,0,0
3125,3128,81,50
3129,3130,0,0
3131,3134,79,50
3135,3136,0,0
3137,3140,77,50
3141,3142,0,0
3143,3146,76,50
3147,3148,0,0
3149,3153,77,50
3154,3155,0,0
3156,3159,77,50
3160,3161,0,0
3162,3165,77,50
3166,3167,0,0
3168,3177,84,50
3178,3180,72,50
3181,3186,72,50
3187,3191,77,50
3192,3195,79,50
3196,3200,81,50
3201,3949,0,0
3950,4044,82,50
4045,4125,72,50
4126,4152,75,50
4153,4168,70,50
4169,4338,0,0
4339,4465,71,50
4466,4507,69,70
4508,4549,73,76
4550,4570,75,83
4571,4758,0,0
4759,4780,73,50
4781,4822,71,50
4823,4842,74,50
4843,4861,69,50
4862,4879,73,50
4880,4897,74,50
4898,4915,76,50
4916,4933,76,50
4934,4951,74,50
4952,4969,73,50
4970,4988,71,50
4989,5006,73,50
5007,5024,73,50
5025,5042,74,50
5043,5060,76,50
5061,5078,76,50
5079,5096,74,50
5097,5115,67,50
5116,5133,69,50
5134,5155,69,100
5156,5166,73,100
5167,5220,0,0
5221,5232,76,100
5233,5287,0,0
5288,5299,81,100
5300,5356,0,0
5357,5369,81,100
5370,5656,0,0
5657,5681,71,100
5682,5694,79,100
5695,5908,0,0
5909,5943,76,100
5944,5976,0,0
5977,6011,78,100
6012,10143,0,0
10144,10172,74,127
10173,10187,76,127
10188,10201,78,127
10202,10216,78,127
10217,10230,76,127
10231,10237,74,127
10238,10244,0,0
10245,10252,69,127
10253,10258,0,0
10259,10273,66,127
10274,10288,66,127
10289,10302,69,127
10303,10317,74,127
10318,10338,74,127
10339,10346,73,127
10347,10374,73,127
10375,10403,74,127
10404,10418,76,127
10419,10432,78,127
10433,10447,78,127
10448,10461,76,127
10462,10468,74,127
10469,10474,0,0
10475,10483,69,127
10484,10489,0,0
10490,10497,66,127
10498,10503,0,0
10504,10512,66,127
10513,10518,0,0
10519,10526,69,127
10527,10532,0,0
10533,10540,74,127
10541,10547,0,0
10548,10569,69,127
10570,10576,66,127
10577,10605,66,127
10606,10634,73,127
10635,10649,74,127
10650,10663,74,127
10664,10677,73,127
10678,10685,74,127
10686,10692,76,127
10693,10706,74,127
10707,10713,74,127
10714,10720,0,0
10721,10735,73,127
10736,10742,74,127
10743,10750,76,127
10751,10764,73,127
10765,10778,73,127
10779,10786,71,127
10787,10792,0,0
10793,10800,68,127
10801,10806,0,0
10807,10814,69,127
10815,10821,0,0
10822,10851,74,127
10852,10858,74,127
10859,10864,0,0
10865,10872,76,127
10873,10878,0,0
10879,10887,78,127
10888,10893,0,0
10894,10908,78,127
10909,10923,76,127
10924,10930,74,127
10931,10936,0,0
10937,10944,69,127
10945,10951,0,0
10952,10959,66,127
10960,10965,0,0
10966,10973,66,127
10974,10979,0,0
10980,10988,69,127
10989,10994,0,0
10995,11002,74,127
11003,11008,0,0
11009,11031,69,127
11032,11038,66,127
11039,11042,66,127
11043,11044,0,0
11045,11053,78,127
11054,11060,76,127
11061,11067,74,127
11068,11096,73,127
11097,11110,74,127
11111,11125,66,127
11126,11139,73,127
11140,11146,74,127
11147,11154,76,127
11155,11168,74,127
11169,11175,74,127
11176,11181,0,0
11182,11197,73,127
11198,11204,74,127
11205,11211,76,127
11212,11226,73,127
11227,11240,73,127
11241,11247,71,127
11248,11254,0,0
11255,11262,68,127
11263,11268,0,0
11269,11276,69,127
11277,11282,0,0
11283,11312,74,127
11313,11319,74,127
11320,11326,0,0
11327,11334,76,127
11335,11340,0,0
11341,11348,78,127
11349,11355,0,0
11356,11370,78,127
11371,11384,76,127
11385,11392,74,127
11393,11398,0,0
11399,11406,69,127
11407,11412,0,0
11413,11428,66,127
11429,11435,66,127
11436,11441,0,0
11442,11449,69,127
11450,11456,0,0
11457,11464,74,127
11465,11470,0,0
11471,11492,69,127
11493,11500,66,127
11501,11514,66,127
11515,11528,78,127
11529,11550,76,127
11551,11557,74,127
11558,11571,74,127
11572,11586,83,127
11587,11607,81,127
11608,11614,79,127
11615,11629,79,127
11630,11643,71,127
11644,11665,71,127
11666,11672,76,127
11673,11686,73,127
11687,11693,67,127
11694,11700,69,127
11701,11722,67,127
11723,11729,66,127
11730,11736,66,127
11737,11744,69,127
11745,11751,74,127
11752,11758,78,127
11759,11779,74,127
11780,11787,76,127
11788,11801,73,127
11802,11815,76,127
11816,11837,79,127
11838,11844,78,127
11845,11858,74,127
11859,11873,66,127
11874,11894,69,127
11895,11901,68,127
11902,11916,68,127
11917,11930,68,127
11931,11952,71,127
11953,11959,70,127
11960,11980,73,127
11981,11987,71,127
11988,12009,74,127
12010,12016,73,127
12017,12038,76,127
12039,12045,74,127
12046,12059,74,127
12060,12066,71,127
12067,12074,76,127
12075,12088,76,127
12089,12095,71,127
12096,12102,74,127
12103,12117,78,127
12118,12124,71,127
12125,12138,76,127
12139,12145,74,127
12146,12152,71,127
12153,12174,76,127
12175,12188,73,127
12189,12203,69,127
12204,12217,78,127
12218,12231,76,127
12232,12260,69,127
12261,12274,68,127
12275,12279,69,127
12280,12282,0,0
12283,12287,69,127
12288,12292,71,127
12293,12296,73,127
12297,12300,0,0
