Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Picl.mid,Date,5/23/2015 8:42:30 PM,md5,50119998
Start Frame,End Frame,Note,Volume
0,19396,0,0
19397,19399,86,50
19400,19401,0,0
19402,19428,86,50
19429,19430,87,50
19431,19432,0,0
19433,19459,89,50
19460,19464,89,50
19465,19490,87,50
19491,19492,86,50
19493,19494,0,0
19495,19521,84,50
19522,19526,82,50
19527,19552,82,50
19553,19557,84,50
19558,19583,86,50
19584,19588,86,50
19589,19614,84,50
19615,19619,82,50
19620,19645,84,50
19646,19650,86,50
19651,19676,98,50
19677,19681,99,50
19682,19707,101,50
19708,19712,101,50
19713,19738,99,50
19739,19743,98,50
19744,19769,96,50
19770,19774,94,50
19775,19800,94,50
19801,19805,96,50
19806,19831,98,50
19832,19833,96,50
19834,19835,0,0
19836,19841,96,50
19842,19845,0,0
19846,19849,94,50
19850,19850,0,0
19851,19862,94,50
19863,19891,0,0
19892,19896,96,50
19897,19925,96,50
19926,19935,98,50
19936,19939,94,50
19940,19949,96,50
19950,19954,96,50
19955,19973,96,50
19974,19977,98,50
19978,19982,99,50
19983,19987,98,50
19988,19991,0,0
19992,19994,94,50
19995,19995,0,0
19996,20001,96,50
20002,20006,98,50
20007,20011,99,50
20012,20015,98,50
20016,20019,0,0
20020,20023,94,50
20024,20024,0,0
20025,20030,96,50
20031,20034,98,50
20035,20039,99,50
20040,20049,98,50
20050,20058,96,50
20059,20063,94,50
20064,20068,93,50
20069,20077,94,50
20078,20082,96,50
20083,20087,89,50
20088,20092,91,50
20093,20096,93,50
20097,20101,94,50
20102,20106,96,50
20107,20111,98,50
20112,20120,98,50
20121,20125,98,50
20126,20149,98,50
20150,20153,99,50
20154,20177,101,50
20178,20182,101,50
20183,20206,99,50
20207,20211,98,50
20212,20234,96,50
20235,20239,94,50
20240,20263,94,50
20264,20268,96,50
20269,20292,98,50
20293,20294,96,50
20295,20295,0,0
20296,20301,96,50
20302,20305,0,0
20306,20308,94,50
20309,20310,0,0
20311,20320,94,50
20321,20348,0,0
20349,20354,86,50
20355,20378,86,50
20379,20383,87,50
20384,20408,89,50
20409,20413,89,50
20414,20437,87,50
20438,20442,86,50
20443,20467,84,50
20468,20472,82,50
20473,20496,82,50
20497,20501,84,50
20502,20525,86,50
20526,20530,86,50
