Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04SAlt.mid,Date,5/23/2015 8:52:50 PM,md5,41629729
Start Frame,End Frame,Note,Volume
0,15923,0,0
15924,15936,66,127
15937,15949,66,127
15950,15961,67,127
15962,15974,69,127
15975,15986,69,127
15987,15999,67,127
16000,16011,66,127
16012,16022,64,127
16023,16023,0,0
16024,16037,62,127
16038,16049,62,127
16050,16062,64,127
16063,16074,66,127
16075,16093,66,127
16094,16099,64,127
16100,16123,64,127
16124,16124,0,0
16125,16137,66,127
16138,16150,66,127
16151,16162,67,127
16163,16175,69,127
16176,16187,69,127
16188,16200,67,127
16201,16213,66,127
16214,16224,64,127
16225,16238,62,127
16239,16250,66,127
16251,16263,67,127
16264,16275,69,127
16276,16294,67,127
16295,16300,66,127
16301,16307,66,127
16308,16313,69,127
16314,16319,67,127
16320,16324,66,127
16325,16325,0,0
16326,16337,64,127
16338,16351,69,127
16352,16363,69,127
16364,16370,66,127
16371,16376,69,127
16377,16388,69,127
16389,16401,69,127
16402,16414,69,127
16415,16420,67,127
16421,16426,66,127
16427,16432,64,127
16433,16439,73,127
16440,16445,74,127
16446,16451,76,127
16452,16464,73,127
16465,16476,73,127
16477,16489,71,127
16490,16502,68,127
16503,16513,69,127
16514,16539,69,127
16540,16552,69,127
16553,16564,69,127
16565,16577,69,127
16578,16588,69,127
16589,16589,0,0
16590,16602,69,127
16603,16615,69,127
16616,16627,69,127
16628,16640,69,127
16641,16652,66,127
16653,16665,67,127
16666,16677,69,127
16678,16694,67,127
16695,16700,66,127
16701,16722,66,127
16723,17432,0,0
17433,17438,67,127
17439,17444,66,127
17445,17450,69,127
17451,17456,67,127
17457,17462,66,127
17463,17469,67,127
17470,17475,68,127
17476,17481,69,127
17482,17487,68,127
17488,17494,69,127
17495,17500,71,127
17501,17505,69,127
17506,17513,69,127
17514,17519,67,127
17520,17525,71,127
17526,17532,67,127
17533,17538,66,127
17539,17544,64,127
17545,17550,67,127
17551,17557,64,127
17558,17563,62,127
17564,17569,64,127
17570,17576,66,127
17577,17582,67,127
17583,17588,69,127
17589,17595,71,127
17596,17601,73,127
17602,17607,74,127
17608,17614,74,127
17615,17620,73,127
17621,17626,71,127
17627,17632,73,127
17633,17639,74,127
17640,17643,69,127
17644,17644,0,0
17645,17651,67,127
17652,17658,66,127
17659,17669,64,127
17670,17681,69,127
17682,17692,69,127
17693,17704,69,127
17705,17715,69,127
17716,17727,69,127
17728,17739,69,127
17740,17744,73,127
17745,17749,74,127
17750,17756,74,127
17757,17762,73,127
17763,17768,71,127
17769,17773,73,127
17774,17779,76,127
17780,17785,74,127
17786,17791,74,127
17792,17796,73,127
17797,17802,73,127
17803,17808,74,127
17809,17820,71,127
17821,17830,69,127
17831,17854,69,127
17855,17866,69,127
17867,17877,62,127
17878,17889,62,127
17890,17901,62,127
17902,17912,67,127
17913,17918,67,127
17919,17924,76,127
17925,17930,76,127
17931,17934,67,127
17935,17941,67,127
17942,17947,69,127
17948,17958,69,127
17959,17964,66,127
17965,17976,67,127
17977,17982,69,127
17983,17987,74,127
17988,17999,73,127
18000,18005,74,127
18006,18028,74,127
18029,36777,0,0
36778,36799,66,127
36800,36803,67,127
36804,36807,69,127
36808,36811,66,127
36812,36820,67,127
36821,36829,67,127
36830,36837,67,127
36838,36846,67,127
36847,36858,67,127
36859,36863,66,127
36864,36879,66,127
36880,37017,0,0
37018,37039,69,127
37040,37043,71,127
