Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04SBas.mid,Date,5/23/2015 8:53:14 PM,md5,46369596
Start Frame,End Frame,Note,Volume
0,13082,0,0
13083,13101,57,127
13102,13106,57,127
13107,13198,64,127
13199,13210,62,127
13211,13221,61,127
13222,13233,62,127
13234,13267,64,127
13268,13290,55,127
13291,13301,0,0
13302,13313,55,127
13314,13359,58,127
13360,13371,57,127
13372,13382,52,127
13383,13401,53,127
13402,13419,53,127
13420,13546,0,0
13547,13590,56,127
13591,13611,56,127
13612,13632,0,0
13633,13665,62,127
13666,13676,59,127
13677,13698,59,127
13699,13708,56,127
13709,13719,57,127
13720,13730,59,127
13731,13741,61,127
13742,13752,64,127
13753,13762,62,127
13763,13773,61,127
13774,13784,62,127
13785,13795,59,127
13796,13805,56,127
13806,13816,52,127
13817,13827,50,127
13828,13848,50,127
13849,13859,54,127
13860,13870,52,127
13871,13892,50,127
13893,13913,49,127
13914,13980,0,0
13981,14004,57,127
14005,14038,62,127
14039,14050,64,127
14051,14062,66,127
14063,14073,64,127
14074,14085,64,127
14086,14096,62,127
14097,14108,62,127
14109,14119,61,127
14120,14131,62,127
14132,14142,57,127
14143,14154,55,127
14155,14165,54,127
14166,14177,54,127
14178,14188,52,127
14189,14200,50,127
14201,14212,48,127
14213,14224,48,127
14225,14237,47,127
14238,14325,55,127
14326,14338,52,127
14339,14350,49,127
14351,14363,50,127
14364,14376,50,127
14377,14388,45,127
14389,14413,45,127
14414,14491,0,0
14492,14505,64,127
14506,14518,62,127
14519,14594,0,0
14595,14607,64,127
14608,14632,62,127
14633,14639,57,127
14640,14643,55,127
14644,14644,0,0
14645,14656,54,127
14657,14667,54,127
14668,14680,55,127
14681,14691,57,127
14692,14703,57,127
14704,14715,55,127
14716,14726,54,127
14727,14736,52,127
14737,14737,0,0
14738,14749,50,127
14750,14761,50,127
14762,14773,52,127
14774,14784,54,127
14785,14802,54,127
14803,14808,52,127
14809,14829,52,127
14830,14830,0,0
14831,14842,54,127
14843,14854,54,127
14855,14866,55,127
14867,14877,57,127
14878,14889,57,127
14890,14901,55,127
14902,14912,54,127
14913,14922,52,127
14923,14923,0,0
14924,14935,50,127
14936,14947,50,127
14948,14959,52,127
14960,14970,54,127
14971,14988,52,127
14989,14994,50,127
14995,15015,50,127
15016,15016,0,0
15017,15028,52,127
15029,15040,52,127
15041,15052,54,127
15053,15063,50,127
15064,15075,52,127
15076,15081,54,127
15082,15087,55,127
15088,15098,54,127
15099,15108,50,127
15109,15109,0,0
15110,15122,52,127
15123,15127,54,127
15128,15133,55,127
15134,15145,54,127
15146,15156,52,127
15157,15168,50,127
15169,15180,52,127
15181,15190,45,127
15191,15215,54,127
15216,15226,54,127
15227,15238,55,127
15239,15249,57,127
15250,15261,57,127
15262,15273,55,127
15274,15284,54,127
15285,15290,55,127
15291,15294,52,127
15295,15295,0,0
15296,15308,50,127
15309,15319,50,127
15320,15331,52,127
15332,15342,54,127
15343,15359,52,127
15360,15365,50,127
15366,15387,50,127
15388,15923,0,0
15924,15936,50,127
15937,15949,50,127
15950,15961,50,127
15962,15967,49,127
15968,15974,47,127
15975,15980,45,127
15981,15986,47,127
15987,15993,49,127
15994,15999,50,127
16000,16005,52,127
16006,16011,54,127
16012,16018,55,127
16019,16022,52,127
16023,16023,0,0
16024,16037,57,127
16038,16049,57,127
16050,16062,57,127
16063,16074,57,127
16075,16093,57,127
16094,16099,45,127
16100,16112,45,127
16113,16118,47,127
16119,16123,49,127
16124,16124,0,0
16125,16137,50,127
16138,16150,50,127
16151,16162,50,127
16163,16169,49,127
16170,16175,47,127
16176,16181,45,127
16182,16187,47,127
16188,16194,49,127
16195,16200,50,127
16201,16206,52,127
16207,16213,54,127
16214,16219,55,127
16220,16224,52,127
16225,16238,57,127
16239,16250,57,127
16251,16263,57,127
16264,16275,57,127
16276,16288,57,127
16289,16300,45,127
16301,16311,50,127
16312,16312,0,0
16313,16337,57,127
16338,16351,57,127
16352,16370,57,127
16371,16376,45,127
16377,16382,57,127
16383,16388,52,127
16389,16395,50,127
16396,16401,49,127
16402,16420,50,127
16421,16426,57,127
16427,16439,57,127
16440,16451,57,127
16452,16464,58,127
16465,16476,54,127
16477,16489,59,127
16490,16502,52,127
16503,16513,57,127
16514,16527,45,127
16528,16539,50,127
16540,16552,50,127
16553,16564,62,127
16565,16571,61,127
16572,16577,59,127
16578,16583,57,127
16584,16588,47,127
16589,16589,0,0
16590,16596,49,127
16597,16602,50,127
16603,16608,52,127
16609,16615,54,127
16616,16621,55,127
16622,16627,52,127
16628,16640,54,127
16641,16652,50,127
16653,16665,45,127
16666,16677,45,127
16678,16689,57,127
16690,16700,45,127
16701,16722,50,127
16723,17250,0,0
17251,17257,54,127
17258,17263,55,127
17264,17269,52,127
17270,17274,54,127
17275,17280,55,127
17281,17286,52,127
17287,17292,54,127
17293,17298,55,127
17299,17304,57,127
17305,17310,59,127
17311,17315,57,127
17316,17321,57,127
17322,17327,55,127
17328,17333,59,127
17334,17339,55,127
17340,17345,54,127
17346,17351,52,127
17352,17356,55,127
17357,17362,52,127
17363,17368,50,127
17369,17374,52,127
17375,17380,54,127
17381,17386,55,127
17387,17392,57,127
17393,17397,59,127
17398,17403,61,127
17404,17409,62,127
17410,17415,62,127
17416,17421,61,127
17422,17427,64,127
17428,17433,62,127
17434,17454,61,127
17455,17455,0,0
17456,17469,62,127
17470,17481,62,127
17482,17494,62,127
17495,17505,62,127
17506,17519,59,127
17520,17532,59,127
17533,17544,61,127
17545,17557,61,127
17558,17563,62,127
17564,17569,61,127
17570,17576,59,127
17577,17582,57,127
17583,17588,55,127
17589,17595,54,127
17596,17601,52,127
17602,17607,50,127
17608,17614,54,127
17615,17620,52,127
17621,17626,50,127
17627,17632,52,127
17633,17639,50,127
17640,17643,54,127
17644,17644,0,0
17645,17651,52,127
17652,17658,50,127
17659,17669,57,127
17670,17681,45,127
17682,17687,49,127
17688,17692,50,127
17693,17698,52,127
17699,17704,54,127
17705,17715,45,127
17716,17727,57,127
17728,17733,49,127
17734,17739,50,127
17740,17744,52,127
17745,17749,54,127
17750,17756,54,127
17757,17762,55,127
17763,17768,57,127
17769,17773,55,127
17774,17779,55,127
17780,17785,57,127
17786,17791,57,127
17792,17796,58,127
17797,17802,58,127
