Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04SSor.mid,Date,5/23/2015 8:52:38 PM,md5,61398511
Start Frame,End Frame,Note,Volume
0,16124,0,0
16125,16137,74,127
16138,16150,74,127
16151,16162,76,127
16163,16175,78,127
16176,16187,78,127
16188,16200,76,127
16201,16213,74,127
16214,16224,73,127
16225,16238,74,127
16239,16250,74,127
16251,16263,76,127
16264,16275,78,127
16276,16294,76,127
16295,16300,74,127
16301,16324,74,127
16325,16325,0,0
16326,16337,76,127
16338,16351,76,127
16352,16363,78,127
16364,16376,74,127
16377,16388,76,127
16389,16395,78,127
16396,16401,79,127
16402,16414,78,127
16415,16426,74,127
16427,16439,76,127
16440,16445,78,127
16446,16451,79,127
16452,16464,78,127
16465,16476,76,127
16477,16489,74,127
16490,16502,76,127
16503,16513,69,127
16514,16539,78,127
16540,16552,78,127
16553,16564,79,127
16565,16577,81,127
16578,16588,81,127
16589,16589,0,0
16590,16602,79,127
16603,16615,78,127
16616,16627,76,127
16628,16640,74,127
16641,16652,74,127
16653,16665,76,127
16666,16677,78,127
16678,16694,76,127
16695,16700,74,127
16701,16722,74,127
16723,17638,0,0
17639,17645,74,127
17646,17651,76,127
17652,17663,78,127
17664,17669,76,127
17670,17675,74,127
17676,17681,76,127
17682,17687,79,127
17688,17692,78,127
17693,17698,76,127
17699,17704,74,127
17705,17710,78,127
17711,17715,76,127
17716,17721,74,127
17722,17727,76,127
17728,17733,79,127
17734,17739,78,127
17740,17744,76,127
17745,17749,74,127
17750,17756,78,127
17757,17762,76,127
17763,17768,74,127
17769,17773,76,127
17774,17779,79,127
17780,17785,78,127
17786,17791,78,127
17792,17796,76,127
17797,17802,76,127
17803,17808,74,127
17809,17814,74,127
17815,17820,76,127
17821,17830,69,127
17831,17849,78,127
17850,17854,79,127
17855,17860,76,127
17861,17866,78,127
17867,17872,79,127
17873,17877,81,127
17878,17883,83,127
17884,17889,81,127
17890,17895,81,127
17896,17901,79,127
17902,17906,83,127
17907,17912,79,127
17913,17918,78,127
17919,17924,76,127
17925,17930,79,127
17931,17934,76,127
17935,17941,76,127
17942,17947,74,127
17948,17953,73,127
17954,17958,74,127
17959,17964,78,127
17965,17970,76,127
17971,17976,79,127
17977,17982,78,127
17983,17987,78,127
17988,17999,76,127
18000,18005,69,127
18006,18028,74,127
18029,36777,0,0
36778,36799,74,127
36800,36803,76,127
36804,36807,78,127
36808,36811,74,127
36812,36820,76,127
36821,36829,76,127
36830,36837,76,127
36838,36846,76,127
36847,36858,76,127
36859,36863,74,127
36864,36879,74,127
36880,37017,0,0
37018,37039,73,127
37040,37043,74,127
37044,37047,76,127
37048,37050,73,127
37051,37060,74,127
37061,37068,74,127
37069,37076,74,127
37077,37085,74,127
37086,37097,74,127
37098,37101,73,127
37102,37118,73,127
37119,37199,0,0
37200,37222,76,127
37223,37229,76,127
37230,37237,74,127
37238,37243,74,127
37244,37252,79,127
37253,37259,79,127
37260,37267,78,127
37268,37274,78,127
37275,37282,78,127
37283,37289,76,127
37290,37297,74,127
37298,37304,81,127
37305,37312,81,127
37313,37319,79,127
37320,37327,79,127
37328,37333,78,127
37334,37342,69,127
37343,37349,73,127
37350,37357,74,127
37358,37364,78,127
37365,37372,81,127
37373,37379,73,127
37380,37387,74,127
37388,37394,78,127
37395,37402,69,127
37403,37409,73,127
37410,37417,74,127
37418,37424,78,127
37425,37432,81,127
37433,37439,73,127
37440,37447,74,127
37448,37453,78,127
37454,37461,78,127
37462,37469,76,127
37470,37476,76,127
37477,37484,74,127
37485,37491,73,127
37492,37499,64,127
37500,37505,66,127
37506,37514,74,127
37515,37521,76,127
37522,37529,76,127
37530,37536,74,127
37537,37543,74,127
37544,37551,79,127
37552,37559,79,127
37560,37566,78,127
37567,37574,78,127
37575,37581,69,127
37582,37588,73,127
37589,37596,74,127
37597,37603,78,127
37604,37610,81,127
37611,37618,73,127
37619,37625,74,127
37626,37632,78,127
37633,37640,81,127
37641,37647,79,127
37648,37655,81,127
37656,37662,78,127
37663,37669,81,127
37670,37680,76,127
37681,37684,74,127
37685,37691,81,127
37692,37699,81,127
37700,37706,79,127
37707,37713,81,127
37714,37721,78,127
37722,37728,81,127
37729,37739,76,127
37740,37743,74,127
37744,37757,81,127
37758,37765,79,127
37766,37772,79,127
37773,39180,0,0
39181,39195,79,127
39196,39200,79,127
39201,39209,79,127
39210,39217,79,127
39218,39232,80,127
39233,39236,80,127
39237,39366,80,127
39367,39409,80,127
39410,39462,80,127
39463,39473,76,127
39474,39495,76,127
39496,39538,76,127
39539,39581,76,127
39582,39602,76,127
39603,39624,75,127
39625,39661,75,127
39662,39666,0,0
39667,39710,75,127
39711,39753,75,127
39754,39817,73,127
39818,39825,75,127
39826,39828,73,127
39829,39831,0,0
39832,39835,72,127
39836,39838,0,0
39839,39842,73,127
39843,39852,0,0
39853,39855,68,127
39856,39867,0,0
39868,39869,75,127
39870,39881,0,0
39882,39883,78,127
39884,39895,0,0
39896,39898,76,127
39899,39910,0,0
39911,39912,73,127
39913,39924,0,0
39925,39926,71,127
39927,39938,0,0
39939,39941,73,127
39942,39953,0,0
39954,39955,70,127
39956,39967,0,0
39968,39969,71,127
39970,39981,0,0
39982,39984,73,127
39985,39996,0,0
39997,39998,75,127
