Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04STen.mid,Date,5/23/2015 8:53:02 PM,md5,11469592
Start Frame,End Frame,Note,Volume
0,15923,0,0
15924,15936,62,127
15937,15949,62,127
15950,15961,64,127
15962,15974,66,127
15975,15986,66,127
15987,15999,64,127
16000,16011,62,127
16012,16022,61,127
16023,16023,0,0
16024,16037,66,127
16038,16049,66,127
16050,16055,67,127
16056,16062,66,127
16063,16068,64,127
16069,16074,62,127
16075,16093,62,127
16094,16099,61,127
16100,16110,61,127
16111,16111,0,0
16112,16118,57,127
16119,16123,55,127
16124,16124,0,0
16125,16137,54,127
16138,16150,57,127
16151,16162,57,127
16163,16169,57,127
16170,16175,62,127
16176,16181,61,127
16182,16187,62,127
16188,16194,64,127
16195,16200,66,127
16201,16206,67,127
16207,16213,57,127
16214,16219,59,127
16220,16224,55,127
16225,16238,54,127
16239,16250,62,127
16251,16263,62,127
16264,16269,61,127
16270,16275,59,127
16276,16294,61,127
16295,16300,62,127
16301,16307,62,127
16308,16313,66,127
16314,16319,64,127
16320,16324,62,127
16325,16325,0,0
16326,16337,61,127
16338,16351,61,127
16352,16363,62,127
16364,16370,62,127
16371,16376,66,127
16377,16388,61,127
16389,16395,62,127
16396,16401,64,127
16402,16414,62,127
16415,16420,64,127
16421,16426,62,127
16427,16432,61,127
16433,16439,64,127
16440,16445,62,127
16446,16451,61,127
16452,16464,61,127
16465,16476,58,127
16477,16489,59,127
16490,16502,59,127
16503,16513,61,127
16514,16539,62,127
16540,16552,62,127
16553,16564,64,127
16565,16577,66,127
16578,16590,66,127
16591,16601,64,127
16602,16615,62,127
16616,16627,61,127
16628,16640,62,127
16641,16652,57,127
16653,16665,57,127
16666,16677,57,127
16678,16694,61,127
16695,16700,62,127
16701,16722,62,127
16723,17250,0,0
17251,17257,57,127
17258,17263,59,127
17264,17269,61,127
17270,17274,62,127
17275,17280,64,127
17281,17286,61,127
17287,17292,62,127
17293,17298,64,127
17299,17304,66,127
17305,17310,67,127
17311,17315,66,127
17316,17321,66,127
17322,17327,64,127
17328,17333,67,127
17334,17339,64,127
17340,17345,62,127
17346,17351,61,127
17352,17356,64,127
17357,17362,55,127
17363,17368,54,127
17369,17374,55,127
17375,17380,57,127
17381,17386,59,127
17387,17392,61,127
17393,17397,62,127
17398,17403,64,127
17404,17409,66,127
17410,17415,66,127
17416,17421,64,127
17422,17427,67,127
17428,17433,66,127
17434,17454,64,127
17455,17455,0,0
17456,17469,66,127
17470,17481,66,127
17482,17494,66,127
17495,17505,66,127
17506,17519,62,127
17520,17532,62,127
17533,17544,64,127
17545,17557,64,127
17558,17563,66,127
17564,17569,64,127
17570,17576,62,127
17577,17582,61,127
17583,17588,59,127
17589,17595,57,127
17596,17601,55,127
17602,17607,54,127
17608,17614,57,127
17615,17620,55,127
17621,17626,54,127
17627,17632,55,127
17633,17643,54,127
17644,17644,0,0
17645,17658,57,127
17659,17663,62,127
17664,17669,61,127
17670,17675,59,127
17676,17681,61,127
17682,17687,64,127
17688,17692,62,127
17693,17698,61,127
17699,17704,62,127
17705,17710,62,127
17711,17715,61,127
17716,17721,59,127
17722,17727,61,127
17728,17733,64,127
17734,17739,62,127
17740,17744,61,127
17745,17749,62,127
17750,17756,62,127
17757,17762,64,127
17763,17768,66,127
17769,17773,64,127
17774,17779,64,127
17780,17785,66,127
17786,17791,66,127
17792,17796,67,127
17797,17802,67,127
17803,17808,66,127
17809,17814,67,127
17815,17820,64,127
17821,17830,57,127
17831,17849,62,127
17850,17854,64,127
17855,17860,61,127
17861,17866,62,127
17867,17872,64,127
17873,17877,66,127
17878,17883,67,127
17884,17889,66,127
17890,17895,66,127
17896,17901,64,127
17902,17906,67,127
17907,17912,64,127
17913,17924,64,127
17925,17934,64,127
17935,17941,64,127
17942,17947,66,127
17948,17953,67,127
17954,17958,69,127
17959,17964,62,127
17965,17976,64,127
17977,17982,66,127
17983,17987,66,127
17988,17999,67,127
18000,18005,66,127
18006,18028,66,127
18029,20338,0,0
20339,20369,62,127
20370,20397,0,0
20398,20426,65,127
20427,20442,53,127
20443,20452,55,127
20453,20457,57,127
20458,20472,58,127
20473,20485,58,127
20486,20496,58,127
20497,20501,60,127
20502,20516,62,127
20517,20530,62,127
20531,20545,60,127
20546,20555,60,127
20556,20560,58,127
20561,20570,60,127
20571,20573,53,127
20574,20574,0,0
20575,20583,62,127
20584,20588,0,0
20589,20599,58,127
20600,20603,0,0
20604,20614,62,127
20615,20618,0,0
20619,20628,58,127
20629,20632,0,0
20633,20643,65,127
20644,20648,53,127
20649,20658,57,127
20659,20663,60,127
20664,20673,65,127
20674,20677,53,127
20678,20687,55,127
20688,20692,57,127
20693,20702,58,127
20703,20706,0,0
20707,20717,53,127
20718,20721,0,0
20722,20731,62,127
20732,20735,0,0
20736,20746,58,127
20747,20750,0,0
20751,20761,65,127
20762,20765,0,0
20766,20776,63,127
20777,20780,62,127
20781,20790,62,127
20791,20809,0,0
20810,20820,60,127
20821,20824,0,0
20825,20834,53,127
20835,20838,0,0
20839,20854,60,127
20855,20864,62,127
20865,20869,58,127
20870,20879,60,127
20880,20883,0,0
20884,20893,53,127
20894,20897,0,0
20898,20926,65,127
20927,20927,0,0
20928,20937,65,127
20938,20941,0,0
20942,20952,53,127
20953,20956,0,0
20957,20972,65,127
20973,20982,62,127
20983,20985,60,127
20986,20986,0,0
20987,20996,58,127
20997,21001,57,127
21002,21011,58,127
21012,21016,60,127
21017,21031,63,127
21032,21041,62,127
21042,21044,60,127
21045,21060,62,127
21061,21070,58,127
21071,21074,0,0
21075,21090,62,127
21091,21099,60,127
21100,21104,58,127
21105,21119,63,127
21120,21129,63,127
21130,21134,65,127
21135,21148,67,127
21149,21162,67,127
21163,21178,65,127
21179,21193,65,127
21194,21237,65,127
21238,21247,63,127
21248,21252,62,127
21253,21261,62,127
21262,21266,60,127
21267,21276,60,127
21277,21280,0,0
21281,21291,60,127
21292,21295,0,0
21296,21306,53,127
21307,21309,0,0
21310,21325,60,127
21326,21335,62,127
21336,21339,58,127
21340,21350,60,127
21351,21354,0,0
21355,21364,53,127
21365,21368,0,0
21369,21472,65,127
21473,21482,67,127
21483,21487,64,127
21488,21526,65,127
21527,21531,58,127
21532,21541,60,127
21542,21546,58,127
21547,21556,60,127
21557,21561,58,127
21562,21570,62,127
21571,21575,58,127
21576,21585,63,127
21586,21590,58,127
21591,21600,60,127
21601,21605,62,127
21606,21614,63,127
21615,21619,65,127
21620,21629,67,127
21630,21633,0,0
21634,21649,53,127
21650,21659,55,127
21660,21663,57,127
21664,21673,58,127
21674,21678,60,127
21679,21688,62,127
21689,21693,63,127
21694,21708,65,127
21709,21722,65,127
21723,21759,65,127
21760,21767,58,127
21768,21820,0,0
21821,21841,67,127
21842,21844,63,127
21845,21849,63,127
21850,21853,62,127
21854,21857,60,127
21858,21866,63,127
21867,21870,60,127
21871,21874,60,127
21875,21878,58,127
21879,21882,57,127
21883,21890,58,127
21891,21894,60,127
21895,21898,62,127
21899,21903,63,127
21904,21907,65,127
21908,21915,67,127
21916,21919,69,127
21920,21927,70,127
21928,21931,65,127
21932,21939,67,127
21940,21944,69,127
21945,21956,70,127
21957,21964,58,127
21965,36709,0,0
36710,36731,54,127
36732,36735,55,127
36736,36740,57,127
36741,36743,54,127
36744,36752,55,127
36753,36761,55,127
36762,36769,55,127
36770,36778,55,127
36779,36791,55,127
36792,36795,54,127
36796,36812,54,127
36813,37084,0,0
37085,37105,61,127
37106,37110,62,127
37111,37114,64,127
37115,37117,61,127
37118,37126,62,127
37127,37135,62,127
37136,37143,62,127
37144,37151,62,127
37152,37164,62,127
37165,37168,61,127
37169,37185,61,127
37186,37243,0,0
37244,37252,64,127
37253,37259,64,127
37260,37267,62,127
37268,37273,62,127
37274,37282,67,127
37283,37289,67,127
37290,37297,66,127
37298,37304,66,127
37305,37312,66,127
37313,37319,64,127
37320,37327,62,127
37328,37334,69,127
37335,37342,69,127
37343,37349,67,127
37350,37357,67,127
37358,37363,66,127
37364,37409,57,127
37410,37423,57,127
37424,37439,57,127
37440,37454,57,127
37455,37469,57,127
37470,37483,57,127
37484,37491,64,127
37492,37499,64,127
37500,37506,62,127
37507,37513,62,127
37514,37521,67,127
37522,37529,67,127
37530,37536,66,127
37537,37544,66,127
37545,37551,66,127
37552,37559,64,127
37560,37566,64,127
37567,37574,62,127
37575,37581,61,127
37582,37588,67,127
37589,37596,67,127
37597,37602,66,127
37603,37610,64,127
37611,37618,57,127
37619,37625,57,127
37626,37633,57,127
37634,37640,57,127
37641,37647,64,127
37648,37655,66,127
37656,37662,62,127
37663,37669,57,127
37670,37684,67,127
37685,37691,66,127
37692,37699,62,127
37700,37706,64,127
37707,37713,66,127
37714,37721,57,127
37722,37728,61,127
37729,37743,67,127
37744,37757,66,127
37758,37765,64,127
37766,37772,64,127
37773,39180,0,0
39181,39195,64,127
39196,39200,64,127
39201,39209,64,127
39210,39217,64,127
39218,39232,64,127
39233,39236,64,127
39237,39366,64,127
39367,39409,64,127
39410,39462,64,127
39463,39473,59,127
39474,39495,59,127
39496,39538,59,127
39539,39581,59,127
39582,39602,64,127
39603,39624,59,127
39625,39661,59,127
39662,39666,0,0
39667,39710,59,127
39711,39753,59,127
39754,39839,64,127
39840,39925,56,127
39926,39968,54,127
39969,40054,59,127
40055,40097,63,127
40098,40111,61,127
40112,40113,63,127
40114,40125,0,0
40126,40127,59,127
40128,40139,0,0
40140,40142,61,127
40143,40153,0,0
40154,40156,63,127
40157,40168,0,0
40169,40170,64,127
40171,40182,0,0
40183,40185,58,127
40186,40196,0,0
40197,40199,59,127
40200,40211,0,0
40212,40213,61,127
40214,40225,0,0
40226,40228,64,127
40229,40236,0,0
40237,40247,63,127
40248,40258,64,127
40259,40269,61,127
40270,40283,59,127
40284,40285,61,127
40286,40297,0,0
40298,40299,58,127
40300,40311,0,0
40312,40314,59,127
40315,40325,0,0
40326,40328,61,127
40329,40340,0,0
40341,40342,63,127
40343,40354,0,0
40355,40357,64,127
40358,40368,0,0
40369,40371,65,127
40372,40383,0,0
40384,40385,66,127
40386,40397,0,0
40398,40400,68,127
40401,40408,0,0
40409,40419,66,127
40420,40430,65,127
40431,40441,66,127
40442,40462,66,127
40463,40484,66,127
40485,40570,66,127
40571,40591,0,0
40592,40613,59,127
40614,40677,64,127
40678,40699,54,127
40700,40720,54,127
40721,40742,66,127
40743,40763,66,127
40764,40785,64,127
40786,40871,63,127
40872,41129,62,127
41130,41429,0,0
