Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Sorp.mid,Date,5/23/2015 8:51:00 PM,md5,37325887
Start Frame,End Frame,Note,Volume
0,16722,0,0
16723,16732,76,127
16733,16733,0,0
16734,16745,76,127
16746,16756,78,127
16757,16767,74,127
16768,16779,76,127
16780,16784,78,127
16785,16790,79,127
16791,16801,78,127
16802,16812,74,127
16813,16824,76,127
16825,16829,78,127
16830,16835,79,127
16836,16846,78,127
16847,16857,76,127
16858,16869,74,127
16870,16880,76,127
16881,16890,69,127
16891,16914,78,127
16915,16925,78,127
16926,16936,79,127
16937,16947,81,127
16948,16957,81,127
16958,16958,0,0
16959,16970,79,127
16971,16981,78,127
16982,16992,76,127
16993,17003,74,127
17004,17015,74,127
17016,17026,76,127
17027,17037,78,127
17038,17054,76,127
17055,17060,74,127
17061,17082,74,127
17083,18027,0,0
18028,18034,78,127
18035,18040,76,127
18041,18046,74,127
18047,18052,76,127
18053,18057,79,127
18058,18063,78,127
18064,18069,76,127
18070,18075,74,127
18076,18081,78,127
18082,18087,76,127
18088,18093,74,127
18094,18099,76,127
18100,18105,79,127
18106,18111,78,127
18112,18116,76,127
18117,18121,74,127
18122,18128,78,127
18129,18134,76,127
18135,18140,74,127
18141,18146,76,127
18147,18152,79,127
18153,18158,78,127
18159,18164,78,127
18165,18169,76,127
18170,18175,76,127
18176,18181,74,127
18182,18187,74,127
18188,18193,76,127
18194,18203,69,127
18204,18204,0,0
18205,18223,78,127
18224,18228,79,127
18229,18234,76,127
18235,18240,78,127
18241,18246,79,127
18247,18252,81,127
18253,18258,83,127
18259,18264,81,127
18265,18270,81,127
18271,18276,79,127
18277,18282,83,127
18283,18287,79,127
18288,18293,78,127
18294,18299,76,127
18300,18305,79,127
18306,18310,76,127
18311,18317,76,127
18318,18323,74,127
18324,18329,73,127
18330,18335,74,127
18336,18341,78,127
18342,18346,76,127
18347,18352,79,127
18353,18358,78,127
18359,18364,78,127
18365,18376,76,127
18377,18382,69,127
18383,18404,74,127
18405,18423,69,127
18424,18428,0,0
18429,18447,69,127
18448,18452,0,0
18453,18470,71,127
18471,18475,0,0
18476,18494,71,127
18495,18499,0,0
18500,18518,73,127
18519,18522,0,0
18523,18541,73,127
18542,18546,0,0
18547,18593,74,127
18594,18612,80,127
18613,18617,0,0
18618,18636,80,127
18637,18641,0,0
18642,18690,81,127
18691,18713,0,0
18714,18732,80,127
18733,18737,0,0
18738,18841,81,127
18842,18892,0,0
18893,18932,81,127
18933,18944,0,0
18945,19048,81,127
19049,25336,0,0
25337,25349,78,127
25350,25361,78,127
25362,25375,79,127
25376,25387,81,127
25388,25400,81,127
25401,25413,79,127
25414,25425,78,127
25426,25437,76,127
25438,25451,74,127
25452,25464,74,127
25465,25476,76,127
25477,25489,78,127
25490,25510,78,127
25511,25514,76,127
25515,25523,76,127
25524,25539,0,0
25540,25552,78,127
25553,25565,78,127
25566,25578,79,127
25579,25591,81,127
25592,25603,81,127
25604,25616,79,127
25617,25629,78,127
25630,25640,76,127
25641,25654,74,127
25655,25667,74,127
25668,25678,76,127
25679,25692,78,127
25693,25713,76,127
25714,25718,74,127
25719,25726,74,127
25727,25742,0,0
25743,25756,76,127
25757,25768,76,127
25769,25781,78,127
25782,25794,74,127
25795,25806,76,127
25807,25815,78,127
25816,25819,79,127
25820,25832,78,127
25833,25843,74,127
25844,25844,0,0
25845,25857,76,127
25858,25866,78,127
25867,25870,79,127
25871,25883,78,127
25884,25895,76,127
25896,25908,74,127
25909,25921,76,127
25922,25932,69,127
25933,25959,78,127
25960,25972,78,127
25973,25980,79,127
25981,25989,81,127
25990,25998,81,127
25999,26007,79,127
26008,26016,78,127
26017,26022,79,127
26023,26024,76,127
26025,26033,74,127
26034,26042,74,127
26043,26051,76,127
26052,26060,78,127
26061,26074,76,127
