Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Tenr.mid,Date,5/23/2015 8:51:28 PM,md5,50726992
Start Frame,End Frame,Note,Volume
0,15386,0,0
15387,15399,64,127
15400,15410,52,127
15411,15421,54,127
15422,15432,50,127
15433,15444,52,127
15445,15449,54,127
15450,15455,55,127
15456,15466,54,127
15467,15476,50,127
15477,15489,52,127
15490,15494,54,127
15495,15500,55,127
15501,15511,54,127
15512,15522,52,127
15523,15534,50,127
15535,15545,64,127
15546,15555,57,127
15556,15578,66,127
15579,15590,54,127
15591,15601,55,127
15602,15612,57,127
15613,15623,57,127
15624,15635,55,127
15636,15646,54,127
15647,15652,55,127
15653,15656,52,127
15657,15668,50,127
15669,15680,62,127
15681,15691,64,127
15692,15702,66,127
15703,15719,64,127
15720,15725,62,127
15726,15747,62,127
15748,16722,0,0
16723,16732,61,127
16733,16733,0,0
16734,16745,61,127
16746,16756,62,127
16757,16767,66,127
16768,16779,61,127
16780,16784,62,127
16785,16790,64,127
16791,16801,62,127
16802,16807,64,127
16808,16812,62,127
16813,16824,61,127
16825,16835,61,127
16836,16846,61,127
16847,16857,58,127
16858,16869,59,127
16870,16880,59,127
16881,16890,61,127
16891,16914,62,127
16915,16925,62,127
16926,16936,64,127
16937,16947,66,127
16948,16957,66,127
16958,16958,0,0
16959,16970,64,127
16971,16981,62,127
16982,16992,61,127
16993,17003,62,127
17004,17015,57,127
17016,17026,57,127
17027,17037,57,127
17038,17054,61,127
17055,17060,62,127
17061,17082,62,127
17083,18027,0,0
18028,18034,62,127
18035,18040,61,127
18041,18046,59,127
18047,18052,61,127
18053,18057,64,127
18058,18063,62,127
18064,18069,67,127
18070,18075,66,127
18076,18081,62,127
18082,18087,61,127
18088,18093,59,127
18094,18099,61,127
18100,18105,64,127
18106,18111,62,127
18112,18116,67,127
18117,18121,66,127
18122,18128,62,127
18129,18134,64,127
18135,18140,66,127
18141,18146,64,127
18147,18152,61,127
18153,18158,62,127
18159,18164,62,127
18165,18169,64,127
18170,18175,52,127
18176,18181,54,127
18182,18187,54,127
18188,18193,56,127
18194,18199,57,127
18200,18205,64,127
18206,18211,62,127
18212,18217,61,127
18218,18223,62,127
18224,18228,64,127
18229,18234,61,127
18235,18240,62,127
18241,18246,64,127
18247,18252,66,127
18253,18258,67,127
18259,18264,66,127
18265,18270,60,127
18271,18276,59,127
18277,18282,62,127
18283,18287,59,127
18288,18293,62,127
18294,18299,61,127
18300,18305,64,127
18306,18310,61,127
18311,18323,62,127
18324,18335,62,127
18336,18352,62,127
18353,18358,62,127
18359,18364,66,127
18365,18376,67,127
18377,18382,66,127
18383,18404,66,127
18405,18423,62,127
18424,18428,0,0
18429,18447,62,127
18448,18452,0,0
18453,18470,59,127
18471,18475,0,0
18476,18494,55,127
18495,18499,0,0
18500,18518,57,127
18519,18522,0,0
18523,18541,64,127
18542,18546,0,0
18547,18593,66,127
18594,18612,59,127
18613,18617,0,0
18618,18636,64,127
18637,18641,0,0
18642,18690,64,127
18691,18713,0,0
18714,18732,64,127
18733,18737,0,0
18738,18841,64,127
18842,18892,0,0
18893,18932,57,127
18933,18944,0,0
18945,19048,65,127
19049,21398,0,0
21399,21409,60,127
21410,21413,0,0
21414,21423,53,127
21424,21427,0,0
21428,21443,60,127
21444,21453,58,127
21454,21456,57,127
21457,21457,0,0
21458,21467,55,127
21468,21472,53,127
21473,21482,58,127
21483,21487,60,127
21488,21502,63,127
21503,21512,62,127
21513,21515,60,127
21516,21531,58,127
21532,21541,58,127
21542,21545,0,0
21546,21561,58,127
21562,21570,58,127
21571,21574,0,0
21575,21585,58,127
21586,21589,0,0
21590,21600,58,127
21601,21605,65,127
21606,21619,58,127
21620,21629,55,127
21630,21633,0,0
21634,21644,62,127
21645,21648,0,0
21649,21659,53,127
21660,21662,0,0
21663,21708,65,127
21709,21717,57,127
21718,21722,58,127
21723,21730,58,127
21731,21735,53,127
21736,21743,53,127
21744,21795,0,0
21796,21808,63,127
21809,21817,63,127
21818,21820,0,0
21821,21833,63,127
21834,21841,63,127
21842,21844,0,0
21845,21857,65,127
21858,21870,53,127
21871,21907,65,127
21908,21919,65,127
21920,21956,65,127
21957,21964,58,127
21965,25336,0,0
25337,25349,62,127
25350,25361,62,127
25362,25375,64,127
25376,25387,66,127
25388,25400,66,127
25401,25413,64,127
25414,25425,62,127
25426,25434,62,127
25435,25437,64,127
25438,25451,66,127
25452,25464,66,127
25465,25476,57,127
25477,25489,62,127
25490,25510,62,127
25511,25514,61,127
25515,25523,61,127
25524,25539,0,0
25540,25552,62,127
25553,25565,62,127
25566,25578,62,127
25579,25591,62,127
25592,25603,62,127
25604,25616,62,127
25617,25629,62,127
25630,25640,62,127
25641,25654,62,127
25655,25667,62,127
25668,25678,61,127
25679,25692,62,127
25693,25713,61,127
25714,25718,62,127
25719,25726,62,127
25727,25742,0,0
25743,25756,61,127
25757,25768,61,127
25769,25781,62,127
25782,25794,66,127
25795,25806,61,127
25807,25815,62,127
25816,25819,64,127
25820,25832,62,127
25833,25843,66,127
25844,25844,0,0
25845,25857,61,127
25858,25866,62,127
25867,25870,64,127
25871,25883,61,127
25884,25895,58,127
25896,25908,59,127
25909,25921,59,127
25922,25932,61,127
25933,25959,62,127
25960,25972,62,127
25973,25980,62,127
25981,25986,64,127
25987,25989,66,127
25990,25998,67,127
25999,26007,67,127
26008,26016,62,127
26017,26022,59,127
26023,26024,55,127
26025,26033,57,127
26034,26042,62,127
26043,26051,62,127
26052,26060,62,127
26061,26074,61,127
26075,26077,62,127
26078,26086,62,127
26087,26094,0,0
26095,26104,61,127
26105,26113,61,127
26114,26121,62,127
26122,26130,66,127
26131,26139,61,127
26140,26145,62,127
26146,26148,64,127
26149,26157,62,127
26158,26165,66,127
26166,26174,61,127
26175,26180,62,127
26181,26183,64,127
26184,26192,61,127
26193,26201,58,127
26202,26210,59,127
26211,26218,59,127
26219,26227,61,127
26228,26245,62,127
26246,26254,62,127
26255,26262,62,127
26263,26268,64,127
26269,26271,66,127
26272,26280,67,127
26281,26289,67,127
26290,26298,62,127
26299,26304,59,127
26305,26306,55,127
26307,26315,57,127
26316,26324,62,127
26325,26333,62,127
26334,26342,62,127
26343,26356,61,127
26357,26359,62,127
26360,26368,62,127
26369,26569,0,0
26570,26611,55,127
26612,26626,55,127
26627,26630,0,0
26631,26646,54,127
26647,26650,0,0
26651,26667,50,127
26668,26671,0,0
26672,26751,64,127
26752,26773,64,127
26774,26779,0,0
26780,26802,62,127
26803,26809,0,0
26810,26831,59,127
26832,26867,0,0
26868,26927,60,127
26928,26956,60,127
26957,26986,59,127
26987,27044,55,127
27045,27103,64,127
