Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Timp.mid,Date,5/23/2015 8:48:06 PM,md5,2883140
Start Frame,End Frame,Note,Volume
0,299,0,0
300,300,45,127
301,301,45,127
302,302,45,127
303,305,45,127
306,308,45,127
309,311,45,127
312,314,45,127
315,317,45,127
318,321,45,127
322,324,45,127
325,327,45,127
328,330,45,127
331,333,45,127
334,336,45,127
337,339,45,127
340,342,45,127
343,345,45,127
346,348,45,127
349,351,45,127
352,354,45,127
355,357,45,127
358,360,45,127
361,364,45,127
365,367,45,127
368,370,45,127
371,373,45,127
374,376,45,127
377,379,45,127
380,382,50,127
383,385,50,127
386,388,50,127
389,391,50,127
392,394,50,127
395,397,50,127
398,400,50,127
401,404,50,127
405,407,50,127
408,410,50,127
411,413,50,127
414,416,50,127
417,419,50,127
420,422,50,127
423,425,50,127
426,428,50,127
429,431,50,127
432,434,50,127
435,437,50,127
438,440,50,127
441,444,50,127
445,447,50,127
448,450,50,127
451,453,50,127
454,456,50,127
457,459,50,127
460,462,50,127
463,465,50,127
466,468,50,127
469,471,50,127
472,474,50,127
475,477,50,127
478,480,50,127
481,483,50,127
484,487,50,127
488,490,50,127
491,493,50,127
494,496,50,127
497,499,50,127
500,502,50,127
503,505,50,127
506,508,50,127
509,511,50,127
512,514,50,127
515,517,50,127
518,520,50,127
521,523,50,127
524,534,50,127
535,543,0,0
544,555,45,127
556,1160,0,0
1161,1163,50,127
1164,1166,50,127
1167,1169,50,127
1170,1172,50,127
1173,1174,50,127
1175,1177,50,127
1178,1180,50,127
1181,1183,50,127
1184,1186,50,127
1187,1188,50,127
1189,1191,50,127
1192,1194,50,127
1195,1197,50,127
1198,1199,50,127
1200,1202,50,127
1203,1205,50,127
1206,1208,50,127
1209,1211,50,127
1212,1213,50,127
1214,1216,50,127
1217,1219,50,127
1220,1222,50,127
1223,1224,50,127
1225,1227,50,127
1228,1230,50,127
1231,1233,50,127
1234,1236,50,127
1237,1238,50,127
1239,1241,50,127
1242,1244,50,127
1245,1247,50,127
1248,1250,50,127
1251,1252,50,127
1253,1255,50,127
1256,1258,50,127
1259,1261,50,127
1262,1263,50,127
1264,1266,50,127
1267,1269,50,127
1270,1272,50,127
1273,1275,50,127
1276,1277,50,127
1278,1280,50,127
1281,1283,50,127
1284,1286,50,127
1287,1288,50,127
1289,1291,50,127
1292,1294,50,127
1295,1297,50,127
1298,1300,50,127
1301,1302,50,127
1303,1305,50,127
1306,1308,50,127
1309,1311,50,127
1312,1314,50,127
1315,1316,50,127
1317,1319,50,127
1320,1322,50,127
1323,1325,50,127
1326,1327,50,127
1328,1330,50,127
1331,1333,50,127
1334,1336,50,127
1337,1339,50,127
1340,1341,50,127
1342,1344,50,127
1345,1347,50,127
1348,1350,50,127
1351,1353,50,127
1354,1355,50,127
1356,1358,50,127
1359,1361,50,127
1362,1364,50,127
1365,1366,50,127
1367,1369,50,127
1370,1372,50,127
1373,1375,50,127
1376,1378,50,127
1379,1380,50,127
1381,1383,50,127
1384,1386,50,127
1387,1389,50,127
1390,1391,45,127
1392,1394,45,127
1395,1397,45,127
1398,1400,45,127
1401,1403,45,127
1404,1405,45,127
1406,1417,45,127
1418,1432,0,0
1433,1439,45,127
1440,1450,45,127
1451,1769,0,0
1770,1782,50,127
1783,1794,0,0
1795,1807,50,127
1808,1818,0,0
1819,1845,45,50
1846,2022,0,0
2023,2026,45,50
2027,2051,45,50
2052,2216,0,0
2217,2219,45,50
2220,2248,45,100
2249,5287,0,0
5288,5310,45,100
5311,5356,0,0
5357,5369,50,100
5370,5382,50,100
5383,5394,50,100
5395,5407,50,100
5408,5432,50,100
5433,5656,0,0
5657,5681,50,100
5682,5694,50,100
5695,5908,0,0
5909,5943,45,100
5944,5976,0,0
5977,6011,50,100
6012,10143,0,0
10144,10158,50,127
10159,10164,0,0
10165,10172,50,127
10173,10187,50,127
10188,10193,0,0
10194,10201,50,127
10202,10216,45,127
10217,10222,0,0
10223,10230,45,127
10231,10245,45,127
10246,10251,0,0
10252,10259,45,127
10260,10273,50,127
10274,10301,0,0
10302,10317,50,127
10318,10331,45,127
10332,10345,0,0
10346,10360,45,127
10361,10374,0,0
10375,10389,50,127
10390,10395,0,0
10396,10403,50,127
10404,10418,50,127
10419,10424,0,0
10425,10432,50,127
10433,10447,45,127
10448,10453,0,0
