Orch File,Name,..\..\Data\FullOrch.csv,Date,9/3/2015 10:09:14 AM,md5,22008501,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,9/30/2015 9:36:56 AM,md5,27784591,version,2
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,9/17/2015 12:48:08 PM,md5,21396922,version,1
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Trin.mid,Date,5/23/2015 7:57:36 PM,md5,28260402
Start Frame,End Frame,Note,Volume
0,17524,0,0
17525,17538,35,50
17539,17600,0,0
17601,17614,35,50
17615,17674,0,0
17675,17687,35,50
17688,17709,0,0
17710,17721,35,50
17722,17743,0,0
17744,17756,35,50
17757,17778,0,0
17779,17791,35,50
17792,17813,0,0
17814,17825,35,50
17826,17848,0,0
17849,17860,35,50
17861,17882,0,0
17883,17895,35,50
17896,17917,0,0
17918,17930,35,50
17931,17934,0,0
17935,17947,81,50
17948,17952,0,0
17953,17964,81,50
17965,17969,0,0
17970,17982,35,50
17983,17986,0,0
17987,17999,81,50
18000,18004,0,0
18005,18016,35,50
18017,18021,0,0
18022,18034,81,50
18035,18039,0,0
18040,18052,81,50
18053,18056,0,0
18057,18069,81,50
18070,18074,0,0
18075,18087,35,50
18088,18092,0,0
18093,18105,81,50
18106,18110,0,0
18111,18122,35,50
18123,18127,0,0
18128,18140,81,50
18141,18145,0,0
18146,18158,35,50
18159,18163,0,0
18164,18175,81,50
18176,18180,0,0
18181,18193,35,50
18194,18198,0,0
18199,18211,81,50
18212,18216,0,0
18217,18228,35,50
18229,18233,0,0
18234,18246,81,50
18247,18251,0,0
18252,18264,35,50
18265,18269,0,0
18270,18282,81,50
18283,18287,0,0
18288,18299,35,50
18300,18304,0,0
18305,18317,81,50
18318,18322,0,0
18323,18335,81,50
18336,18340,0,0
18341,18352,81,50
18353,18357,0,0
18358,18370,35,50
18371,18375,0,0
18376,18388,81,50
18389,18393,0,0
18394,18405,81,50
18406,18410,0,0
18411,18423,81,50
18424,18428,0,0
18429,18441,35,50
18442,18446,0,0
18447,18459,81,50
18460,18463,0,0
18464,18476,81,50
