Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Trmb.mid,Date,5/23/2015 8:47:40 PM,md5,12641169
Start Frame,End Frame,Note,Volume
0,27250,0,0
27251,27273,71,127
27274,27280,0,0
27281,27303,71,127
27304,27310,0,0
27311,27333,69,127
27334,27340,0,0
27341,27363,66,127
27364,27370,0,0
27371,27401,67,127
27402,27460,64,127
27461,27483,67,127
27484,27489,0,0
27490,27512,67,127
27513,27519,0,0
27520,27542,71,127
27543,27548,0,0
27549,27608,71,127
27609,27638,69,127
27639,27668,72,127
27669,27697,71,127
27698,27757,67,127
27758,27816,72,127
27817,27845,72,127
27846,27934,69,127
27935,27962,60,127
27963,28005,62,127
28006,28019,60,127
28020,28046,0,0
28047,28089,65,127
28090,28103,65,127
28104,28159,65,127
28160,28187,65,127
28188,28243,65,127
28244,28335,62,127
28336,28367,60,127
28368,28399,60,127
28400,28431,57,127
28432,28463,55,127
28464,28527,65,127
28528,28559,64,127
28560,28583,64,127
28584,28590,0,0
28591,28615,62,127
28616,28654,0,0
28655,28686,65,127
28687,28733,58,127
28734,28748,65,127
28749,28763,0,0
28764,28779,65,127
28780,28826,58,127
28827,28842,70,127
28843,28904,70,127
28905,28935,70,127
28936,28997,70,127
28998,29091,70,127
29092,29122,67,127
29123,29153,67,127
29154,29184,69,127
29185,29215,67,127
29216,29262,69,127
29263,29278,71,127
29279,29293,72,127
29294,29309,65,127
29310,29332,72,127
29333,29339,0,0
29340,29363,71,127
29364,29370,0,0
29371,29387,70,50
29388,30524,0,0
30525,30552,72,50
30553,30688,0,0
30689,30730,69,109
30731,30743,0,0
30744,30764,67,127
30765,30771,67,127
30772,30884,70,127
30885,30941,70,127
30942,30997,70,127
30998,31110,70,127
31111,31223,70,127
31224,31280,70,127
31281,32013,0,0
32014,32071,61,45
32072,32127,61,45
32128,32240,61,44
32241,32297,61,43
32298,32353,61,43
32354,32466,61,43
32467,32579,61,42
32580,32636,61,41
32637,32707,0,0
32708,32726,73,127
32727,32744,69,127
32745,32762,71,127
32763,32781,71,127
32782,32799,69,127
32800,32817,66,127
32818,32835,67,127
32836,32853,67,127
32854,32871,66,127
32872,32889,62,127
32890,32907,71,127
32908,32925,71,127
32926,32943,69,127
32944,32980,69,127
32981,32998,69,127
32999,33016,68,127
33017,33028,64,127
33029,33034,56,127
33035,33052,66,127
33053,33070,66,127
33071,33088,64,127
33089,33106,64,127
33107,33124,66,127
33125,33142,66,127
33143,33160,64,127
33161,33173,62,127
33174,33179,61,127
33180,33197,67,127
33198,33215,67,127
33216,33233,66,127
33234,33250,0,0
33251,33263,66,127
33264,33269,66,127
33270,33281,67,127
33282,33287,69,127
33288,33299,69,127
33300,33305,67,127
33306,33317,66,127
33318,33323,64,127
33324,33335,62,127
33336,33341,62,127
33342,33353,64,127
33354,33359,66,127
33360,33372,69,127
33373,33378,69,127
33379,33390,62,127
33391,33396,60,127
33397,33408,59,127
33409,33414,59,127
33415,33426,67,127
33427,33432,62,127
33433,33444,62,127
33445,33449,0,0
33450,33462,67,127
33463,33468,66,127
33469,33480,64,127
33481,33486,62,127
33487,33498,61,127
33499,33504,62,127
33505,33516,66,127
33517,33522,64,127
33523,33534,57,127
33535,33539,0,0
33540,33552,73,127
33553,33558,73,127
33559,33576,0,0
33577,33589,64,127
33590,33595,64,127
33596,33607,73,127
33608,33613,71,127
33614,33625,69,127
33626,33631,69,127
33632,33643,71,127
33644,33649,73,127
33650,33661,73,127
33662,33667,71,127
33668,33679,69,127
33680,33685,67,127
33686,33697,66,127
33698,33703,66,127
33704,33715,68,127
33716,33721,69,127
33722,33733,69,127
33734,33739,67,127
33740,33751,66,127
33752,33757,64,127
33758,33776,64,127
33777,33788,62,127
33789,33794,61,127
33795,33806,73,127
33807,33812,73,127
33813,33824,73,127
33825,33829,0,0
33830,33842,61,127
33843,33847,0,0
33848,33860,66,127
33861,33866,54,127
33867,33878,54,127
33879,33883,0,0
33884,33896,63,127
33897,33901,0,0
33902,33914,59,127
33915,33919,0,0
33920,33932,63,127
33933,33937,0,0
33938,33950,59,127
33951,33956,0,0
33957,33969,64,127
33970,33975,64,127
33976,33992,0,0
33993,34005,57,127
34006,34023,64,127
34024,34029,62,127
34030,34041,66,127
34042,34059,64,127
34060,34065,62,127
34066,34077,64,127
34078,34083,66,127
34084,34101,73,127
34102,34113,69,127
34114,34119,61,127
34120,34131,71,127
34132,34137,59,127
34138,34149,71,127
34150,34156,62,127
34157,34168,69,127
34169,34173,0,0
34174,34186,66,127
34187,34192,57,127
34193,34204,68,127
34205,34210,62,127
34211,34222,68,127
34223,34228,59,127
34229,34240,66,127
34241,34246,50,127
34247,34258,62,127
34259,34264,54,127
34265,34276,71,127
34277,34281,0,0
34282,34294,71,127
34295,34300,56,127
34301,34312,69,127
34313,34318,61,127
34319,34330,62,127
34331,34336,64,127
34337,34348,66,127
34349,34354,0,0
34355,34367,66,127
34368,34373,64,127
34374,34385,64,127
34386,34391,62,127
34392,34403,61,127
34404,34409,62,127
34410,34427,62,127
34428,34439,64,127
34440,34445,66,127
34446,34457,66,127
34458,34463,64,127
34464,34475,62,127
34476,34481,61,127
34482,34493,71,127
34494,34499,71,127
34500,34511,73,127
34512,34516,0,0
34517,34535,61,127
34536,34547,0,0
34548,34554,59,127
34555,34572,61,127
34573,34584,59,127
34585,34590,58,127
34591,34607,0,0
34608,34626,62,127
34627,34644,71,127
34645,34662,71,127
34663,34680,70,127
34681,34692,66,127
34693,34698,58,127
34699,34716,61,127
34717,34734,54,127
34735,34753,54,127
34754,34771,66,127
34772,34789,69,127
34790,34801,68,127
34802,34807,66,127
34808,34819,64,127
34820,34825,68,127
34826,34837,69,127
34838,34843,71,127
34844,34861,62,127
34862,34873,73,127
34874,34879,71,127
34880,34897,69,127
34898,34969,0,0
34970,34988,57,127
34989,35006,69,127
35007,35024,69,127
35025,35036,69,127
35037,35042,66,127
35043,35054,67,127
35055,35072,69,127
35073,35078,67,127
35079,35090,66,127
35091,35096,64,127
35097,35114,62,127
35115,35126,64,127
35127,35132,66,127
35133,35145,66,127
35146,35151,64,127
35152,35163,62,127
35164,35169,60,127
35170,35181,59,127
35182,35187,71,127
35188,35199,72,127
35200,35205,59,127
35206,35216,0,0
35217,35223,66,127
35224,35235,67,127
35236,35241,69,127
35242,35253,67,127
35254,35258,0,0
35259,35271,67,127
35272,35277,69,127
35278,35289,71,127
35290,35295,66,127
35296,35307,71,127
35308,35313,73,127
35314,35325,67,127
35326,35331,69,127
35332,35344,71,127
35345,35350,73,127
35351,35386,66,127
35387,41396,0,0
