Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Trmp.mid,Date,5/23/2015 8:47:16 PM,md5,13063473
Start Frame,End Frame,Note,Volume
0,299,0,0
300,321,57,127
322,324,57,127
325,326,0,0
327,330,57,127
331,332,0,0
333,336,62,127
337,338,0,0
339,351,62,127
352,356,0,0
357,364,69,127
365,370,69,127
371,376,62,127
377,388,62,127
389,393,0,0
394,400,57,127
401,407,57,127
408,413,62,127
414,425,62,127
426,430,0,0
431,437,69,127
438,444,69,127
445,450,62,127
451,456,62,127
457,462,62,127
463,468,62,127
469,474,62,127
475,480,62,127
481,487,62,127
488,493,62,127
494,499,62,127
500,505,62,127
506,511,62,127
512,517,62,127
518,523,62,127
524,534,62,127
535,543,0,0
544,555,57,127
556,1160,0,0
1161,1205,62,127
1206,1222,72,127
1223,1224,72,127
1225,1226,0,0
1227,1230,72,127
1231,1232,0,0
1233,1236,72,127
1237,1237,0,0
1238,1244,72,127
1245,1250,66,127
1251,1255,66,127
1256,1261,69,127
1262,1266,69,127
1267,1272,72,127
1273,1283,72,127
1284,1288,0,0
1289,1294,72,127
1295,1300,72,127
1301,1305,72,127
1306,1311,72,127
1312,1316,66,127
1317,1322,66,127
1323,1327,69,127
1328,1333,69,127
1334,1339,72,127
1340,1350,72,127
1351,1354,0,0
1355,1361,74,127
1362,1366,74,127
1367,1372,72,127
1373,1383,72,127
1384,1388,0,0
1389,1394,69,127
1395,1400,69,127
1401,1405,69,127
1406,1417,69,127
1418,1432,0,0
1433,1439,69,127
1440,1450,69,127
1451,1769,0,0
1770,1782,62,127
1783,1794,0,0
1795,1807,62,127
1808,1818,0,0
1819,1845,57,50
1846,2022,0,0
2023,2026,57,50
2027,2051,57,50
2052,2216,0,0
2217,2219,57,50
2220,2248,57,100
2249,5287,0,0
5288,5310,57,100
5311,5356,0,0
5357,5369,62,100
5370,5382,62,100
5383,5394,62,100
5395,5407,62,100
5408,5432,62,100
5433,5656,0,0
5657,5681,62,100
5682,5694,62,100
5695,5908,0,0
5909,5943,69,100
5944,5976,0,0
5977,6011,66,100
6012,10143,0,0
10144,10172,74,127
10173,10187,76,127
10188,10201,78,127
10202,10216,78,127
10217,10230,76,127
10231,10237,74,127
10238,10244,0,0
10245,10252,69,127
10253,10258,0,0
10259,10273,66,127
10274,10288,66,127
10289,10302,69,127
10303,10317,74,127
10318,10338,74,127
10339,10346,69,127
10347,10374,69,127
10375,10403,74,127
10404,10418,76,127
10419,10432,78,127
10433,10447,78,127
10448,10461,76,127
10462,10468,74,127
10469,10474,0,0
10475,10483,69,127
10484,10489,0,0
10490,10497,66,127
10498,10503,0,0
10504,10512,66,127
10513,10518,0,0
10519,10526,69,127
10527,10532,0,0
10533,10540,74,127
10541,10547,0,0
10548,10569,69,127
10570,10576,66,127
10577,10605,66,127
10606,10634,69,127
10635,10649,74,127
10650,10663,66,127
10664,10677,69,127
10678,10685,74,127
10686,10692,76,127
10693,10706,74,127
10707,10713,66,127
10714,10720,0,0
10721,10735,69,127
10736,10742,74,127
10743,10750,76,127
10751,10764,66,127
10765,10778,66,127
10779,10786,74,127
10787,10792,0,0
10793,10800,76,127
10801,10806,0,0
10807,10814,69,127
10815,10821,0,0
10822,10851,74,127
10852,10858,74,127
10859,10864,0,0
10865,10872,76,127
10873,10878,0,0
10879,10887,78,127
10888,10893,0,0
10894,10908,78,127
10909,10923,76,127
10924,10930,74,127
10931,10936,0,0
10937,10944,69,127
10945,10951,0,0
10952,10959,66,127
10960,10965,0,0
10966,10973,66,127
10974,10979,0,0
10980,10988,69,127
10989,10994,0,0
10995,11002,74,127
11003,11008,0,0
11009,11031,69,127
11032,11038,66,127
11039,11042,66,127
11043,11044,0,0
11045,11053,78,127
11054,11060,76,127
11061,11067,74,127
11068,11096,69,127
11097,11110,74,127
11111,11125,66,127
11126,11139,69,127
11140,11146,74,127
11147,11154,76,127
11155,11168,74,127
11169,11175,66,127
11176,11181,0,0
11182,11197,69,127
11198,11204,74,127
11205,11211,76,127
11212,11226,66,127
11227,11240,66,127
11241,11247,62,127
11248,11254,0,0
11255,11262,76,127
11263,11268,0,0
11269,11276,69,127
11277,11282,0,0
11283,11312,74,127
11313,11319,74,127
11320,11326,0,0
11327,11334,76,127
11335,11340,0,0
11341,11348,78,127
11349,11355,0,0
11356,11370,78,127
11371,11384,76,127
11385,11392,74,127
11393,11398,0,0
11399,11406,69,127
11407,11412,0,0
11413,11428,66,127
11429,11435,66,127
11436,11441,0,0
11442,11449,69,127
11450,11456,0,0
11457,11464,74,127
11465,11470,0,0
11471,11492,69,127
11493,11500,66,127
11501,11514,66,127
11515,11528,66,127
11529,11550,62,127
11551,11557,62,127
11558,11571,62,127
11572,11586,62,127
11587,11607,62,127
11608,11614,62,127
11615,11629,62,127
11630,11643,62,127
11644,11665,62,127
11666,11672,74,127
11673,11686,69,127
11687,11693,69,127
11694,11700,78,127
11701,11722,69,127
11723,11729,66,127
11730,11744,66,127
11745,11779,62,127
11780,11787,74,127
11788,11801,69,127
11802,11837,76,127
11838,11844,66,127
11845,11858,66,127
11859,11887,66,127
11888,11929,0,0
11930,11944,76,127
11945,11958,0,0
11959,11973,66,127
11974,12030,0,0
12031,12045,62,127
12046,12066,62,127
12067,12074,76,127
12075,12095,76,127
12096,12124,74,127
12125,12131,76,127
12132,12138,76,127
12139,12145,76,127
12146,12152,76,127
12153,12160,76,127
12161,12174,69,127
12175,12181,69,127
12182,12188,69,127
12189,12203,62,127
12204,12210,62,127
12211,12217,62,127
12218,12231,76,127
12232,12238,0,0
12239,12246,57,127
12247,12253,57,127
