Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Vio2.mid,Date,5/23/2015 8:54:50 PM,md5,59408853
Start Frame,End Frame,Note,Volume
0,1818,0,0
1819,1829,64,50
1830,1831,0,0
1832,1842,64,50
1843,1844,0,0
1845,1855,64,50
1856,1857,0,0
1858,1868,64,50
1869,1870,0,0
1871,1881,64,50
1882,1883,0,0
1884,1894,64,50
1895,1896,0,0
1897,1907,64,50
1908,1909,0,0
1910,1920,64,50
1921,1922,0,0
1923,1933,64,50
1934,1935,0,0
1936,1946,64,50
1947,1948,0,0
1949,1959,64,50
1960,1961,0,0
1962,1972,64,50
1973,1974,0,0
1975,1985,64,50
1986,1987,0,0
1988,1998,64,50
1999,2000,0,0
2001,2011,64,50
2012,2013,0,0
2014,2024,64,50
2025,2026,0,0
2027,2036,64,50
2037,2038,0,0
2039,2048,64,50
2049,2050,0,0
2051,2060,64,50
2061,2062,0,0
2063,2072,64,50
2073,2074,0,0
2075,2084,64,50
2085,2086,0,0
2087,2096,64,50
2097,2098,0,0
2099,2108,64,50
2109,2110,0,0
2111,2120,64,50
2121,2122,0,0
2123,2133,64,50
2134,2135,0,0
2136,2145,64,50
2146,2147,0,0
2148,2157,64,50
2158,2159,0,0
2160,2169,64,50
2170,2171,0,0
2172,2181,64,50
2182,2183,0,0
2184,2193,64,50
2194,2195,0,0
2196,2205,64,50
2206,2207,0,0
2208,2217,64,50
2218,2219,0,0
2220,2222,63,100
2223,3057,0,0
3058,3064,76,50
3065,3075,0,0
3076,3082,69,50
3083,3094,0,0
3095,3101,64,50
3102,3112,0,0
3113,3119,57,50
3120,3130,0,0
3131,3137,72,50
3138,3148,0,0
3149,3156,65,50
3157,3167,0,0
3168,3174,60,50
3175,3185,0,0
3186,3191,60,50
3192,8772,0,0
8773,8778,71,50
8779,8783,69,50
8784,8788,67,50
8789,8803,66,50
8804,8819,62,50
8820,8834,64,50
8835,8850,66,50
8851,8873,62,50
8874,8881,64,50
8882,8888,66,50
8889,8896,62,50
8897,8904,59,50
8905,8912,61,50
8913,8927,57,50
8928,8958,69,50
8959,8989,69,50
8990,9005,64,50
9006,9012,61,50
9013,9020,64,50
9021,9028,66,50
9029,9036,67,50
9037,9049,66,50
9050,9063,62,50
9064,9077,64,50
9078,9091,66,50
9092,9111,62,50
9112,9118,64,50
9119,9125,66,50
9126,9132,69,50
9133,9139,71,50
9140,9146,73,50
9147,9153,74,50
9154,9160,73,50
9161,9167,71,50
9168,9174,69,50
9175,9180,67,50
9181,9187,66,50
9188,9194,64,50
9195,9208,62,50
9209,9215,61,50
9216,9222,67,50
9223,9229,66,50
9230,9232,66,50
9233,9235,0,0
9236,9243,66,50
9244,9249,64,50
9250,9256,62,50
9257,9270,61,50
9271,9284,64,50
9285,9298,62,50
9299,9312,74,50
9313,9325,67,50
9326,9332,66,50
9333,9339,64,50
9340,9353,66,50
9354,9360,67,50
9361,9367,69,50
9368,9374,71,50
9375,9381,73,50
9382,9387,74,50
9388,9394,76,50
9395,9408,74,50
9409,9415,73,50
9416,9422,61,50
9423,9429,71,50
9430,9436,59,50
9437,9443,58,50
9444,9450,70,50
9451,9456,69,50
9457,9463,64,50
9464,9470,69,50
9471,9477,67,50
9478,9491,66,50
9492,9505,74,50
9506,9519,76,50
9520,9533,78,50
9534,9547,74,50
9548,9560,76,50
9561,9574,69,50
9575,9581,71,50
9582,9588,73,50
9589,9595,74,50
9596,9602,69,50
9603,9609,71,50
9610,9616,69,50
9617,9623,67,50
9624,9630,66,50
9631,9637,64,50
9638,9651,62,50
9652,9658,61,50
9659,9665,67,50
9666,9672,66,50
9673,9675,66,50
9676,9678,0,0
9679,9685,66,50
9686,9692,64,50
9693,9699,62,50
9700,9713,61,50
9714,9727,64,52
9728,9741,62,54
9742,9755,74,57
9756,9769,67,59
9770,9776,66,62
9777,9783,64,63
9784,9797,66,64
9798,9803,67,66
9804,9810,69,68
9811,9817,71,69
9818,9824,73,70
9825,9831,74,71
9832,9838,76,72
9839,9852,74,74
9853,9859,73,76
9860,9866,61,77
9867,9873,71,78
9874,9880,59,80
9881,9887,58,81
9888,9894,70,82
9895,9901,69,83
9902,9908,64,84
9909,9915,69,86
9916,9921,67,87
9922,9935,66,88
9936,9949,74,90
9950,9963,76,93
9964,9977,78,95
9978,9991,74,98
9992,10005,76,100
10006,10019,69,102
10020,10026,71,105
10027,10033,73,106
10034,10039,74,107
10040,10046,69,108
10047,10053,71,110
10054,10060,69,111
10061,10067,67,112
10068,10074,66,113
10075,10081,64,114
10082,10095,62,116
10096,10102,61,118
10103,10109,67,119
10110,10116,66,121
10117,10123,66,122
10124,10130,71,123
10131,10137,69,124
10138,10144,67,125
10145,10158,78,127
10159,10164,0,0
10165,10172,62,127
10173,10187,74,127
10188,10193,0,0
10194,10201,62,127
10202,10216,81,127
10217,10222,0,0
10223,10230,57,127
10231,10245,69,127
10246,10251,0,0
10252,10259,57,127
10260,10273,78,127
10274,10301,0,0
10302,10317,78,127
10318,10331,78,127
10332,10345,0,0
10346,10360,76,127
10361,10374,0,0
10375,10389,86,127
10390,10395,0,0
10396,10403,62,127
10404,10418,74,127
10419,10424,0,0
10425,10432,62,127
10433,10447,81,127
10448,10453,0,0
10454,10461,57,127
10462,10475,69,127
10476,10482,0,0
10483,10490,57,127
10491,10504,78,127
10505,10532,0,0
10533,10548,78,127
10549,10562,76,127
10563,10575,0,0
10576,10591,74,127
10592,10604,0,0
10605,10620,76,127
10621,10626,0,0
10627,10634,57,127
10635,10649,69,127
10650,10663,74,127
10664,10677,76,127
10678,10684,0,0
10685,10692,57,127
10693,10706,69,127
10707,10721,74,127
10722,10735,76,127
10736,10741,0,0
10742,10750,57,127
10751,10757,78,127
10758,10763,0,0
10764,10771,76,127
10772,10777,0,0
10778,10786,74,127
10787,10792,0,0
10793,10800,76,127
10801,10806,0,0
10807,10814,69,127
10815,10821,0,0
10822,10829,78,127
