Orch File,Name,..\..\Data\FullOrch.csv,Date,11/13/2015 11:24:22 AM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement04Midi\Movement04Timing.csv,Date,11/24/2015 8:56:42 PM,md5,27973187,version,3
Measures Times File,Name,..\..\Data\Movement04Midi\Movement04Measures.csv,Date,11/23/2015 11:19:42 PM,md5,50833863,version,4
MIDI File,Name,..\..\Data\Movement04Midi\Movement04Viol.mid,Date,5/23/2015 8:55:02 PM,md5,45203171
Start Frame,End Frame,Note,Volume
0,2219,0,0
2220,2248,54,100
2249,3057,0,0
3058,3064,64,50
3065,3075,0,0
3076,3082,57,50
3083,3094,0,0
3095,3101,52,50
3102,3112,0,0
3113,3119,57,50
3120,3130,0,0
3131,3137,60,50
3138,3148,0,0
3149,3156,53,50
3157,3167,0,0
3168,3174,48,50
3175,3185,0,0
3186,3191,53,50
3192,7812,0,0
7813,7833,66,50
7834,7843,67,50
7844,7853,69,50
7854,7863,69,50
7864,7873,67,50
7874,7884,66,50
7885,7894,64,50
7895,7914,62,50
7915,7924,64,50
7925,7934,66,50
7935,7945,66,50
7946,7955,64,50
7956,7975,64,50
7976,7995,66,50
7996,8005,67,50
8006,8016,69,50
8017,8026,69,50
8027,8036,67,50
8037,8046,66,50
8047,8056,64,50
8057,8077,62,50
8078,8087,64,50
8088,8097,66,50
8098,8112,64,50
8113,8117,62,50
8118,8138,62,50
8139,8158,64,50
8159,8168,66,50
8169,8178,62,50
8179,8188,64,50
8189,8193,66,50
8194,8199,67,50
8200,8209,66,50
8210,8219,62,50
8220,8229,64,50
8230,8234,66,50
8235,8239,67,50
8240,8249,66,50
8250,8259,64,50
8260,8270,62,50
8271,8280,64,55
8281,8290,57,60
8291,8310,66,65
8311,8320,66,50
8321,8331,67,50
8332,8341,69,50
8342,8351,69,50
8352,8361,67,50
8362,8371,66,50
8372,8381,64,50
8382,8402,62,50
8403,8412,64,50
8413,8422,66,50
8423,8437,64,50
8438,8442,62,50
8443,8463,62,50
8464,8483,64,50
8484,8493,66,50
8494,8503,62,50
8504,8513,64,50
8514,8519,66,50
8520,8524,67,50
8525,8534,66,50
8535,8544,62,50
8545,8554,64,50
8555,8559,66,50
8560,8564,67,50
8565,8574,66,50
8575,8585,64,50
8586,8595,62,50
8596,8605,64,55
8606,8615,57,60
8616,8635,66,65
8636,8646,66,50
8647,8656,67,50
8657,8666,69,50
8667,8676,69,50
8677,8686,67,50
8687,8696,66,50
8697,8706,64,50
8707,8727,62,50
8728,8737,64,50
8738,8747,66,50
8748,8762,64,50
8763,8767,62,50
8768,8788,62,50
8789,8819,69,50
8820,8850,62,50
8851,8873,59,50
8874,8881,61,50
8882,8896,62,50
8897,8927,67,50
8928,8943,66,50
8944,8958,64,50
8959,8989,62,50
8990,9005,61,50
9006,9020,59,50
9021,9036,57,50
9037,9063,69,50
9064,9091,62,50
9092,9111,59,50
9112,9118,61,50
9119,9132,62,50
9133,9160,67,50
9161,9167,66,50
9168,9174,64,50
9175,9180,62,50
9181,9187,61,50
9188,9194,59,50
9195,9201,57,50
9202,9215,55,50
9216,9229,57,50
9230,9243,54,50
9244,9256,66,50
9257,9284,67,50
9285,9298,69,50
9299,9312,59,50
9313,9339,61,50
9340,9353,62,50
9354,9360,64,50
9361,9367,66,50
9368,9394,67,50
9395,9401,69,50
9402,9408,57,50
9409,9422,58,50
9423,9436,59,50
9437,9463,61,50
9464,9477,62,50
9478,9505,69,50
9506,9533,60,50
9534,9554,59,50
9555,9560,61,50
9561,9574,62,50
9575,9602,67,50
9603,9609,66,50
9610,9616,64,50
9617,9623,62,50
9624,9630,61,50
9631,9637,59,50
9638,9644,57,50
9645,9658,55,50
9659,9672,57,50
9673,9685,54,50
9686,9699,66,50
9700,9727,67,50
9728,9741,69,54
9742,9755,59,57
9756,9783,61,59
9784,9797,62,64
9798,9803,64,66
9804,9810,66,68
9811,9838,67,69
9839,9845,69,74
9846,9852,57,75
9853,9866,58,76
9867,9880,59,78
9881,9908,61,81
9909,9921,62,86
9922,9949,69,88
9950,9977,60,93
